k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]|64352.0000000000000000|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[-0.9866885775700212, -1.073362223803997, -0.9924468705430627, -1.0595652721822262, -0.9764597937464714, -0.7127970159053802, -0.9397394508123398, -0.9819909334182739, -0.9977994414512068, -0.8583152592182159, -1.0172530822455883, -0.9910681545734406, -0.8541919738054276, -1.049816370010376, -1.1698056757450104, -0.7184103429317474, -1.14296954870224, -1.0722037479281425, -1.0031324499286711, -0.8880826979875565, -1.1316819190979004, -1.1255651116371155, -1.035922184586525, -0.892702229321003, -0.9299542754888535, -0.915160283446312, -0.8648232668638229, -0.9564797729253769, -0.8684248924255371, -0.9154285490512848, -1.0221348609775305, -1.0996938198804855, -1.0088267382234335, -0.9607827439904213, -0.8901603370904922, -1.043264202773571, -0.9752046074718237, -0.8715673387050629, -0.9770266804844141, -1.006744374986738, -0.9940700549632311, -1.0419639311730862, -1.0820213854312897, -1.1595488935709, -0.8786033093929291, -0.9636234194040298, -1.0326995588839054, -0.9541270770132542, -0.9379170909523964, -0.9257977157831192, -0.966147817671299, -0.9601988531649113, -1.1558500826358795, -1.0214271619915962, -1.013150372542441, -1.0285292491316795, -0.7640612423419952, -1.1061751320958138, -0.9792045671492815, -1.0514720976352692, -0.8336027413606644, -0.8318304121494293, -0.987543641589582, -1.1939521431922913, -1.0167662259191275, -1.0035257413983345, -1.0564266666769981, -1.0150093706324697, -1.2153047621250153, -1.0735615491867065, -0.9382244870066643, -0.9299697130918503, -1.0133839650079608, -0.9406472593545914, -1.1642467081546783, -0.9538675658404827, -1.1572192013263702, -0.856642484664917, -0.9756929371505976, -0.9356280937790871, -1.0621009543538094, -1.001968702301383, -1.1201469004154205, -1.0438699573278427, -0.9028490856289864, -0.912967249751091, -0.9874090887606144, -0.999416284263134, -1.0931664854288101, -1.0408903174102306, -0.7699706703424454, -0.8609019666910172, -0.8486586064100266, -0.9929737723432481, -0.982149887830019, -0.8642725944519043, -0.9411901608109474, -1.0073360837996006]|63833.2734375000000000|      2.00000000|[65, 0, 0, 1]                                                              | | GPS sucess | actual_k=0
       2|[-1.2987967962399125, -1.3626528605818748, -0.9787549544125795, -1.0075079649686813, -0.9827787429094315, -0.7569666542112827, -0.7218495458364487, -0.5121238827705383, -0.7069752069655806, -0.7135890275239944, -1.187967237085104, -0.69947150349617, -0.8435948230326176, -1.075547493994236, -0.9716641753911972, -0.5761600434780121, -1.2848970144987106, -1.0505985096096992, -0.7303997748531401, -0.8313694335520267, -1.1473392210900784, -1.068087637424469, -0.9544395878911018, -0.9256879687309265, -1.011087141931057, -1.243164286017418, -0.6742939054965973, -0.7139917016029358, -0.989856980741024, -1.0950380563735962, -1.2395695056766272, -1.3854169100522995, -1.0972070451825857, -0.7192993387579918, -0.9865157455205917, -0.9487102404236794, -1.0712599959224463, -0.8782999813556671, -0.8825872335582972, -0.8739760569296777, -0.6567153949290514, -1.2829379104077816, -0.8571204990148544, -1.1153191663324833, -1.1355086266994476, -0.6817764788866043, -0.554823849350214, -0.7331455387175083, -1.297754742205143, -1.0998550802469254, -1.3979644253849983, -1.1497837491333485, -0.8975218236446381, -1.2146898284554482, -0.7882235432043672, -1.1470189690589905, -0.4876627027988434, -0.8241092041134834, -0.8160193283110857, -1.007219359278679, -0.6546080261468887, -0.7570571005344391, -0.9611569931730628, -1.0695356726646423, -0.7109288033097982, -1.051273088902235, -0.5604179427027702, -0.936885085888207, -1.0725772678852081, -0.8331112265586853, -0.6226541325449944, -0.8996502663940191, -0.9577680928632617, -0.9894682466983795, -1.3116978704929352, -0.885204266756773, -1.2940936386585236, -0.778783805668354, -0.9568354580551386, -0.7299298420548439, -1.0882949754595757, -1.0706063117831945, -1.222024843096733, -1.1292253285646439, -0.9307486489415169, -1.0282477363944054, -1.0389082878828049, -0.881544753909111, -0.8670363873243332, -0.7938444726169109, -0.7200293615460396, -1.151745542883873, -0.6782796531915665, -0.7131067193113267, -0.9421856440603733, -0.5458106696605682, -0.7412129864096642, -1.299440924078226]|62563.5742187500000000|      4.00000000|[129, 0, 0, 2]                                                             | | GPS sucess | actual_k=0
       3|[-0.9400753535657695, -1.0223736612387955, -0.6623007721307119, -0.5804122189225076, -0.4489068763258192, -1.1031605168836878, -0.610383391149449, -0.2739949560322185, -0.523753567444249, -1.1090902500762438, 0.021351029560402, -0.4328982827019587, -0.2848046348422697, -0.4338822088866503, -0.3913151334750423, -0.8892799797940996, -0.7203955952524658, -1.0522014117125222, -0.3089826941728284, -1.0016237109831203, -0.6785603955597446, -0.6884847017362093, -1.0402202297831604, -0.6998545750583651, -0.5601357791284198, -1.081804410460337, -0.6857569747516786, -0.8042679688709579, -0.6416930462389343, -0.6322168449818766, -0.7753880847241559, -0.3825605714056457, -1.1947306455766222, -0.4993242508578336, -0.8822735219585762, -0.5717921798641334, -0.8329931282232284, -0.6241861387045013, -0.7021936205641157, -0.1334007006964559, -0.3372576135424195, -1.0300099110782732, -0.8151747625457106, -0.6884350293111716, -1.0262442353976087, 0.0323000785284415, -0.2947807884168853, -1.341499727956903, -0.6813969526287742, -0.3481535382575249, -1.5973358315457065, -0.8670100200407647, -1.050077428854582, -1.1266696527857978, -0.8163942239023915, -0.6259229181324988, -0.4782735209175576, 0.143771415107862, -0.8207432142761957, -1.1519044770090416, -0.027117939641122, -0.3814847135951355, -0.4719049420336994, -0.6908984910445579, -0.3826851430766578, -0.690715793677497, -0.6391939987705249, -0.4430177425928106, -0.60082200219135, -0.6378500989662683, -0.5642796805680966, -1.389033466476598, -0.8034734687072542, -0.5829077625425485, -1.1776650920160652, -0.8235692764085002, -1.130851405841799, -0.7999952661220823, -1.3908979811300173, -0.5069185815563345, -0.8713937102917362, -1.3284474193699451, -0.8464944528513261, -0.8618254513873858, -0.2007932787001443, -0.4832484204434924, -0.5097883046458632, -1.1184925020041097, -0.6041340417498358, -1.2996610248016285, -0.5902694296853829, -1.1115595557889362, -0.505269252562161, -0.2784657904210546, -0.8841970694107277, -0.9549265346552542, -0.2765858561260997, -1.3172871098372958]|50419.4492187500000000|      8.00000000|[254, 0, 0, 4]                                                             |  | trying linear partial model with 65 points | iterate success | actual_k=0
       4|[-0.9020057362904145, -0.3259572877216059, -1.5682713243621151, 0.1104380474430312, 0.3328829735907646, -1.7373093932080235, -0.6283045165868344, -0.0944758404404458, -1.0902086599584568, -1.2974826911725075, 0.2110500480738864, -0.7789107546663998, 0.4527620524131543, -1.3461948498666043, -0.8388853884447223, -0.5514110198736937, -0.0801385151423885, -0.6606706405253373, -0.95649947080463, 0.002206528334648, -0.4845220114706551, -0.064922530153343, -0.2742844747837269, -1.738621132864296, -1.070468647576638, -0.5307005830865165, -0.1582986409399154, -1.6012372284808034, -0.1660037521165276, -0.6908773522584644, -0.649675564460968, 0.0765775966164942, -1.4796378654769882, 0.1176288544053038, -0.2648799356161363, 0.5408056555787435, 0.2901233979337521, -0.3057137635084829, -0.4104554806160058, 1.3403939120631108, -0.8882363493602731, -0.7833397356810032, -0.1027120212045254, -0.7355960617605786, -0.3464958705272227, 0.0526489500550583, -0.6218535599536903, -1.274520913765532, 0.0358095682809263, -0.3952381715408788, -0.937431369766879, -0.3161607580663656, 0.1329698683897387, -0.7385048536078804, 1.1983026408266548, -1.1922920941329742, 0.1948082929952885, 0.1321416246300744, 0.693342250741589, 0.8360235604903625, -0.723448426254385, -0.7879762404950718, -0.3740874020329541, -0.0133042943357301, -0.0280773462602584, -0.7027293561787816, -0.4620699523401807, -0.1916297778001413, 0.4763708922183449, -0.1558455111002203, 1.9382254650120285, -0.2370615611241469, -0.2108230993761524, -1.4877453331201376, -1.8086608366441286, 0.796668570298161, 0.1692615994900359, 0.3623596412310398, -0.5472152911000218, 0.3027744783794465, -1.3597542681235333, 0.1256719970131934, 0.2118443018614748, -0.4626053106797317, -1.091497993662876, -0.5300403433089311, -0.6420403896258153, -0.2126722848085069, 0.9212107964794807, -0.5033312608374586, -1.0735458379142075, -0.3769307035831003, 0.3680658684613634, 0.6277340415844492, -0.8519086098664748, -1.4379231008020132, 0.0366273204580895, -2.758991656414925]|49765.7695312500000000|     16.00000000|[379, 0, 0, 6]                                                             |  | trying linear partial model with 65 points | (iterate failure) trying more points before decreasing delta| GPS sucess | actual_k=0
       5|[-0.9020057362904145, -0.3259572877216059, -1.5682713243621151, 0.1104380474430312, 0.3328829735907646, -1.7373093932080235, -0.6283045165868344, -0.0944758404404458, -1.0902086599584568, -1.2974826911725075, 0.2110500480738864, -0.7789107546663998, 0.4527620524131543, -1.3461948498666043, -0.8388853884447223, -0.5514110198736937, -0.0801385151423885, -0.6606706405253373, -0.95649947080463, 0.002206528334648, -0.4845220114706551, -0.064922530153343, -0.2742844747837269, -1.738621132864296, -1.070468647576638, -0.5307005830865165, -0.1582986409399154, -1.6012372284808034, -0.1660037521165276, -0.6908773522584644, -0.649675564460968, 0.0765775966164942, -1.4796378654769882, 0.1176288544053038, -0.2648799356161363, 0.5408056555787435, 0.2901233979337521, -0.3057137635084829, -0.4104554806160058, 1.3403939120631108, -0.8882363493602731, -0.7833397356810032, -0.1027120212045254, -0.7355960617605786, -0.3464958705272227, 0.0526489500550583, -0.6218535599536903, -1.274520913765532, 0.0358095682809263, -0.3952381715408788, -0.937431369766879, -0.3161607580663656, 0.1329698683897387, -0.7385048536078804, 1.1983026408266548, -1.1922920941329742, 0.1948082929952885, 0.1321416246300744, 0.693342250741589, 0.8360235604903625, -0.723448426254385, -0.7879762404950718, -0.3740874020329541, -0.0133042943357301, -0.0280773462602584, -0.7027293561787816, -0.4620699523401807, -0.1916297778001413, 0.4763708922183449, -0.1558455111002203, 1.9382254650120285, -0.2370615611241469, -0.2108230993761524, -1.4877453331201376, -1.8086608366441286, 0.796668570298161, 0.1692615994900359, 0.3623596412310398, -0.5472152911000218, 0.3027744783794465, -1.3597542681235333, 0.1256719970131934, 0.2118443018614748, -0.4626053106797317, -1.091497993662876, -0.5300403433089311, -0.6420403896258153, -0.2126722848085069, 0.9212107964794807, -0.5033312608374586, -1.0735458379142075, -0.3769307035831003, 0.3680658684613634, 0.6277340415844492, -0.8519086098664748, -1.4379231008020132, 0.0366273204580895, -2.758991656414925]|49765.7695312500000000|      8.00000000|[565, 0, 0, 9]                                                             |  | trying linear partial model with 65 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 126 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       6|[-0.3110504514982003, -0.2152681492059541, -1.5053161006205946, -0.0443051989944574, 0.7189099664529262, -1.814966654612516, -1.023708041018574, 0.8035198369928878, -0.2987160341222551, -2.159514523871172, 1.1262206120968947, -0.6877823747605127, -0.7303457503805896, -1.3010602067207744, -0.31373013660698, -0.8817170820717021, 0.3501251279776198, -1.338591163688033, -0.6893844010493965, 0.9659763182529674, -0.296889721685699, -0.2067997753744411, -0.7449068617195118, -1.4794200640715065, 0.1783406348657752, 0.6671172402201663, -0.7879682583843559, -0.5138998014999734, 0.1991786438585837, -0.4529931329742203, -0.3192970572995567, 0.8727651120164606, -1.7762297812074117, -0.3373222327762968, 0.6220841057070301, -0.0253463059809074, -1.0769200418041982, 1.0977482268554954, -0.0556760069021752, 1.2719786559475277, -0.4762662342024562, 0.0901618753791694, 0.5687808721200359, 0.0290898079150841, -0.5667778506278299, 0.2852571312456622, -0.4248272880717794, -1.1819778716414782, 0.579307129803156, 0.101377577762769, -0.3228536406046447, 0.5441855134745062, 1.7228201138826762, 0.079843208548211, 0.8142114622338966, 0.8720018031258034, 0.3560510895181905, 0.66710551932388, 0.4833104189719546, 1.0531588068890696, -0.9696380097970125, 0.0424659632292566, 0.1694274416135081, -1.514914941638693, 0.8587405397807302, -0.7218637712887054, 1.3811779747791944, 1.2514015098836138, 0.8095789110457923, -0.5247556386861678, -0.268669466576966, -0.7328626959018729, 0.4894037600971519, 0.4222498030170234, -0.5550388369126575, 0.9720786498807383, 0.2612668826520334, -0.0389327117230742, -0.3943407253607363, -0.4889228680628916, -0.1794052198207017, 0.312401025610432, 0.3508136180894025, 0.0889778027304756, 1.254280779109889, -0.7071611494279006, -1.3068248452395395, -1.5331017409060728, 0.2372897473337269, -1.0278177709329306, -0.5204981595713699, -0.6734737412547405, 0.4240120327440482, -0.3628257322280789, -0.2546194481466394, -1.4195332902617186, 0.5514548453652539, -3.1214852947306895]|46274.7929687500000000|     16.00000000|[690, 0, 0, 11]                                                            |  | trying linear partial model with 65 points | (iterate failure) trying more points before decreasing delta| GPS sucess | actual_k=0
       7|[-0.3110504514982003, -0.2152681492059541, -1.5053161006205946, -0.0443051989944574, 0.7189099664529262, -1.814966654612516, -1.023708041018574, 0.8035198369928878, -0.2987160341222551, -2.159514523871172, 1.1262206120968947, -0.6877823747605127, -0.7303457503805896, -1.3010602067207744, -0.31373013660698, -0.8817170820717021, 0.3501251279776198, -1.338591163688033, -0.6893844010493965, 0.9659763182529674, -0.296889721685699, -0.2067997753744411, -0.7449068617195118, -1.4794200640715065, 0.1783406348657752, 0.6671172402201663, -0.7879682583843559, -0.5138998014999734, 0.1991786438585837, -0.4529931329742203, -0.3192970572995567, 0.8727651120164606, -1.7762297812074117, -0.3373222327762968, 0.6220841057070301, -0.0253463059809074, -1.0769200418041982, 1.0977482268554954, -0.0556760069021752, 1.2719786559475277, -0.4762662342024562, 0.0901618753791694, 0.5687808721200359, 0.0290898079150841, -0.5667778506278299, 0.2852571312456622, -0.4248272880717794, -1.1819778716414782, 0.579307129803156, 0.101377577762769, -0.3228536406046447, 0.5441855134745062, 1.7228201138826762, 0.079843208548211, 0.8142114622338966, 0.8720018031258034, 0.3560510895181905, 0.66710551932388, 0.4833104189719546, 1.0531588068890696, -0.9696380097970125, 0.0424659632292566, 0.1694274416135081, -1.514914941638693, 0.8587405397807302, -0.7218637712887054, 1.3811779747791944, 1.2514015098836138, 0.8095789110457923, -0.5247556386861678, -0.268669466576966, -0.7328626959018729, 0.4894037600971519, 0.4222498030170234, -0.5550388369126575, 0.9720786498807383, 0.2612668826520334, -0.0389327117230742, -0.3943407253607363, -0.4889228680628916, -0.1794052198207017, 0.312401025610432, 0.3508136180894025, 0.0889778027304756, 1.254280779109889, -0.7071611494279006, -1.3068248452395395, -1.5331017409060728, 0.2372897473337269, -1.0278177709329306, -0.5204981595713699, -0.6734737412547405, 0.4240120327440482, -0.3628257322280789, -0.2546194481466394, -1.4195332902617186, 0.5514548453652539, -3.1214852947306895]|46274.7929687500000000|      8.00000000|[876, 0, 0, 14]                                                            |  | trying linear partial model with 65 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 126 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       8|[-0.3110504514982003, -0.2152681492059541, -1.5053161006205946, -0.0443051989944574, 0.7189099664529262, -1.814966654612516, -1.023708041018574, 0.8035198369928878, -0.2987160341222551, -2.159514523871172, 1.1262206120968947, -0.6877823747605127, -0.7303457503805896, -1.3010602067207744, -0.31373013660698, -0.8817170820717021, 0.3501251279776198, -1.338591163688033, -0.6893844010493965, 0.9659763182529674, -0.296889721685699, -0.2067997753744411, -0.7449068617195118, -1.4794200640715065, 0.1783406348657752, 0.6671172402201663, -0.7879682583843559, -0.5138998014999734, 0.1991786438585837, -0.4529931329742203, -0.3192970572995567, 0.8727651120164606, -1.7762297812074117, -0.3373222327762968, 0.6220841057070301, -0.0253463059809074, -1.0769200418041982, 1.0977482268554954, -0.0556760069021752, 1.2719786559475277, -0.4762662342024562, 0.0901618753791694, 0.5687808721200359, 0.0290898079150841, -0.5667778506278299, 0.2852571312456622, -0.4248272880717794, -1.1819778716414782, 0.579307129803156, 0.101377577762769, -0.3228536406046447, 0.5441855134745062, 1.7228201138826762, 0.079843208548211, 0.8142114622338966, 0.8720018031258034, 0.3560510895181905, 0.66710551932388, 0.4833104189719546, 1.0531588068890696, -0.9696380097970125, 0.0424659632292566, 0.1694274416135081, -1.514914941638693, 0.8587405397807302, -0.7218637712887054, 1.3811779747791944, 1.2514015098836138, 0.8095789110457923, -0.5247556386861678, -0.268669466576966, -0.7328626959018729, 0.4894037600971519, 0.4222498030170234, -0.5550388369126575, 0.9720786498807383, 0.2612668826520334, -0.0389327117230742, -0.3943407253607363, -0.4889228680628916, -0.1794052198207017, 0.312401025610432, 0.3508136180894025, 0.0889778027304756, 1.254280779109889, -0.7071611494279006, -1.3068248452395395, -1.5331017409060728, 0.2372897473337269, -1.0278177709329306, -0.5204981595713699, -0.6734737412547405, 0.4240120327440482, -0.3628257322280789, -0.2546194481466394, -1.4195332902617186, 0.5514548453652539, -3.1214852947306895]|46274.7929687500000000|      4.00000000|[1062, 0, 0, 17]                                                           |  | trying linear partial model with 65 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 126 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       9|[0.5269923233092929, -0.1463015524399128, -0.92116039890032, 0.268508640961808, 0.6528458897068857, -1.0316436732845822, -1.0299558592519655, 0.5621474365514456, -0.0877485021042007, -1.0745691183671906, 0.6818251185708215, -0.6512087804663803, -0.4438731979643699, -0.4728443368433233, 0.1436026657122425, -1.1776842153574867, 0.5578233147972416, -0.5430215018717162, -0.0317413414707693, 0.3536267764124325, -0.2057486605100955, -0.4019575482169307, -0.8244060622842371, -1.0806020108718941, 0.7295185974700528, 0.4083144086436677, -0.6545454410070766, -0.602596532510627, -0.378847098123102, -0.2445884235404638, -0.4127134648984466, 0.4888240632797186, -1.3946716602970557, -0.9018975457542141, 0.3304624923911508, 0.4086627328756559, -1.3062660056435438, 0.7146756832313808, -0.0938395869248826, 0.7783685863941596, 0.2128340607463768, -0.5475870792539512, 0.3896269044928624, 0.2398337992553234, -0.1913579134954238, 0.2858447618769778, 0.11574570676958, -1.433285635492038, 0.1162279493645346, -0.218313644010568, -0.0092610899423169, 0.8212915281608741, 1.339320606416507, 0.5387922712408914, 0.9336794823558383, 0.7641268461492638, 0.9563972174027533, 0.2856927077194948, 0.382208596831869, 1.1650195660485863, -1.4230713348638329, 0.2314394127082907, 0.4389251292170294, -0.3708054585737504, 0.6350550341542274, -0.9005230227168584, 1.380027282708211, 0.9708188472445742, 0.9972681259475449, -0.4281438143478742, -0.2111918879375242, -0.6560460936759285, -0.2144862165758646, 0.2627924851324244, -0.5732428849582394, 0.9259546284919992, 0.5307152293394164, 0.4486467661362951, -0.460684171646716, -0.117801681560149, -0.4796729438547966, 0.2226635862443723, 0.801578816239584, 0.4606685666920387, 1.193085143369398, -1.0466600448016652, -1.134117534186013, -1.0108301025702588, 0.3239958841864849, -0.4687922685859662, -0.3268822775296026, -1.1040391289030294, 0.621073709128769, -1.2204010081719272, -0.3290840027415642, -1.3301078470828676, 0.4232954217005203, -3.1911405985597856]|41155.6757812500000000|      8.00000000|[1187, 0, 0, 19]                                                           |  | trying linear partial model with 65 points | iterate success | actual_k=0
      10|[0.5269923233092929, -0.1463015524399128, -0.92116039890032, 0.268508640961808, 0.6528458897068857, -1.0316436732845822, -1.0299558592519655, 0.5621474365514456, -0.0877485021042007, -1.0745691183671906, 0.6818251185708215, -0.6512087804663803, -0.4438731979643699, -0.4728443368433233, 0.1436026657122425, -1.1776842153574867, 0.5578233147972416, -0.5430215018717162, -0.0317413414707693, 0.3536267764124325, -0.2057486605100955, -0.4019575482169307, -0.8244060622842371, -1.0806020108718941, 0.7295185974700528, 0.4083144086436677, -0.6545454410070766, -0.602596532510627, -0.378847098123102, -0.2445884235404638, -0.4127134648984466, 0.4888240632797186, -1.3946716602970557, -0.9018975457542141, 0.3304624923911508, 0.4086627328756559, -1.3062660056435438, 0.7146756832313808, -0.0938395869248826, 0.7783685863941596, 0.2128340607463768, -0.5475870792539512, 0.3896269044928624, 0.2398337992553234, -0.1913579134954238, 0.2858447618769778, 0.11574570676958, -1.433285635492038, 0.1162279493645346, -0.218313644010568, -0.0092610899423169, 0.8212915281608741, 1.339320606416507, 0.5387922712408914, 0.9336794823558383, 0.7641268461492638, 0.9563972174027533, 0.2856927077194948, 0.382208596831869, 1.1650195660485863, -1.4230713348638329, 0.2314394127082907, 0.4389251292170294, -0.3708054585737504, 0.6350550341542274, -0.9005230227168584, 1.380027282708211, 0.9708188472445742, 0.9972681259475449, -0.4281438143478742, -0.2111918879375242, -0.6560460936759285, -0.2144862165758646, 0.2627924851324244, -0.5732428849582394, 0.9259546284919992, 0.5307152293394164, 0.4486467661362951, -0.460684171646716, -0.117801681560149, -0.4796729438547966, 0.2226635862443723, 0.801578816239584, 0.4606685666920387, 1.193085143369398, -1.0466600448016652, -1.134117534186013, -1.0108301025702588, 0.3239958841864849, -0.4687922685859662, -0.3268822775296026, -1.1040391289030294, 0.621073709128769, -1.2204010081719272, -0.3290840027415642, -1.3301078470828676, 0.4232954217005203, -3.1911405985597856]|41155.6757812500000000|      4.00000000|[1373, 0, 0, 22]                                                           |  | trying linear partial model with 65 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 126 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      11|[1.2323023182521926, 0.1365136385943233, -0.3334064544387882, 0.456163656903202, 0.0500463774798033, -0.5504156311052133, -0.7058131399507822, 0.9437225950277006, 0.0878732476957736, -0.9637538790593229, 1.3443846111030946, -0.7570040716259359, -0.3741181729202231, -0.6116313590915288, 0.2069278864572399, -0.8041197297242545, 0.5888853447856084, -0.5963377290152891, -0.3390806056012224, 0.2566474690061565, -0.3841371833937625, -0.3921405980171145, -0.313676720680913, -1.3090380019482255, 0.681828051420374, 0.3691467590462371, -0.791498219481046, -0.6862436541829808, -0.321944268249542, -0.7492474056987803, -1.1585178952289987, 0.7619842612113286, -1.5191150852766802, -1.072819211260975, 0.6437431014107832, 0.7902109106358195, -0.8764738650979368, 0.7729707176191248, -0.5910516073325266, 0.5313049334572704, -0.1253569270067245, -0.3447677787322467, 0.6403599921623419, 0.2754221201947895, 0.13059346159208, 0.7956004036705874, 0.3718195146544801, -0.928903633934774, 0.1225356992569144, -0.2826433129308433, 0.7182842853708133, 0.2291128904303121, 0.9016305108534899, 0.8543863960599913, 0.6699672565714323, 1.0332653813610708, 0.9663265256436562, 0.780890689659289, 0.5438431383105929, 1.1827614371153599, -0.6293126500048422, 0.2817615953837874, 0.2774610442027727, -0.4410822106470911, -0.0026995621094474, -0.1366791041628811, 0.9516598787307775, 0.8950943431238594, 0.4767713298182393, -0.160370434498819, -0.4269691550108067, -0.8390749929852876, -0.6390214082673427, 0.1501336350643581, -1.0780930947062137, 0.9959200229512173, 0.0322864843186635, 0.2865350176950996, -0.1754649430065863, 0.0457771101412139, -0.6758576915706307, 0.3023122813801667, 0.2105911100210546, 0.3435673450591007, -0.088023863911471, 0.5318808453671378, -0.9155753558728306, -0.9413630817783373, 0.9371578638042202, 0.030552561954505, -0.5423350899267051, -1.2617831566688167, 1.0584373670005298, -0.9250145391240672, -0.3421389381561847, -0.9828717470733093, 0.5905571807848582, -3.453474386854331]|39695.6093750000000000|      8.00000000|[1498, 0, 0, 24]                                                           |  | trying linear partial model with 65 points | iterate success | actual_k=0
      12|[1.2323023182521926, 0.1365136385943233, -0.3334064544387882, 0.456163656903202, 0.0500463774798033, -0.5504156311052133, -0.7058131399507822, 0.9437225950277006, 0.0878732476957736, -0.9637538790593229, 1.3443846111030946, -0.7570040716259359, -0.3741181729202231, -0.6116313590915288, 0.2069278864572399, -0.8041197297242545, 0.5888853447856084, -0.5963377290152891, -0.3390806056012224, 0.2566474690061565, -0.3841371833937625, -0.3921405980171145, -0.313676720680913, -1.3090380019482255, 0.681828051420374, 0.3691467590462371, -0.791498219481046, -0.6862436541829808, -0.321944268249542, -0.7492474056987803, -1.1585178952289987, 0.7619842612113286, -1.5191150852766802, -1.072819211260975, 0.6437431014107832, 0.7902109106358195, -0.8764738650979368, 0.7729707176191248, -0.5910516073325266, 0.5313049334572704, -0.1253569270067245, -0.3447677787322467, 0.6403599921623419, 0.2754221201947895, 0.13059346159208, 0.7956004036705874, 0.3718195146544801, -0.928903633934774, 0.1225356992569144, -0.2826433129308433, 0.7182842853708133, 0.2291128904303121, 0.9016305108534899, 0.8543863960599913, 0.6699672565714323, 1.0332653813610708, 0.9663265256436562, 0.780890689659289, 0.5438431383105929, 1.1827614371153599, -0.6293126500048422, 0.2817615953837874, 0.2774610442027727, -0.4410822106470911, -0.0026995621094474, -0.1366791041628811, 0.9516598787307775, 0.8950943431238594, 0.4767713298182393, -0.160370434498819, -0.4269691550108067, -0.8390749929852876, -0.6390214082673427, 0.1501336350643581, -1.0780930947062137, 0.9959200229512173, 0.0322864843186635, 0.2865350176950996, -0.1754649430065863, 0.0457771101412139, -0.6758576915706307, 0.3023122813801667, 0.2105911100210546, 0.3435673450591007, -0.088023863911471, 0.5318808453671378, -0.9155753558728306, -0.9413630817783373, 0.9371578638042202, 0.030552561954505, -0.5423350899267051, -1.2617831566688167, 1.0584373670005298, -0.9250145391240672, -0.3421389381561847, -0.9828717470733093, 0.5905571807848582, -3.453474386854331]|39695.6093750000000000|      4.00000000|[1684, 0, 0, 27]                                                           |  | trying linear partial model with 65 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 126 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
