k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.5, 0.5]                                                                      |  0.4598493014643029|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.0363116860389709, 0.1440581679344177]                                        |  0.0541851036250591|      2.00000000|[4, 1, 0, 1]                                                               | | GPS sucess | actual_k=1
       2|[0.0363116860389709, 0.1440581679344177]                                        |  0.0541851036250591|      1.00000000|[7, 2, 1, 3]                                                               |  | used linear model with 5 points | iterate failure | actual_k=1
       3|[0.0363116860389709, 0.1440581679344177]                                        |  0.0541851036250591|      0.50000000|[11, 3, 2, 5]                                                              |  | used linear model with 5 points | iterate failure | actual_k=1
       4|[0.0363116860389709, 0.1440581679344177]                                        |  0.0541851036250591|      0.25000000|[15, 4, 3, 7]                                                              |  | used linear model with 5 points | iterate failure | actual_k=1
       5|[0.1012084409594536, 0.0324530154466629]                                        |  0.0206874646246433|      0.50000000|[19, 5, 3, 8]                                                              | | GPS sucess | actual_k=1
       6|[0.1012084409594536, 0.0324530154466629]                                        |  0.0206874646246433|      0.25000000|[22, 6, 4, 10]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       7|[0.1012084409594536, 0.0324530154466629]                                        |  0.0206874646246433|      0.12500000|[26, 7, 5, 12]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       8|[0.0108819531006134, -0.0539537296088407]                                       |  0.0093646370251132|      0.25000000|[30, 8, 6, 14]                                                             |  | used linear model with 5 points | iterate success | actual_k=1
       9|[0.0108819531006134, -0.0539537296088407]                                       |  0.0093646370251132|      0.12500000|[34, 9, 7, 16]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
      10|[0.0108819531006134, -0.0539537296088407]                                       |  0.0093646370251132|      0.06250000|[38, 10, 8, 18]                                                            |  | used linear model with 5 points | iterate failure | actual_k=1
      11|[-0.0219200363653385, -0.0063112825544546]                                      |  0.0011114106746390|      0.12500000|[42, 11, 8, 19]                                                            | | GPS sucess | actual_k=1
      12|[-0.0219200363653385, -0.0063112825544546]                                      |  0.0011114106746390|      0.06250000|[45, 12, 9, 21]                                                            |  | used linear model with 5 points | iterate failure | actual_k=1
