k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[-1.2, 1.0, 10000000000.0, 10000000000.0]                                       |100000000000000000000.0000000000000000|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[-1.2, 1.0, 10000000000.0, 10000000000.0]                                       |100000000000000000000.0000000000000000|      0.50000000|[7, 4, 0, 4]                                                               |  | trying linear partial model with 4 points | trying linear partial model with 6 points | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
       2|[-1.2, 1.0, 10000000000.0, 10000000000.0]                                       |100000000000000000000.0000000000000000|      0.25000000|[12, 8, 0, 8]                                                              |  | trying linear partial model with 4 points | trying linear partial model with 6 points | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=1
       3|[-1.2, 1.0, 10000000000.0, 10000000000.0]                                       |100000000000000000000.0000000000000000|      0.12500000|[18, 12, 0, 12]                                                            |  | trying linear partial model with 4 points | trying linear partial model with 6 points | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
       4|[-1.2, 1.0, 10000000000.0, 10000000000.0]                                       |100000000000000000000.0000000000000000|      0.06250000|[23, 17, 0, 17]                                                            |  | trying linear partial model with 4 points | trying linear partial model with 6 points | trying linear partial model with 7 points | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
       5|[-1.2, 1.0, 10000000000.0, 10000000000.0]                                       |100000000000000000000.0000000000000000|      0.03125000|[28, 21, 0, 21]                                                            |  | trying linear partial model with 4 points | trying linear partial model with 6 points | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
       6|[-1.2, 1.0, 10000000000.0, 10000000000.0]                                       |100000000000000000000.0000000000000000|      0.01562500|[33, 26, 0, 26]                                                            |  | trying linear partial model with 4 points | trying linear partial model with 6 points | trying linear partial model with 7 points | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
       7|[-1.2, 1.0, 10000000000.0, 10000000000.0]                                       |100000000000000000000.0000000000000000|      0.00781250|[39, 30, 0, 30]                                                            |  | trying linear partial model with 4 points | trying linear partial model with 6 points | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
       8|[-1.2, 1.0, 10000000000.0, 10000000000.0]                                       |100000000000000000000.0000000000000000|      0.00390625|[44, 34, 0, 34]                                                            |  | trying linear partial model with 4 points | trying linear partial model with 5 points | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=1
       9|[-1.2, 1.0, 10000000000.0, 10000000000.0]                                       |100000000000000000000.0000000000000000|      0.00195312|[50, 38, 0, 38]                                                            |  | trying linear partial model with 4 points | trying linear partial model with 6 points | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      10|[-1.2, 1.0, 10000000000.0, 10000000000.0]                                       |100000000000000000000.0000000000000000|      0.00097656|[56, 42, 0, 42]                                                            |  | trying linear partial model with 4 points | trying linear partial model with 6 points | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
