k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[-1.2, 1.0]                                                                     | 24.1999999999999957|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[-0.6285364747047424, 0.1793725490570068]                                       |  7.3041567802429199|      2.00000000|[5, 0, 0, 1]                                                               | | GPS sucess | actual_k=0
       2|[-0.6285364747047424, 0.1793725490570068]                                       |  7.3041567802429199|      1.00000000|[9, 0, 1, 3]                                                               |  | used linear model with 5 points | iterate failure | actual_k=0
       3|[-0.6285364747047424, 0.1793725490570068]                                       |  7.3041567802429199|      0.50000000|[14, 0, 2, 5]                                                              |  | used linear model with 5 points | iterate failure | actual_k=0
       4|[-0.1532079696655273, 0.0242508053779602]                                       |  1.3299491405487061|      1.00000000|[19, 0, 2, 6]                                                              | | GPS sucess | actual_k=0
       5|[-0.1532079696655273, 0.0242508053779602]                                       |  1.3299491405487061|      0.50000000|[23, 0, 3, 8]                                                              |  | used linear model with 5 points | iterate failure | actual_k=0
       6|[-0.1532079696655273, 0.0242508053779602]                                       |  1.3299491405487061|      0.25000000|[28, 0, 4, 10]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
       7|[0.0821725457906723, -0.0599870011210442]                                       |  1.2878210544586182|      0.50000000|[33, 0, 4, 11]                                                             | | GPS sucess | actual_k=0
       8|[0.0821725457906723, -0.0599870011210442]                                       |  1.2878210544586182|      0.25000000|[37, 0, 5, 13]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
       9|[0.0821725457906723, -0.0599870011210442]                                       |  1.2878210544586182|      0.12500000|[42, 0, 6, 15]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
      10|[0.2034406393766404, -0.0296712052077055]                                       |  1.1394492387771606|      0.25000000|[47, 0, 6, 16]                                                             | | GPS sucess | actual_k=0
      11|[0.4040023267269135, 0.1195769477635622]                                        |  0.5456663370132446|      0.50000000|[51, 0, 6, 17]                                                             | | GPS sucess | actual_k=0
      12|[0.7288465678691864, 0.4996771980077028]                                        |  0.1730021089315414|      1.00000000|[55, 0, 6, 18]                                                             | | GPS sucess | actual_k=0
      13|[0.7288465678691864, 0.4996771980077028]                                        |  0.1730021089315414|      0.50000000|[59, 0, 7, 20]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
