k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]| 15.0000174966258228|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.0512020327150822, -0.3284987807273865, 0.1747747957706451, 0.4842114746570587, 0.3365215063095093, 0.2501654624938965, 0.1724041551351547, 0.245895192027092, -0.0109115429222584, 0.1118864566087723, 0.0263772290199995, -0.1730238348245621, 0.059964794665575, 0.1842759251594543, -0.1574073135852814, -0.1547022312879562, -0.2951728701591492, 0.0426227189600468, -0.3072008490562439, -0.0202190857380629, 0.2125610560178757, -0.0013137486530468]| 14.1178884506225586|      2.00000000|[61, 4, 0, 1]                                                              | | GPS sucess | actual_k=4
       2|[0.7507691718637943, 0.4639526605606079, 0.7385883629322052, 1.031461387872696, 0.160043329000473, -0.098866879940033, -0.2250182777643204, 1.221128448843956, -0.414238978177309, 0.3225178867578506, 0.3058067243546247, -0.2174288854002953, -0.0016594007611275, 0.4090747684240341, -0.4016135632991791, -0.8081859797239304, -0.167883113026619, -0.0701819323003292, -0.3313564639538527, 0.2391276080161333, 0.4793875366449356, -0.0861470279050991]| 12.6901168823242188|      4.00000000|[121, 8, 0, 2]                                                             | | GPS sucess | actual_k=4
       3|[0.356065783649683, 0.8064203560352325, 0.2951704561710358, 2.672851115465164, 1.560154289007187, -0.0833848984912038, 0.1147547215223312, 1.235418377444148, 0.7672442905604839, 0.7383682876825333, -1.0642801839858294, 0.6312348619103432, -0.7290911749005318, 1.647158369421959, 0.7475002110004425, -1.5489646047353745, -0.1311167292296886, -0.4699286781251431, -0.4332722183316946, 0.7062130589038134, -0.1712940782308578, -1.4460842189146206]| 12.1455087661743164|      8.00000000|[181, 12, 0, 3]                                                            | | GPS sucess | actual_k=4
       4|[-1.7743167541921139, -1.2053074538707733, -0.4276440441608429, 4.6688152849674225, 4.384524196386337, 2.1465071169659495, -0.679581955075264, 2.439891157671809, 0.0461430065333843, -1.3530618995428085, -5.10163608379662, 4.090571142733097, -0.2714957371354103, 1.534761667251587, 1.5838916599750519, -0.6710224598646164, -0.5675302557647228, 0.1314462460577488, 0.1989175919443369, 0.7435958664864302, 0.0352549999952316, -1.2806450155330822]| 12.1363477706909180|     16.00000000|[241, 16, 0, 4]                                                            | | GPS sucess | actual_k=4
       5|[-1.7743167541921139, -1.2053074538707733, -0.4276440441608429, 4.6688152849674225, 4.384524196386337, 2.1465071169659495, -0.679581955075264, 2.439891157671809, 0.0461430065333843, -1.3530618995428085, -5.10163608379662, 4.090571142733097, -0.2714957371354103, 1.534761667251587, 1.5838916599750519, -0.6710224598646164, -0.5675302557647228, 0.1314462460577488, 0.1989175919443369, 0.7435958664864302, 0.0352549999952316, -1.2806450155330822]| 12.1363477706909180|      8.00000000|[301, 20, 0, 5]                                                            |  | used linear model with 65 points | actual_k=4
       6|[-1.7743167541921139, -1.2053074538707733, -0.4276440441608429, 4.6688152849674225, 4.384524196386337, 2.1465071169659495, -0.679581955075264, 2.439891157671809, 0.0461430065333843, -1.3530618995428085, -5.10163608379662, 4.090571142733097, -0.2714957371354103, 1.534761667251587, 1.5838916599750519, -0.6710224598646164, -0.5675302557647228, 0.1314462460577488, 0.1989175919443369, 0.7435958664864302, 0.0352549999952316, -1.2806450155330822]| 12.1363477706909180|      4.00000000|[361, 24, 0, 6]                                                            |  | used linear model with 65 points | actual_k=4
       7|[-1.527920212596655, -2.696394056081772, -0.4821611419320107, 4.596305288374424, 3.089145749807358, 1.920559304766357, -0.5890834853053093, 2.9509758930653334, -0.4153890497982502, 0.5824594646692276, -6.3793380577117205, 4.379391320049763, -0.1329740509390831, 1.8339225053787231, 1.6212868429720402, -1.3949872106313705, -0.5542292101308703, 1.4303782023489475, 0.8276330474764109, 1.7210489194840193, 1.4124827831983566, -0.5987312820507213]| 12.1356878280639648|      8.00000000|[421, 28, 0, 7]                                                            | | GPS sucess | actual_k=4
       8|[-2.6665229462087154, -4.006058424711227, 0.1605943068861961, 5.417884983122349, -0.1014980375766754, 1.5538252471014857, -1.9202057644724846, 1.0563619118183851, -2.083533752709627, 4.904236808419228, -3.6806407291442156, 5.640728957951069, -1.037401519715786, 1.4049119353294373, 1.2891146577894688, -1.945381984114647, -0.8315051896497607, -0.720997329801321, 0.7902851272374392, -0.8118793088942766, 2.3909021466970444, 0.0294784876750782]| 12.1332912445068359|     16.00000000|[481, 32, 0, 8]                                                            | | GPS sucess | actual_k=4
       9|[-7.39606710895896, -1.288967341184616, 3.204599939286709, 8.354636587202549, -2.677863270044327, 0.7862830637022853, -4.0631570145487785, 2.1614084225147963, -5.826175440102816, 4.55361108481884, -4.037526102736592, 4.879216857254505, 0.0924945250153542, 2.7672327160835266, -1.283866461366415, -11.05474554002285, 0.5590603249147534, -7.488317009061575, -1.3502390217036009, -4.984205396845937, 2.62129308283329, -4.210072579677217]| 12.1268386840820312|     32.00000000|[541, 36, 0, 9]                                                            | | GPS sucess | actual_k=4
      10|[-7.39606710895896, -1.288967341184616, 3.204599939286709, 8.354636587202549, -2.677863270044327, 0.7862830637022853, -4.0631570145487785, 2.1614084225147963, -5.826175440102816, 4.55361108481884, -4.037526102736592, 4.879216857254505, 0.0924945250153542, 2.7672327160835266, -1.283866461366415, -11.05474554002285, 0.5590603249147534, -7.488317009061575, -1.3502390217036009, -4.984205396845937, 2.62129308283329, -4.210072579677217]| 12.1268386840820312|     16.00000000|[601, 40, 0, 10]                                                           |  | used linear model with 65 points | actual_k=4
      11|[-12.62677189335227, -0.1326838433742523, 4.9262823686003685, 12.186507858335972, -1.5215452015399933, 0.7623259900137782, -4.113797411322594, 8.854356287047267, -8.933501709252596, 3.520187422633171, 1.8833861630409956, -0.364238552749157, -2.5264174565672874, 2.2846599221229553, 0.194914523512125, -14.646960601210594, 6.2607252495363355, -8.527247305959463, -1.6382495891302824, -5.683063002303243, -0.2378527969121933, 0.8622264239238575]| 12.1100168228149414|     32.00000000|[661, 44, 0, 11]                                                           | | GPS sucess | actual_k=4
