k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[50.0, 150.0, -100.0, 1.0, 2.0]                                                 |87848.8533334838575684|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[49.27658432722092, 150.4942933022976, -100.17486970126629, 1.0625399127602577, 2.3417182564735413]|85499.2968750000000000|      2.00000000|[15, 2, 0, 1]                                                              | | GPS sucess | actual_k=2
       2|[48.435953855514526, 150.04741775989532, -101.34930138289928, 0.5374163165688515, 3.256799340248108]|82490.7578125000000000|      4.00000000|[29, 4, 0, 2]                                                              | | GPS sucess | actual_k=2
       3|[46.464340686798096, 149.21150481700897, -102.65600626170635, 1.8163313642144203, 3.7642358541488647]|75739.8125000000000000|      8.00000000|[43, 6, 0, 3]                                                              | | GPS sucess | actual_k=2
       4|[41.81006193161011, 145.8343266248703, -102.92374874651432, 2.7751801386475563, 2.5519086122512817]|61317.3203125000000000|     16.00000000|[57, 8, 0, 4]                                                              | | GPS sucess | actual_k=2
       5|[32.409825801849365, 138.45032107830048, -106.38575364649296, 3.664068676531315, 5.455700755119324]|36380.4531250000000000|     32.00000000|[71, 10, 0, 5]                                                             | | GPS sucess | actual_k=2
       6|[12.857903957366943, 138.9103182554245, -114.4021539837122, -9.64944889396429, -6.715537190437317]|-100000002004087734272.0000000000000000|     64.00000000|[85, 12, 0, 6]                                                             | | GPS sucess | actual_k=2
       7|[12.857903957366943, 138.9103182554245, -114.4021539837122, -9.64944889396429, -6.715537190437317]|-100000002004087734272.0000000000000000|     32.00000000|[112, 16, 0, 8]                                                            |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       8|[12.857903957366943, 138.9103182554245, -114.4021539837122, -9.64944889396429, -6.715537190437317]|-100000002004087734272.0000000000000000|     16.00000000|[139, 20, 0, 10]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       9|[12.857903957366943, 138.9103182554245, -114.4021539837122, -9.64944889396429, -6.715537190437317]|-100000002004087734272.0000000000000000|      8.00000000|[165, 24, 0, 12]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      10|[12.857903957366943, 138.9103182554245, -114.4021539837122, -9.64944889396429, -6.715537190437317]|-100000002004087734272.0000000000000000|      4.00000000|[191, 28, 0, 14]                                                           |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      11|[12.857903957366943, 138.9103182554245, -114.4021539837122, -9.64944889396429, -6.715537190437317]|-100000002004087734272.0000000000000000|      2.00000000|[216, 32, 0, 16]                                                           |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      12|[12.857903957366943, 138.9103182554245, -114.4021539837122, -9.64944889396429, -6.715537190437317]|-100000002004087734272.0000000000000000|      1.00000000|[242, 36, 0, 18]                                                           |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      13|[12.857903957366943, 138.9103182554245, -114.4021539837122, -9.64944889396429, -6.715537190437317]|-100000002004087734272.0000000000000000|      0.50000000|[268, 40, 0, 20]                                                           |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      14|[12.857903957366943, 138.9103182554245, -114.4021539837122, -9.64944889396429, -6.715537190437317]|-100000002004087734272.0000000000000000|      0.25000000|[294, 44, 0, 22]                                                           |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      15|[12.857903957366943, 138.9103182554245, -114.4021539837122, -9.64944889396429, -6.715537190437317]|-100000002004087734272.0000000000000000|      0.12500000|[319, 48, 0, 24]                                                           |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      16|[12.857903957366943, 138.9103182554245, -114.4021539837122, -9.64944889396429, -6.715537190437317]|-100000002004087734272.0000000000000000|      0.06250000|[344, 52, 0, 26]                                                           |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      17|[12.857903957366943, 138.9103182554245, -114.4021539837122, -9.64944889396429, -6.715537190437317]|-100000002004087734272.0000000000000000|      0.03125000|[369, 56, 0, 28]                                                           |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      18|[12.857903957366943, 138.9103182554245, -114.4021539837122, -9.64944889396429, -6.715537190437317]|-100000002004087734272.0000000000000000|      0.01562500|[394, 60, 0, 30]                                                           |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      19|[12.857903957366943, 138.9103182554245, -114.4021539837122, -9.64944889396429, -6.715537190437317]|-100000002004087734272.0000000000000000|      0.00781250|[419, 64, 0, 32]                                                           |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      20|[12.857903957366943, 138.9103182554245, -114.4021539837122, -9.64944889396429, -6.715537190437317]|-100000002004087734272.0000000000000000|      0.00390625|[444, 68, 0, 34]                                                           |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
