k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]|64352.0000000000000000|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[-1.0248679649084806, -1.1393651068210602, -0.9064313545823097, -0.95752327516675, -1.018592707812786, -0.954819280654192, -1.0493574813008308, -1.027776189148426, -1.0020297111477703, -0.8627183437347412, -0.8834180235862732, -0.9066193029284477, -0.9749593753367662, -1.1315398961305618, -0.9099149331450462, -1.1717585176229477, -1.0927587524056435, -1.0368389450013638, -0.8405336737632751, -1.02851471491158, -1.2010444104671478, -1.0096857510507107, -1.0191686432808638, -1.025256311520934, -0.9163161143660545, -0.999353299557697, -0.9534221589565277, -0.9420962408185005, -0.9107986316084862, -1.0026173668447882, -1.0520927608013153, -1.0082740224897861, -1.0317076109349728, -0.9998738061258337, -0.9463881105184555, -1.075275756418705, -0.9526410922408104, -1.087555080652237, -0.9013016670942307, -1.1236860826611519, -0.9639662094414234, -1.1441982984542847, -0.982312273234129, -0.8240799903869629, -0.9946425543166697, -0.7678342014551163, -1.0454555004835129, -0.9548297338187695, -0.9056152775883675, -1.0820708721876144, -1.0037554453592747, -1.1411691308021545, -1.08453518897295, -0.9785346370190382, -0.7233686447143555, -0.8175257295370102, -1.0249095298349857, -0.9151237532496452, -1.0464932806789875, -0.9485486932098866, -0.9663412868976593, -1.0072736842557788, -0.967936746776104, -0.8264208137989044, -1.1997365206480026, -1.054522767663002, -1.0633334070444107, -0.9709948021918535, -0.8544411510229111, -1.1525865346193314, -0.8360612541437149, -1.132701337337494, -0.9787360038608313, -0.9640728868544102, -0.9782223589718342, -1.0686106756329536, -0.8093830496072769, -0.9337775260210037, -0.9940298334695399, -0.9194006472826004, -0.9566824175417423, -1.0151109462603927, -0.848463699221611, -1.0489164479076862, -1.0067060198634863, -0.9865479040890932, -0.9231436923146248, -0.9268777519464493, -1.0734832286834717, -0.8585892617702484, -0.8684144467115402, -0.9170662686228752, -0.9476570747792721, -0.8578427881002426, -0.9008448347449303, -0.8014173358678818, -1.0072293295525014, -0.7695094645023346]|63364.9570312500000000|      2.00000000|[15, 2, 0, 1]                                                              | | GPS sucess | actual_k=2
       2|[-0.8982194184250205, -0.9686195666288736, -0.8646620407693386, -1.173641587720424, -0.7230576056868687, -0.827915271650979, -1.1704263228574927, -1.2488706041357924, -0.9787460275458308, -0.8664113326799483, -0.7482944480241217, -0.6835923943700564, -0.8959448160394303, -0.970941430487007, -0.9348999528259956, -1.1195063773510647, -0.7413094496321135, -1.130789262369892, -1.089260547956351, -1.009496888164241, -1.1289597632039545, -1.0993969681494362, -0.7707073214398029, -1.0347780978519967, -1.192878705260814, -1.0673250601012534, -0.7044747383662326, -0.7604310711927939, -0.8133529407505244, -1.134847407694135, -0.553448227493973, -1.1907464264773626, -0.756569669163719, -0.9144065632862125, -0.6839393437188941, -1.000813560272108, -1.0842909660404487, -1.1522711040707765, -0.8298989754978172, -0.8320547362811186, -0.8995481845497532, -1.2326625801865934, -0.6215771942781327, -0.8552466951702613, -0.8287235176431049, -0.9307200434604201, -0.9176882221586288, -0.7516346845857198, -0.6616809912716806, -0.7463621533214813, -0.7714125160439045, -0.93706172028523, -0.798282723952578, -1.1246639405113348, -0.1025091535717845, -0.8937276687603511, -1.0886849652522135, -0.833981697481154, -1.100356121101054, -1.018958688596064, -1.022454353087553, -1.2602671687456801, -0.8902262246210936, -0.8142325200924079, -1.0792675860003162, -0.9727954065713195, -0.7158301623951937, -1.2496342102638607, -0.8538055502016035, -1.5350333790034796, -0.8262841192903765, -0.8079780389193687, -0.9708912162709573, -0.6902758744250829, -0.9765570727645799, -1.083767038816353, -0.6124066452226092, -0.8169960183143209, -0.7917990926879034, -1.026637361460718, -1.14310291962058, -1.2083751627891466, -0.7889897472824055, -0.9416643166461129, -0.9897227597272832, -0.6224334484896543, -0.5085327098073846, -1.0875132887041221, -1.2992607460569627, -0.425555275673987, -0.9279530048778403, -1.0218458147087777, -1.0694462543562293, -0.597765022913854, -0.7813145635290122, -1.0330766712512631, -0.9923352464311117, -0.5969110592940877]|60959.8945312500000000|      4.00000000|[42, 6, 0, 3]                                                              |  | trying linear partial model with 15 points | iterate success | actual_k=2
       3|[-0.8982194184250205, -0.9686195666288736, -0.8646620407693386, -1.173641587720424, -0.7230576056868687, -0.827915271650979, -1.1704263228574927, -1.2488706041357924, -0.9787460275458308, -0.8664113326799483, -0.7482944480241217, -0.6835923943700564, -0.8959448160394303, -0.970941430487007, -0.9348999528259956, -1.1195063773510647, -0.7413094496321135, -1.130789262369892, -1.089260547956351, -1.009496888164241, -1.1289597632039545, -1.0993969681494362, -0.7707073214398029, -1.0347780978519967, -1.192878705260814, -1.0673250601012534, -0.7044747383662326, -0.7604310711927939, -0.8133529407505244, -1.134847407694135, -0.553448227493973, -1.1907464264773626, -0.756569669163719, -0.9144065632862125, -0.6839393437188941, -1.000813560272108, -1.0842909660404487, -1.1522711040707765, -0.8298989754978172, -0.8320547362811186, -0.8995481845497532, -1.2326625801865934, -0.6215771942781327, -0.8552466951702613, -0.8287235176431049, -0.9307200434604201, -0.9176882221586288, -0.7516346845857198, -0.6616809912716806, -0.7463621533214813, -0.7714125160439045, -0.93706172028523, -0.798282723952578, -1.1246639405113348, -0.1025091535717845, -0.8937276687603511, -1.0886849652522135, -0.833981697481154, -1.100356121101054, -1.018958688596064, -1.022454353087553, -1.2602671687456801, -0.8902262246210936, -0.8142325200924079, -1.0792675860003162, -0.9727954065713195, -0.7158301623951937, -1.2496342102638607, -0.8538055502016035, -1.5350333790034796, -0.8262841192903765, -0.8079780389193687, -0.9708912162709573, -0.6902758744250829, -0.9765570727645799, -1.083767038816353, -0.6124066452226092, -0.8169960183143209, -0.7917990926879034, -1.026637361460718, -1.14310291962058, -1.2083751627891466, -0.7889897472824055, -0.9416643166461129, -0.9897227597272832, -0.6224334484896543, -0.5085327098073846, -1.0875132887041221, -1.2992607460569627, -0.425555275673987, -0.9279530048778403, -1.0218458147087777, -1.0694462543562293, -0.597765022913854, -0.7813145635290122, -1.0330766712512631, -0.9923352464311117, -0.5969110592940877]|60959.8945312500000000|      2.00000000|[157, 24, 0, 12]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 27 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 40 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 52 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 65 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 78 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 91 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 104 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       4|[-0.5925956741024805, -0.9632667754278474, -1.1186407449142095, -0.985224593092326, -0.6932237415723196, -1.0120907244460924, -1.227865198523625, -0.9756008723276463, -0.845439807465194, -0.6832653241383916, -0.5172255784546067, -0.8466232054854252, -0.7973571213973197, -1.1069465895836115, -0.833493212893712, -0.8677377790552407, -0.9238174885935753, -0.9895714415985138, -0.5516910075711317, -1.3029456650230518, -0.6585507778470978, -0.9969353000519403, -1.0691567318121118, -1.0169211215375353, -1.1696586519560557, -0.6561347834575614, -0.4331924947123654, -0.9783103124961102, -0.7637632712581061, -1.4124735853616905, -0.4202978378581075, -1.2402643336371129, -0.6610970898766899, -1.2408149111313787, -0.7818984331686669, -1.0124052369841903, -1.0117114478545624, -1.031279825110984, -0.6445460978795878, -1.0411511433132021, -0.6884140503777212, -1.3386589325752796, -0.4718612293865432, -0.834326120017335, -1.0221409801018702, -1.0768441531439081, -0.5920684330636128, -0.8503420660880459, -0.7352927259799804, -0.6116979881692446, -0.7229022604394404, -0.5118128144355605, -0.546721725972628, -1.0520104432105934, -0.590954534198332, -0.7681119449706136, -0.924694919106636, -0.8666722777065087, -1.0887348551986205, -0.8419179194023685, -1.0457135734320335, -1.280752883355153, -0.7767339406103947, -0.6296130697659261, -0.9816895594047624, -1.0921494229639357, -0.9467354523082406, -1.3321241610881633, -0.7927229322979346, -1.273901104158844, -0.7952731661956007, -0.7951285866853086, -0.957652171842681, -0.6750253058099194, -1.0591837442664367, -1.2796804379285276, -0.8185994175932048, -0.5352828718335161, -0.8791265951296868, -1.0926539640830033, -1.1265810517795773, -1.2505712148413828, -0.8696966767997005, -0.944938245867975, -0.8060774063242706, -0.0173873214136652, -0.2343192159265841, -0.7052196339735328, -1.082945449928983, -0.1932985511904407, -1.0248705627375387, -1.0645693134694114, -0.9555172396582936, -0.354022283754503, -1.0014276581504011, -0.9458438511096264, -1.0102201629609944, -0.6117282302690131]|58746.7070312500000000|      4.00000000|[184, 28, 0, 14]                                                           |  | trying linear partial model with 15 points | iterate success | actual_k=2
       5|[-0.5925956741024805, -0.9632667754278474, -1.1186407449142095, -0.985224593092326, -0.6932237415723196, -1.0120907244460924, -1.227865198523625, -0.9756008723276463, -0.845439807465194, -0.6832653241383916, -0.5172255784546067, -0.8466232054854252, -0.7973571213973197, -1.1069465895836115, -0.833493212893712, -0.8677377790552407, -0.9238174885935753, -0.9895714415985138, -0.5516910075711317, -1.3029456650230518, -0.6585507778470978, -0.9969353000519403, -1.0691567318121118, -1.0169211215375353, -1.1696586519560557, -0.6561347834575614, -0.4331924947123654, -0.9783103124961102, -0.7637632712581061, -1.4124735853616905, -0.4202978378581075, -1.2402643336371129, -0.6610970898766899, -1.2408149111313787, -0.7818984331686669, -1.0124052369841903, -1.0117114478545624, -1.031279825110984, -0.6445460978795878, -1.0411511433132021, -0.6884140503777212, -1.3386589325752796, -0.4718612293865432, -0.834326120017335, -1.0221409801018702, -1.0768441531439081, -0.5920684330636128, -0.8503420660880459, -0.7352927259799804, -0.6116979881692446, -0.7229022604394404, -0.5118128144355605, -0.546721725972628, -1.0520104432105934, -0.590954534198332, -0.7681119449706136, -0.924694919106636, -0.8666722777065087, -1.0887348551986205, -0.8419179194023685, -1.0457135734320335, -1.280752883355153, -0.7767339406103947, -0.6296130697659261, -0.9816895594047624, -1.0921494229639357, -0.9467354523082406, -1.3321241610881633, -0.7927229322979346, -1.273901104158844, -0.7952731661956007, -0.7951285866853086, -0.957652171842681, -0.6750253058099194, -1.0591837442664367, -1.2796804379285276, -0.8185994175932048, -0.5352828718335161, -0.8791265951296868, -1.0926539640830033, -1.1265810517795773, -1.2505712148413828, -0.8696966767997005, -0.944938245867975, -0.8060774063242706, -0.0173873214136652, -0.2343192159265841, -0.7052196339735328, -1.082945449928983, -0.1932985511904407, -1.0248705627375387, -1.0645693134694114, -0.9555172396582936, -0.354022283754503, -1.0014276581504011, -0.9458438511096264, -1.0102201629609944, -0.6117282302690131]|58746.7070312500000000|      2.00000000|[298, 46, 0, 23]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 27 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 40 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 53 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 65 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 78 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 90 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 103 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       6|[-0.8667215183426691, -0.9788785590291911, -1.0126580613152143, -1.1401253078473843, -0.5630335181168905, -1.0887127635257585, -0.8732605668612563, -0.9694210138628986, -0.4986634710336907, -0.3332875030267125, -0.7796395570312669, -1.0865551167155125, -0.6272194030774269, -1.0027001296822786, -0.4841771821529741, -1.1299189418894082, -0.5783254534430473, -1.0104412144797834, -0.1756766259240217, -1.3256796756151548, -0.4725623367374405, -1.0396804730293878, -1.1688679413477105, -0.8519637621043612, -1.110018333800767, -0.2702457599151572, -0.4917866433184274, -1.177812914715692, -0.882014691815605, -1.588340189213009, -0.1652445560740499, -1.346854708941335, -0.4583533807893181, -0.8889701533360448, -0.7719101671253019, -1.1396188193806975, -1.1655667269425827, -0.8580003012614967, -0.5292107898642413, -0.9805569645769923, -0.4016047549618429, -1.3775485083249153, -0.4403162199225177, -0.9439459237440081, -1.001397637985395, -0.9372058186311976, -0.5158708014064892, -0.7008798877385509, -0.6253297634121742, -0.6993974536228693, -0.233099482672259, -0.5404005208226035, -0.5971255779883617, -1.2171951496601021, -0.4354369262710096, -0.822751757529503, -0.7850660319301224, -0.9188982250865746, -0.9356476713654982, -0.6901030116131381, -1.4019844529390983, -1.4682047526044968, -0.7333660406560757, -0.4307990055016286, -0.5996641387390215, -1.1976081370318716, -1.0062229851325184, -1.1330128335592098, -0.5201339938232794, -1.3437441505260124, -0.8057095623101289, -0.7733808969911424, -1.015365144006835, -0.6509757666909142, -1.257976350858615, -1.2566583022088706, -0.8957491514942286, -0.8247205532700548, -0.863142464106399, -1.2385581325695985, -0.9306305287607404, -0.9996733304724863, -0.9244230055004814, -0.6929051612370088, -0.984789446510199, 0.0488870384086081, -0.5307911991209353, -0.8500352130302726, -1.0681998270556767, -0.0758057561999012, -0.8701718034201407, -0.876492057385923, -0.7863445056361531, -0.9085796668149583, -0.7734540479876661, -0.7287847603760983, -0.8077370751829029, -0.8747531862569434]|57360.6367187500000000|      4.00000000|[312, 48, 0, 24]                                                           | | GPS sucess | actual_k=2
       7|[-0.7144386690122385, -0.237067507036043, -0.9676456140987927, -1.2917576726731022, -0.1823572024206616, -1.0430785182794797, -0.4508318249428903, -1.226473033249342, -0.0002412245657724, -0.2574369894955168, -0.4697609780503856, -0.7747710752436627, -0.8991175595801002, -0.4901209551621581, -1.017193735205241, -1.0279982475120475, -0.4114615774562433, -0.9989221461498299, 0.0518494370577672, -1.3370229201464072, -0.7573312983714586, -0.5278581223220294, -1.5023575247049812, -0.2197078923687921, -0.5841810261761378, -0.5217706922546014, -0.332254331431762, -1.3213868690657726, -0.3086887226444763, -1.6864477965159095, 0.1543176572601415, 0.0133066952213103, 0.445321990558234, -0.3293762426189473, -0.2734582292190919, -1.335504625718167, -1.0525909769176873, -0.9620810906290339, -0.5406438592809183, -1.2855655765975322, -0.0963976130704138, -1.3446096547280229, -0.0104551728106233, -1.4835035001153876, -0.7706231855962942, -0.8271333333671319, -0.7435623630616128, -0.5314648932568451, -0.6710353880829775, -1.085189517034887, -0.4249835122290183, 0.2787896914230932, -0.8443990229854073, -2.1124182221335657, -0.7017419563531522, -1.497892274316742, -0.576564531070634, -0.6854744195041736, -0.0365781359884871, -0.2174490793976574, -1.3773348266141654, -1.287674624272027, 0.0927770893256117, -0.0512066475108657, -0.2508780652519468, -1.6703118285314835, -0.9438534952048315, -0.8795772819480153, -0.6853468057733344, -1.45461599260186, -0.9356586474618009, -0.7380255488338157, -0.9485502417571395, -1.286409111516718, -1.1358194591124422, -1.4325954277499, -1.159102540253471, -0.8278791864615155, -0.581831887782535, -0.2966536637733211, -0.9876660472966728, -0.345017373189205, -0.6885887712246868, -0.6484063071566489, -0.5949328679146694, -0.0975503940588939, -0.2662032276061384, -1.0213808962077404, -1.3115506551021006, 0.1992619844034009, -0.3165062457413111, -0.4068251420306664, -0.6277669868294047, -1.2987884749599934, -0.9001923209084038, -0.5543928327155903, -1.175159264037161, -0.5742269305126242]|55932.8710937500000000|      8.00000000|[362, 56, 0, 28]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 27 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 39 points | (iterate failure) trying more points before decreasing delta| GPS sucess | actual_k=2
       8|[-0.7144386690122385, -0.237067507036043, -0.9676456140987927, -1.2917576726731022, -0.1823572024206616, -1.0430785182794797, -0.4508318249428903, -1.226473033249342, -0.0002412245657724, -0.2574369894955168, -0.4697609780503856, -0.7747710752436627, -0.8991175595801002, -0.4901209551621581, -1.017193735205241, -1.0279982475120475, -0.4114615774562433, -0.9989221461498299, 0.0518494370577672, -1.3370229201464072, -0.7573312983714586, -0.5278581223220294, -1.5023575247049812, -0.2197078923687921, -0.5841810261761378, -0.5217706922546014, -0.332254331431762, -1.3213868690657726, -0.3086887226444763, -1.6864477965159095, 0.1543176572601415, 0.0133066952213103, 0.445321990558234, -0.3293762426189473, -0.2734582292190919, -1.335504625718167, -1.0525909769176873, -0.9620810906290339, -0.5406438592809183, -1.2855655765975322, -0.0963976130704138, -1.3446096547280229, -0.0104551728106233, -1.4835035001153876, -0.7706231855962942, -0.8271333333671319, -0.7435623630616128, -0.5314648932568451, -0.6710353880829775, -1.085189517034887, -0.4249835122290183, 0.2787896914230932, -0.8443990229854073, -2.1124182221335657, -0.7017419563531522, -1.497892274316742, -0.576564531070634, -0.6854744195041736, -0.0365781359884871, -0.2174490793976574, -1.3773348266141654, -1.287674624272027, 0.0927770893256117, -0.0512066475108657, -0.2508780652519468, -1.6703118285314835, -0.9438534952048315, -0.8795772819480153, -0.6853468057733344, -1.45461599260186, -0.9356586474618009, -0.7380255488338157, -0.9485502417571395, -1.286409111516718, -1.1358194591124422, -1.4325954277499, -1.159102540253471, -0.8278791864615155, -0.581831887782535, -0.2966536637733211, -0.9876660472966728, -0.345017373189205, -0.6885887712246868, -0.6484063071566489, -0.5949328679146694, -0.0975503940588939, -0.2662032276061384, -1.0213808962077404, -1.3115506551021006, 0.1992619844034009, -0.3165062457413111, -0.4068251420306664, -0.6277669868294047, -1.2987884749599934, -0.9001923209084038, -0.5543928327155903, -1.175159264037161, -0.5742269305126242]|55932.8710937500000000|      4.00000000|[474, 74, 0, 37]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 27 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 39 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 51 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 64 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 76 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 88 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 100 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       9|[0.0857212530830851, -0.1468352926175588, -0.619389517498418, -1.5508450035448718, 0.1659397934785011, -1.3234089263548738, -0.0573477717799467, -0.8772182708423677, -0.2218879716312977, 0.3293917960989527, 0.1890095534792128, -0.9004277729875855, -0.8007877844708132, -1.021373913196947, -1.6280802744627256, -0.8684189159437742, -0.3770901785126397, -1.3294712409649503, 0.109871921680523, -1.0791923198418547, -0.7881011970814935, -0.1778612077579275, -0.9908726048500273, 0.0811360524908088, 0.1858420299895731, -0.424811453303123, -0.5826120977684324, -1.4632028605613807, -0.3692879442584138, -2.2534370179913608, 0.2542777032741863, 0.1975280657790645, 1.2660973241993414, -0.5223089632185987, 0.0797035079571275, -1.889690930309873, -1.0608334938220618, -0.3046084963863136, -0.1573938442559481, -1.2247346080427577, -0.4479358393769629, -1.5065200393246485, -0.3770957425141293, -1.3133368449955813, -0.9149338661683353, -1.1506292980234698, -0.5370405538646679, 0.1637989410895029, -0.2923272352129441, -1.0654554196378887, -1.0975969167592878, 0.9042682935711943, -0.5193496261366327, -1.9753792382752795, -0.4814362965992282, -1.0643155887260785, -0.7486471351662507, -0.3101903130602845, 0.2434196440844026, -0.0629049093368533, -1.7317204003744897, -1.0836318583625317, 1.1280935590327548, -0.1329944896239216, -0.124984642601448, -0.7995256262927692, -0.7196205022073514, -0.9784112162540965, -0.9170828610567692, -1.2789583444925774, -0.1025263857091854, -1.1840678660741264, -0.3009193308789749, -1.7170020265142953, -1.6996094222478413, -1.4190619561473397, -0.9393750889592348, -0.6239019732394415, -0.3440779997498261, -0.6336560229970332, -0.819750242893648, -0.1257016546897667, -0.5378187544874389, -0.6366770072812358, -1.034954197633586, 0.7817975779030378, -0.5805187633781618, -0.5645470843896869, -0.5954046766653037, 0.5576727159841697, -0.4950751898842006, -0.4805138531696265, -0.1250785871088402, -0.9581598865390314, -1.2469802378050683, -0.1013497370173844, -0.8986450413163332, -0.3137930526792855]|54624.1484375000000000|      8.00000000|[524, 82, 0, 41]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 27 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 39 points | (iterate failure) trying more points before decreasing delta| GPS sucess | actual_k=2
      10|[0.0857212530830851, -0.1468352926175588, -0.619389517498418, -1.5508450035448718, 0.1659397934785011, -1.3234089263548738, -0.0573477717799467, -0.8772182708423677, -0.2218879716312977, 0.3293917960989527, 0.1890095534792128, -0.9004277729875855, -0.8007877844708132, -1.021373913196947, -1.6280802744627256, -0.8684189159437742, -0.3770901785126397, -1.3294712409649503, 0.109871921680523, -1.0791923198418547, -0.7881011970814935, -0.1778612077579275, -0.9908726048500273, 0.0811360524908088, 0.1858420299895731, -0.424811453303123, -0.5826120977684324, -1.4632028605613807, -0.3692879442584138, -2.2534370179913608, 0.2542777032741863, 0.1975280657790645, 1.2660973241993414, -0.5223089632185987, 0.0797035079571275, -1.889690930309873, -1.0608334938220618, -0.3046084963863136, -0.1573938442559481, -1.2247346080427577, -0.4479358393769629, -1.5065200393246485, -0.3770957425141293, -1.3133368449955813, -0.9149338661683353, -1.1506292980234698, -0.5370405538646679, 0.1637989410895029, -0.2923272352129441, -1.0654554196378887, -1.0975969167592878, 0.9042682935711943, -0.5193496261366327, -1.9753792382752795, -0.4814362965992282, -1.0643155887260785, -0.7486471351662507, -0.3101903130602845, 0.2434196440844026, -0.0629049093368533, -1.7317204003744897, -1.0836318583625317, 1.1280935590327548, -0.1329944896239216, -0.124984642601448, -0.7995256262927692, -0.7196205022073514, -0.9784112162540965, -0.9170828610567692, -1.2789583444925774, -0.1025263857091854, -1.1840678660741264, -0.3009193308789749, -1.7170020265142953, -1.6996094222478413, -1.4190619561473397, -0.9393750889592348, -0.6239019732394415, -0.3440779997498261, -0.6336560229970332, -0.819750242893648, -0.1257016546897667, -0.5378187544874389, -0.6366770072812358, -1.034954197633586, 0.7817975779030378, -0.5805187633781618, -0.5645470843896869, -0.5954046766653037, 0.5576727159841697, -0.4950751898842006, -0.4805138531696265, -0.1250785871088402, -0.9581598865390314, -1.2469802378050683, -0.1013497370173844, -0.8986450413163332, -0.3137930526792855]|54624.1484375000000000|      4.00000000|[647, 102, 0, 51]                                                          |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 27 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 39 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 51 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 64 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 76 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 88 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 100 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 112 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      11|[0.5858174549797526, 0.0727802413303858, -0.8958789243225299, -1.5513794935285645, 0.0418815394153717, -1.7943478473296053, -0.1299326243562025, -0.8949961161058488, 0.2801617128932384, 0.8957550115454249, -0.0779586371908006, -0.9010957444882467, -0.3499029356377291, -0.7014049147647876, -1.3704366344213743, -1.0350680936142531, -1.116316340946264, -1.5783504352245938, 0.2256394676786195, -0.4782850537018706, -1.1182819314774743, -0.9121124685153739, -0.7733851653368208, 0.137756646604874, -0.4007494521729025, -0.0542109615409617, -0.8964670007511442, -0.9168768193397621, -1.0999356274020295, -2.0409463252566424, 0.329392355788644, 0.4054265186570628, 1.107856424755715, -0.3486699041518262, 0.1934190821024446, -1.6191046780973486, -0.8347233781747458, 0.0834936178142784, 0.4529739307074308, -1.221271196339052, -0.4209579370986588, -1.5000405059354378, -0.5809845164322811, -0.9729543882161014, -0.2802776752961429, -0.8765752177755908, -0.8710943980781536, 0.0826940590280214, -0.4481681536346894, -1.2167441227218807, -1.4276337953451033, 0.8806617696997725, -0.9327618692644556, -1.2565113402879138, -0.03247843612941, -1.1758958711758007, -0.6182692464867463, -1.462480895717145, -0.1002683968873533, -0.021363005125809, -1.803201360028344, -0.6714000852244855, 0.4699982588351534, -0.5349703299540455, 0.0086859705682221, -0.1500589924960773, -0.6964803437031037, -1.1040975786398464, -1.0243444219140652, -1.1347518951031197, -0.426952351256747, -0.7616069226136619, -0.546771786375763, -1.2831042630236185, -1.605842032592728, -1.314350408653405, -0.8276635421805559, -0.2531811695018011, -0.2871366804928052, -0.6844939607395049, -0.2590097720074175, 0.0152934603519661, -0.9022204525999267, -1.932641963564805, -0.2462259604814865, 0.6062415887568052, -0.3282837382106966, -0.46014330547905, -0.5959861372045553, 0.8040217675789039, -0.6620094118671566, -0.8201322082054083, -0.5153097494184868, -0.6152313577533258, -0.3968825815550683, -0.7894796985080155, -0.3554716685708192, 0.2462722763955741]|53849.6992187500000000|      8.00000000|[674, 106, 0, 53]                                                          |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta| GPS sucess | actual_k=2
