k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[-500.0, -700.0]                                                                |  6.5525197919342713|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[-500.10016334056854, -699.005028963089]                                        |  6.5510873794555664|      2.00000000|[4, 1, 0, 1]                                                               | | GPS sucess | actual_k=1
       2|[-502.91597640514374, -696.1640434265137]                                       |  6.5473175048828125|      4.00000000|[7, 2, 0, 2]                                                               | | GPS sucess | actual_k=1
       3|[-505.9458955526352, -693.5526089668274]                                        |  6.5433325767517090|      8.00000000|[10, 3, 0, 3]                                                              | | GPS sucess | actual_k=1
       4|[-503.6468640565872, -685.8900728225708]                                        |  6.5322418212890625|     16.00000000|[13, 4, 0, 4]                                                              | | GPS sucess | actual_k=1
       5|[-534.0464059114456, -675.8966779708862]                                        |  6.5175313949584961|     32.00000000|[16, 5, 0, 5]                                                              | | GPS sucess | actual_k=1
       6|[-534.5572854280472, -611.8987188339233]                                        |  6.4182024002075195|     64.00000000|[19, 6, 0, 6]                                                              | | GPS sucess | actual_k=1
       7|[-473.8110657930374, -591.7518453598022]                                        |  6.3847775459289551|    128.00000000|[22, 7, 0, 7]                                                              | | GPS sucess | actual_k=1
       8|[-473.8110657930374, -591.7518453598022]                                        |  6.3847775459289551|     64.00000000|[26, 8, 0, 9]                                                              |  | used linear model with 5 points | actual_k=1
       9|[-410.2673989534378, -584.1228246688843]                                        |  6.3718223571777344|    128.00000000|[29, 9, 0, 10]                                                             | | GPS sucess | actual_k=1
      10|[-287.57553493976593, -547.6439847946167]                                       |  6.3075771331787109|    256.00000000|[32, 10, 0, 11]                                                            | | GPS sucess | actual_k=1
      11|[-160.80129635334015, -325.2383146286011]                                       |  5.7878050804138184|    512.00000000|[35, 11, 0, 12]                                                            | | GPS sucess | actual_k=1
      12|[-160.80129635334015, -325.2383146286011]                                       |  5.7878050804138184|    256.00000000|[39, 12, 0, 14]                                                            |  | used linear model with 5 points | actual_k=1
      13|[-68.15527737140656, -86.59062480926514]                                        |  4.4732637405395508|    512.00000000|[42, 13, 0, 15]                                                            | | GPS sucess | actual_k=1
      14|[-68.15527737140656, -86.59062480926514]                                        |  4.4732637405395508|    256.00000000|[46, 14, 0, 17]                                                            |  | used linear model with 5 points | actual_k=1
      15|[-68.15527737140656, -86.59062480926514]                                        |  4.4732637405395508|    128.00000000|[50, 15, 0, 19]                                                            |  | used linear model with 5 points | actual_k=1
      16|[-68.15527737140656, -86.59062480926514]                                        |  4.4732637405395508|     64.00000000|[54, 16, 0, 21]                                                            |  | used linear model with 5 points | actual_k=1
