k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[50.0, 150.0, -100.0, 1.0, 2.0]                                                 |87848.8533334838575684|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[49.229074120521545, 150.483962059021, -99.89619857817888, 0.6536049246788025, 2.2017170786857605]|85415.9140625000000000|      2.00000000|[13, 4, 0, 1]                                                              | | GPS sucess | actual_k=4
       2|[47.586955547332764, 151.2242021560669, -100.36949486285448, 0.3319215178489685, 2.855935275554657]|80662.5000000000000000|      4.00000000|[25, 8, 0, 2]                                                              | | GPS sucess | actual_k=4
       3|[45.108906507492065, 152.11992013454437, -97.95907277613878, 1.903848946094513, 3.7367714047431946]|73013.3125000000000000|      8.00000000|[37, 12, 0, 3]                                                             | | GPS sucess | actual_k=4
       4|[39.79974341392517, 146.46266639232635, -98.65874809771776, 0.511396586894989, 2.562121331691742]|56709.2812500000000000|     16.00000000|[49, 16, 0, 4]                                                             | | GPS sucess | actual_k=4
       5|[46.689170598983765, 140.36475694179535, -104.373887963593, -3.793472111225128, -8.399474203586578]|-100000002004087734272.0000000000000000|     32.00000000|[61, 20, 0, 5]                                                             | | GPS sucess | actual_k=4
       6|[46.689170598983765, 140.36475694179535, -104.373887963593, -3.793472111225128, -8.399474203586578]|-100000002004087734272.0000000000000000|     16.00000000|[85, 28, 0, 7]                                                             |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
       7|[46.689170598983765, 140.36475694179535, -104.373887963593, -3.793472111225128, -8.399474203586578]|-100000002004087734272.0000000000000000|      8.00000000|[109, 36, 1, 10]                                                           |  | trying linear partial model with 13 points FAILED TO GET X_HAT, using additional batch call | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
       8|[46.689170598983765, 140.36475694179535, -104.373887963593, -3.793472111225128, -8.399474203586578]|-100000002004087734272.0000000000000000|      4.00000000|[134, 44, 1, 12]                                                           |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
       9|[46.689170598983765, 140.36475694179535, -104.373887963593, -3.793472111225128, -8.399474203586578]|-100000002004087734272.0000000000000000|      2.00000000|[158, 52, 1, 14]                                                           |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
      10|[46.689170598983765, 140.36475694179535, -104.373887963593, -3.793472111225128, -8.399474203586578]|-100000002004087734272.0000000000000000|      1.00000000|[181, 60, 1, 16]                                                           |  | trying linear partial model with 13 points | exploitation failed, decreasing delta | actual_k=4
      11|[46.689170598983765, 140.36475694179535, -104.373887963593, -3.793472111225128, -8.399474203586578]|-100000002004087734272.0000000000000000|      0.50000000|[204, 68, 1, 18]                                                           |  | trying linear partial model with 13 points | exploitation failed, decreasing delta | actual_k=4
      12|[46.689170598983765, 140.36475694179535, -104.373887963593, -3.793472111225128, -8.399474203586578]|-100000002004087734272.0000000000000000|      0.25000000|[227, 76, 1, 20]                                                           |  | trying linear partial model with 13 points | exploitation failed, decreasing delta | actual_k=4
      13|[46.689170598983765, 140.36475694179535, -104.373887963593, -3.793472111225128, -8.399474203586578]|-100000002004087734272.0000000000000000|      0.12500000|[250, 84, 1, 22]                                                           |  | trying linear partial model with 13 points | exploitation failed, decreasing delta | actual_k=4
      14|[46.689170598983765, 140.36475694179535, -104.373887963593, -3.793472111225128, -8.399474203586578]|-100000002004087734272.0000000000000000|      0.06250000|[273, 92, 1, 24]                                                           |  | trying linear partial model with 13 points | exploitation failed, decreasing delta | actual_k=4
      15|[46.689170598983765, 140.36475694179535, -104.373887963593, -3.793472111225128, -8.399474203586578]|-100000002004087734272.0000000000000000|      0.03125000|[296, 100, 1, 26]                                                          |  | trying linear partial model with 13 points | exploitation failed, decreasing delta | actual_k=4
      16|[46.689170598983765, 140.36475694179535, -104.373887963593, -3.793472111225128, -8.399474203586578]|-100000002004087734272.0000000000000000|      0.01562500|[319, 108, 1, 28]                                                          |  | trying linear partial model with 13 points | exploitation failed, decreasing delta | actual_k=4
      17|[46.689170598983765, 140.36475694179535, -104.373887963593, -3.793472111225128, -8.399474203586578]|-100000002004087734272.0000000000000000|      0.00781250|[342, 116, 1, 30]                                                          |  | trying linear partial model with 13 points | exploitation failed, decreasing delta | actual_k=4
      18|[46.689170598983765, 140.36475694179535, -104.373887963593, -3.793472111225128, -8.399474203586578]|-100000002004087734272.0000000000000000|      0.00390625|[365, 124, 1, 32]                                                          |  | trying linear partial model with 13 points | exploitation failed, decreasing delta | actual_k=4
      19|[46.689170598983765, 140.36475694179535, -104.373887963593, -3.793472111225128, -8.399474203586578]|-100000002004087734272.0000000000000000|      0.00195312|[388, 132, 1, 34]                                                          |  | trying linear partial model with 13 points | exploitation failed, decreasing delta | actual_k=4
      20|[46.689170598983765, 140.36475694179535, -104.373887963593, -3.793472111225128, -8.399474203586578]|-100000002004087734272.0000000000000000|      0.00097656|[411, 140, 1, 36]                                                          |  | trying linear partial model with 13 points | exploitation failed, decreasing delta | actual_k=4
