k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]                                   |902930.4512200000463054|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.1387179245607792, 0.2963775906190997, 0.4495105262511404, 0.0933137078085108, 0.5962170551147641, -0.020899869335658, 0.4795869238937077, 0.2071951583734719, -0.2308797681426672]|45061.8789062500000000|      2.00000000|[6, 2, 0, 2]                                                               |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta| GPS sucess | actual_k=1
       2|[0.5051433001570717, 0.6373249058518895, -1.4666142178083819, -0.1194272880906413, 0.7367529453321238, 0.0602671740420776, 0.4813416506860622, 0.1674495068797658, -0.1617900802529873]|27609.9726562500000000|      4.00000000|[10, 4, 0, 4]                                                              |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta| GPS sucess | actual_k=1
       3|[0.5051433001570717, 0.6373249058518895, -1.4666142178083819, -0.1194272880906413, 0.7367529453321238, 0.0602671740420776, 0.4813416506860622, 0.1674495068797658, -0.1617900802529873]|27609.9726562500000000|      2.00000000|[22, 10, 0, 10]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 6 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 8 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 10 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 12 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       4|[0.5051433001570717, 0.6373249058518895, -1.4666142178083819, -0.1194272880906413, 0.7367529453321238, 0.0602671740420776, 0.4813416506860622, 0.1674495068797658, -0.1617900802529873]|27609.9726562500000000|      1.00000000|[35, 17, 0, 17]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 6 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 9 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 11 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 12 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       5|[0.5051433001570717, 0.6373249058518895, -1.4666142178083819, -0.1194272880906413, 0.7367529453321238, 0.0602671740420776, 0.4813416506860622, 0.1674495068797658, -0.1617900802529873]|27609.9726562500000000|      0.50000000|[48, 25, 0, 25]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 6 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 8 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 9 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 10 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 11 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 12 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       6|[0.5051433001570717, 0.6373249058518895, -1.4666142178083819, -0.1194272880906413, 0.7367529453321238, 0.0602671740420776, 0.4813416506860622, 0.1674495068797658, -0.1617900802529873]|27609.9726562500000000|      0.25000000|[60, 32, 0, 32]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 6 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 8 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 10 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 12 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       7|[0.5133688910790101, 0.6320342495013365, -1.410606299837963, -0.0543449839109728, 0.7912282863243361, 0.0983840873309093, 0.4261485654626258, -0.0015102746477534, -0.0238857193625988]|7734.5732421875000000|      0.50000000|[63, 33, 0, 33]                                                            | | GPS sucess | actual_k=1
       8|[1.0047374828644409, 0.5665650441218504, -1.4608818863834303, -0.0452414193654606, 0.7777060422657867, 0.1009412453354018, 0.3926068152997859, 0.0149103151121925, -0.0151614312789859]|3829.8984375000000000|      1.00000000|[70, 36, 0, 36]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 6 points | (iterate failure) trying more points before decreasing delta| GPS sucess | actual_k=1
       9|[1.0047374828644409, 0.5665650441218504, -1.4608818863834303, -0.0452414193654606, 0.7777060422657867, 0.1009412453354018, 0.3926068152997859, 0.0149103151121925, -0.0151614312789859]|3829.8984375000000000|      0.50000000|[82, 42, 0, 42]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 9 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 11 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      10|[1.4961060746498718, 0.5010958387423643, -1.5111574729288977, -0.0772879683876584, 0.7641837982072373, 0.1034984033398944, 0.4060583067823418, 0.0022748847910951, -0.0015197721085967]|767.0203247070312500|      1.00000000|[87, 44, 0, 44]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta| GPS sucess | actual_k=1
      11|[1.4961060746498718, 0.5010958387423643, -1.5111574729288977, -0.0772879683876584, 0.7641837982072373, 0.1034984033398944, 0.4060583067823418, 0.0022748847910951, -0.0015197721085967]|767.0203247070312500|      0.50000000|[99, 50, 0, 50]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 6 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 8 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 10 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 11 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      12|[1.4961060746498718, 0.5010958387423643, -1.5111574729288977, -0.0772879683876584, 0.7641837982072373, 0.1034984033398944, 0.4060583067823418, 0.0022748847910951, -0.0015197721085967]|767.0203247070312500|      0.25000000|[112, 57, 0, 57]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 8 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 10 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 12 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      13|[1.4961060746498718, 0.5010958387423643, -1.5111574729288977, -0.0772879683876584, 0.7641837982072373, 0.1034984033398944, 0.4060583067823418, 0.0022748847910951, -0.0015197721085967]|767.0203247070312500|      0.12500000|[125, 63, 0, 63]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 6 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 8 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 10 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 12 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      14|[1.4961060746498718, 0.5010958387423643, -1.5111574729288977, -0.0772879683876584, 0.7641837982072373, 0.1034984033398944, 0.4060583067823418, 0.0022748847910951, -0.0015197721085967]|767.0203247070312500|      0.06250000|[137, 70, 0, 70]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 8 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 10 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 11 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      15|[1.493784156252832, 0.4878588392544078, -1.5042062160077723, -0.071932203830098, 0.8098462308791784, 0.1109039880177625, 0.4132493963510194, 0.0224037966743704, 0.0309124810971825]|491.4582824707031250|      0.12500000|[145, 74, 0, 74]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 6 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta| GPS sucess | actual_k=1
      16|[1.493784156252832, 0.4878588392544078, -1.5042062160077723, -0.071932203830098, 0.8098462308791784, 0.1109039880177625, 0.4132493963510194, 0.0224037966743704, 0.0309124810971825]|491.4582824707031250|      0.06250000|[158, 81, 0, 81]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 6 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 8 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 9 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 11 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 12 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
