k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, 5.0]                                                                      |  4.0997369887712187|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.1296217143535614, 5.991563498973846]                                         |  2.2153885364532471|      2.00000000|[9, 0, 0, 2]                                                               | | GPS sucess | actual_k=0
       2|[1.5801853835582733, 7.940150678157806]                                         |  0.7602234482765198|      4.00000000|[17, 0, 0, 4]                                                              | | GPS sucess | actual_k=0
       3|[0.9783068001270294, 9.84743732213974]                                          |  0.0012649022974074|      8.00000000|[25, 0, 0, 6]                                                              | | GPS sucess | actual_k=0
       4|[0.9783068001270294, 9.84743732213974]                                          |  0.0012649022974074|      4.00000000|[33, 0, 1, 9]                                                              |  | used linear model with 5 points | iterate failure | actual_k=0
       5|[0.9783068001270294, 9.84743732213974]                                          |  0.0012649022974074|      2.00000000|[42, 0, 2, 12]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
       6|[0.9783068001270294, 9.84743732213974]                                          |  0.0012649022974074|      1.00000000|[51, 0, 3, 15]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
       7|[0.9783068001270294, 9.84743732213974]                                          |  0.0012649022974074|      0.50000000|[60, 0, 3, 17]                                                             |  | used linear model with 5 points | actual_k=0
       8|[0.9783068001270294, 9.84743732213974]                                          |  0.0012649022974074|      0.25000000|[68, 0, 3, 19]                                                             |  | used linear model with 5 points | actual_k=0
       9|[0.9783068001270294, 9.84743732213974]                                          |  0.0012649022974074|      0.12500000|[76, 0, 4, 22]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
