k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, 0.1]                                                                      |  3.0203003000300002|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.914906732738018, -0.0201794892549515]                                        |  2.1026623249053955|      2.00000000|[2, 1, 0, 1]                                                               | | GPS sucess | actual_k=1
       2|[-0.1298443153500557, -0.6925042659044266]                                      |  0.7069627642631531|      4.00000000|[3, 2, 0, 2]                                                               | | GPS sucess | actual_k=1
       3|[-0.1298443153500557, -0.6925042659044266]                                      |  0.7069627642631531|      2.00000000|[4, 3, 1, 4]                                                               |  | used linear model with 3 points | iterate failure | actual_k=1
       4|[-0.1298443153500557, -0.6925042659044266]                                      |  0.7069627642631531|      1.00000000|[7, 3, 2, 6]                                                               |  | used linear model with 3 points | iterate failure | actual_k=1
       5|[0.2755706831812859, 0.1254255384206772]                                        |  0.0204320196062326|      2.00000000|[9, 4, 2, 7]                                                               | | GPS sucess | actual_k=1
       6|[0.2755706831812859, 0.1254255384206772]                                        |  0.0204320196062326|      1.00000000|[11, 4, 3, 9]                                                              |  | used linear model with 3 points | iterate failure | actual_k=1
       7|[0.2755706831812859, 0.1254255384206772]                                        |  0.0204320196062326|      0.50000000|[13, 5, 4, 11]                                                             |  | used linear model with 3 points | iterate failure | actual_k=1
       8|[-0.0509895756840706, -0.0926078647375107]                                      |  0.0002855287457351|      1.00000000|[15, 6, 4, 12]                                                             | | GPS sucess | actual_k=1
       9|[-0.0509895756840706, -0.0926078647375107]                                      |  0.0002855287457351|      0.50000000|[16, 7, 4, 13]                                                             |  | used linear model with 3 points | actual_k=1
      10|[-0.0509895756840706, -0.0926078647375107]                                      |  0.0002855287457351|      0.25000000|[17, 8, 5, 15]                                                             |  | used linear model with 3 points | iterate failure | actual_k=1
      11|[-0.0509895756840706, -0.0926078647375107]                                      |  0.0002855287457351|      0.12500000|[20, 8, 5, 16]                                                             |  | used linear model with 3 points | actual_k=1
      12|[-0.0509895756840706, -0.0926078647375107]                                      |  0.0002855287457351|      0.06250000|[21, 9, 5, 17]                                                             |  | used linear model with 3 points | actual_k=1
      13|[-0.0614495566114783, -0.0535319313406944]                                      |  0.0000890535739018|      0.12500000|[22, 10, 5, 18]                                                            | | GPS sucess | actual_k=1
      14|[-0.0614495566114783, -0.0535319313406944]                                      |  0.0000890535739018|      0.06250000|[23, 11, 5, 19]                                                            |  | used linear model with 3 points | actual_k=1
      15|[-0.0201251422986388, -0.0469202283769846]                                      |  0.0000168153546838|      0.12500000|[25, 11, 5, 20]                                                            | | GPS sucess | actual_k=1
