k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]| 15.0000174966258228|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.5870544910430908, 0.0786545276641846, 0.841253399848938, 0.4776663482189178, 0.3776011168956757, -0.1757587343454361, -0.0033905662130564, 0.3449411392211914, -0.103044219315052, -0.400777131319046, -0.5439278483390808, -0.6644708514213562, 0.4898206889629364, -0.0141756189987063, 0.2200718522071838, -0.6517636179924011, -0.0706372037529945, 0.1507522463798523, 0.7955852150917053, 0.1543542891740799, -0.3381495177745819, -0.0049349959008396]| 13.3714694976806641|      2.00000000|[57, 8, 0, 1]                                                              | | GPS sucess | actual_k=8
       2|[2.189640998840332, 0.6390279531478882, 1.0188655704259872, 0.9392306804656982, -0.8621670305728912, -0.5387667268514633, -0.5343246019911021, 1.2314083576202393, -0.285800389945507, 0.706251472234726, -1.4205559492111206, 1.2509672045707703, 0.2180380523204803, 0.2715008901432157, 0.7115016877651215, -0.4009115993976593, 0.0435674712061882, 1.0548714995384216, -0.3761640191078186, -0.3616421073675156, 0.1209239959716797, -1.1450777943246067]| 12.1702337265014648|      4.00000000|[113, 16, 0, 2]                                                            | | GPS sucess | actual_k=8
       3|[0.5048929452896118, 1.4740694165229797, 2.85388146340847, 2.0582090616226196, -1.3350901007652283, -0.6598475724458694, -1.8538560427259654, 1.9935341477394104, -1.567240409553051, 1.9682280719280243, -0.8970127105712891, 1.084853544831276, 0.3313309997320175, 0.5843696342781186, 0.9766260385513306, -0.4081482063047588, -0.2329331114888191, 0.794801652431488, -0.2317460179328918, 0.3397156745195389, 1.0264376997947693, -0.8444408471696079]| 12.1465291976928711|      8.00000000|[169, 24, 0, 3]                                                            | | GPS sucess | actual_k=8
       4|[-1.5288537740707397, -1.6298484206199646, 0.5221656411886215, 4.453810811042786, -3.438492238521576, -1.7523481398820877, -2.762679473264143, 4.5234039425849915, -2.5673790499567986, 0.9013337790966034, -2.947378396987915, -0.4036426395177841, 0.1631821095943451, 1.332993065007031, 2.0572214126586914, 0.3784816493280232, -0.2894864492118359, -0.415416419506073, 1.749723494052887, -2.2160695046186447, -0.7910366654396057, -1.0613594050519168]| 12.1376810073852539|     16.00000000|[225, 32, 0, 4]                                                            | | GPS sucess | actual_k=8
       5|[-3.3032948970794678, -5.07439512014389, 3.5028039067983627, 5.4055275321006775, -4.242504179477692, -1.557783380150795, -3.65040470729582, 4.007700860500336, -0.6641532704234123, -0.3359734117984772, -2.044807493686676, -0.8494925051927567, 2.4768849313259125, -0.0110892904922366, 3.9083127975463867, 0.1722205807454884, 0.9183989353477955, 0.910029947757721, -0.0392184853553772, -2.703169360756874, 1.1959529519081116, -4.233301162254065]| 12.1306276321411133|     32.00000000|[281, 40, 0, 5]                                                            | | GPS sucess | actual_k=8
       6|[-3.3032948970794678, -5.07439512014389, 3.5028039067983627, 5.4055275321006775, -4.242504179477692, -1.557783380150795, -3.65040470729582, 4.007700860500336, -0.6641532704234123, -0.3359734117984772, -2.044807493686676, -0.8494925051927567, 2.4768849313259125, -0.0110892904922366, 3.9083127975463867, 0.1722205807454884, 0.9183989353477955, 0.910029947757721, -0.0392184853553772, -2.703169360756874, 1.1959529519081116, -4.233301162254065]| 12.1306276321411133|     16.00000000|[343, 50, 0, 7]                                                            |  | used linear model with 65 points | actual_k=8
       7|[-4.599267959594727, -2.294573724269867, 2.58402781188488, 6.422935903072357, -4.317918725311756, -0.2185601145029068, -4.370932296616957, 4.761719644069672, -3.2473093792796135, -1.5688505470752716, -1.0335803627967834, -1.745991125702858, 1.5461186468601227, -0.5422042859718204, 3.3736135959625244, -0.0627773771993816, 1.6058179922401905, 3.244161903858185, 1.047045886516571, -3.977974310517311, 1.443932831287384, -9.66754913283512]| 12.1285781860351562|     32.00000000|[399, 58, 0, 8]                                                            | | GPS sucess | actual_k=8
       8|[-4.599267959594727, -2.294573724269867, 2.58402781188488, 6.422935903072357, -4.317918725311756, -0.2185601145029068, -4.370932296616957, 4.761719644069672, -3.2473093792796135, -1.5688505470752716, -1.0335803627967834, -1.745991125702858, 1.5461186468601227, -0.5422042859718204, 3.3736135959625244, -0.0627773771993816, 1.6058179922401905, 3.244161903858185, 1.047045886516571, -3.977974310517311, 1.443932831287384, -9.66754913283512]| 12.1285781860351562|     16.00000000|[461, 68, 0, 10]                                                           |  | used linear model with 65 points | actual_k=8
       9|[-4.599267959594727, -2.294573724269867, 2.58402781188488, 6.422935903072357, -4.317918725311756, -0.2185601145029068, -4.370932296616957, 4.761719644069672, -3.2473093792796135, -1.5688505470752716, -1.0335803627967834, -1.745991125702858, 1.5461186468601227, -0.5422042859718204, 3.3736135959625244, -0.0627773771993816, 1.6058179922401905, 3.244161903858185, 1.047045886516571, -3.977974310517311, 1.443932831287384, -9.66754913283512]| 12.1285781860351562|      8.00000000|[525, 76, 0, 12]                                                           |  | used linear model with 65 points | actual_k=8
      10|[-5.300279438495636, -0.4489896893501282, 4.343929216265678, 6.540254428982735, -3.9148306027054787, 0.3218899816274643, -4.9323774732183665, 5.926418602466583, -3.2612405978143215, -2.329772859811783, -2.277584135532379, -1.3239948898553848, 1.2818517684936523, -1.8204561723396182, 1.157522439956665, 6.043839119840413, -0.7883117608726025, 1.705023467540741, 0.5551652312278748, -3.7038945108652115, 1.9105426371097565, -9.529479577671736]| 12.1280050277709961|     16.00000000|[581, 84, 0, 13]                                                           | | GPS sucess | actual_k=8
      11|[-5.300279438495636, -0.4489896893501282, 4.343929216265678, 6.540254428982735, -3.9148306027054787, 0.3218899816274643, -4.9323774732183665, 5.926418602466583, -3.2612405978143215, -2.329772859811783, -2.277584135532379, -1.3239948898553848, 1.2818517684936523, -1.8204561723396182, 1.157522439956665, 6.043839119840413, -0.7883117608726025, 1.705023467540741, 0.5551652312278748, -3.7038945108652115, 1.9105426371097565, -9.529479577671736]| 12.1280050277709961|      8.00000000|[643, 94, 0, 15]                                                           |  | used linear model with 65 points | actual_k=8
