k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[2.0, 2.0]                                                                      |  5.9900000000000002|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.1793725490570068, 1.4285364747047424]                                        |  3.1246528625488281|      2.00000000|[5, 0, 0, 1]                                                               | | GPS sucess | actual_k=0
       2|[1.1793725490570068, 1.4285364747047424]                                        |  3.1246528625488281|      1.00000000|[9, 0, 1, 3]                                                               |  | used linear model with 5 points | iterate failure | actual_k=0
       3|[1.1793725490570068, 1.4285364747047424]                                        |  3.1246528625488281|      0.50000000|[14, 0, 2, 5]                                                              |  | used linear model with 5 points | iterate failure | actual_k=0
       4|[1.654701054096222, 1.2734147310256958]                                         |  0.2215427160263062|      1.00000000|[19, 0, 2, 6]                                                              | | GPS sucess | actual_k=0
       5|[1.654701054096222, 1.2734147310256958]                                         |  0.2215427160263062|      0.50000000|[23, 0, 3, 8]                                                              |  | used linear model with 5 points | iterate failure | actual_k=0
       6|[1.654701054096222, 1.2734147310256958]                                         |  0.2215427160263062|      0.25000000|[28, 0, 4, 10]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
       7|[1.654701054096222, 1.2734147310256958]                                         |  0.2215427160263062|      0.12500000|[33, 0, 5, 12]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
       8|[1.654701054096222, 1.2734147310256958]                                         |  0.2215427160263062|      0.06250000|[38, 0, 6, 14]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
       9|[1.6656525079160929, 1.3349477760493755]                                        |  0.1969622224569321|      0.12500000|[43, 0, 6, 15]                                                             | | GPS sucess | actual_k=0
      10|[1.786920601502061, 1.3652635719627142]                                         |  0.1706571578979492|      0.25000000|[47, 0, 6, 16]                                                             | | GPS sucess | actual_k=0
      11|[1.786920601502061, 1.3652635719627142]                                         |  0.1706571578979492|      0.12500000|[51, 0, 7, 18]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
      12|[1.786920601502061, 1.3652635719627142]                                         |  0.1706571578979492|      0.06250000|[56, 0, 8, 20]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
