k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[-1.2, 1.0, -1.2, 1.0, -1.2, 1.0, -1.2, 1.0, -1.2, 1.0, -1.2, 1.0, -1.2, 1.0, -1.2, 1.0, -1.2, 1.0, -1.2, 1.0, -1.2, 1.0, -1.2, 1.0, -1.2, 1.0, -1.2, 1.0, -1.2, 1.0, -1.2, 1.0, -1.2, 1.0, -1.2, 1.0, -1.2, 1.0, -1.2, 1.0, -1.2, 1.0, -1.2, 1.0, -1.2, 1.0, -1.2, 1.0, -1.2, 1.0, -1.2, 1.0, -1.2, 1.0, -1.2, 1.0, -1.2, 1.0, -1.2, 1.0, -1.2, 1.0, -1.2, 1.0, -1.2, 1.0, -1.2, 1.0, -1.2, 1.0, -1.2, 1.0, -1.2, 1.0, -1.2, 1.0, -1.2, 1.0, -1.2, 1.0, -1.2, 1.0, -1.2, 1.0, -1.2, 1.0, -1.2, 1.0, -1.2, 1.0, -1.2, 1.0, -1.2, 1.0, -1.2, 1.0, -1.2, 1.0, -1.2, 1.0]|24876.8647026020043995|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[-1.0692980408668518, 0.9126363918185234, -1.176556021720171, 0.9000675454735756, -1.360108909010887, 0.8243623226881027, -1.156826850771904, 1.0163869988173246, -1.1700621906667947, 1.234586924314499, -1.190332162939012, 0.8597745597362518, -1.2304123647511005, 0.9946213699877262, -1.2445561110973358, 0.985040414147079, -1.2382099226117134, 1.06181176379323, -1.2999062806367874, 1.0541303232312202, -1.1104451686143875, 0.9210638850927353, -1.230660854652524, 0.8724031448364258, -1.08234643638134, 1.0848919376730919, -1.2563339442014694, 1.0532393418252468, -1.1056675136089325, 0.9419236741960049, -1.0340909034013748, 1.066523902118206, -1.055099320411682, 1.1390993893146515, -1.1076251909136772, 0.9964740739669651, -1.1714852645993232, 1.0288835801184177, -1.2023357609752565, 0.9437875524163246, -1.3078661382198333, 1.1534198969602585, -1.3697544753551483, 0.8775911778211594, -1.4515593767166137, 1.2200371623039246, -1.0979097306728363, 1.0569737888872623, -1.1295732751488685, 0.9054403379559517, -1.1748861324042081, 0.9514776170253754, -1.2616994351148605, 1.0337549708783627, -1.2541055649518966, 0.8759588822722435, -1.1997034063853789, 0.9268079847097397, -0.9853406965732574, 0.8481751084327698, -1.1590417370200157, 1.1290125250816345, -1.3026547476649284, 0.990594882518053, -1.303976972401142, 0.970606716349721, -1.1326598048210144, 0.7924440950155258, -1.2530451126396656, 0.9798508323729038, -0.9807311117649078, 0.8595454543828964, -1.2175409503281116, 1.0215680301189423, -1.1882049160078167, 0.9344471544027328, -1.3153527423739433, 0.9538763165473938, -1.257723693549633, 1.0339714586734772, -1.1199265912175178, 0.9569679088890553, -1.23573240339756, 0.9000060707330704, -1.1366371780633926, 1.048892855644226, -0.9803950756788253, 0.9432168267667294, -1.1893210278823971, 0.9124869704246521, -1.2270442720502615, 0.8983110189437866, -1.2088595021516084, 1.1331456005573273, -1.0867975994944572, 1.083917997777462, -1.2224197302013635, 0.9970777428243309, -1.1855580488219857, 1.038959812372923]|24762.7597656250000000|      2.00000000|[15, 2, 0, 1]                                                              | | GPS sucess | actual_k=2
       2|[-1.1704510863195494, 0.8103663154472617, -0.8970569269986446, 0.7718815597588827, -1.2206040654718489, 0.4450469440093757, -1.0881130993168289, 0.6869695486308665, -1.1418761935084145, 0.840389201839823, -0.917043093522079, 0.8183622835014746, -1.4419682659530797, 0.8126593031268019, -1.2717358142364161, 1.2350521239775127, -1.6214386016535913, 1.212465303195442, -1.1454642343969244, 0.7602802580790478, -0.7348954665346077, 0.5215332120180995, -0.8050932325921423, 0.5737276249038528, -0.8915187083413451, 0.8128830436990666, -1.0392688841853137, 1.1159392660016525, -0.9689999888557712, 0.7506402822332396, -0.8785615422194787, 0.8324312573115541, -0.8370385439250551, 0.7723543329883384, -1.049231310637203, 1.372614425418955, -1.1122492090863754, 0.747963827679033, -0.9666010343017359, 1.0048888812306715, -1.1654244987026714, 0.9509565077310711, -1.6074132365265363, 0.7348976230322319, -1.632057360299436, 1.0911853276062278, -1.1209373955271935, 1.0406703855382489, -1.0595310545602221, 0.8535481034003203, -0.8382000728554848, 1.0122154809311616, -1.2065548133926791, 1.1176507178383461, -1.4739312942002414, 0.9476261076468631, -1.3096460591216645, 0.7802319219007281, -1.1637740556257754, 0.6828344296531373, -0.9343080831664721, 1.1612889355654712, -1.3831801212996448, 0.9890641057688656, -1.0204472696337963, 0.6409301471999416, -1.0256637753041542, 1.051116919117829, -1.267985695429055, 0.9743086342991784, -0.9119318388677877, 1.12453733082322, -1.0585565605872742, 1.1364850577577879, -1.1344950867192751, 0.7823031878035133, -1.3757339050084179, 1.0018158468862706, -1.1914304938206144, 1.181045180949937, -1.1583147025693346, 1.0279045728197271, -1.236282953311952, 0.8343992974332818, -1.2926813191656878, 1.2973478611546763, -0.9790191822415922, 0.9876003189649675, -1.2362535387061246, 0.9243845155588862, -0.9776796775627171, 0.8741657004420229, -1.056675508604797, 1.068390994444416, -1.208167263930909, 0.5315001580849728, -1.2575467884820957, 0.6793917423325277, -1.3842115571870743, 1.0210298027234705]|23171.0566406250000000|      4.00000000|[56, 8, 0, 4]                                                              |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 28 points | (iterate failure) trying more points before decreasing delta| GPS sucess | actual_k=2
       3|[-1.1704510863195494, 0.8103663154472617, -0.8970569269986446, 0.7718815597588827, -1.2206040654718489, 0.4450469440093757, -1.0881130993168289, 0.6869695486308665, -1.1418761935084145, 0.840389201839823, -0.917043093522079, 0.8183622835014746, -1.4419682659530797, 0.8126593031268019, -1.2717358142364161, 1.2350521239775127, -1.6214386016535913, 1.212465303195442, -1.1454642343969244, 0.7602802580790478, -0.7348954665346077, 0.5215332120180995, -0.8050932325921423, 0.5737276249038528, -0.8915187083413451, 0.8128830436990666, -1.0392688841853137, 1.1159392660016525, -0.9689999888557712, 0.7506402822332396, -0.8785615422194787, 0.8324312573115541, -0.8370385439250551, 0.7723543329883384, -1.049231310637203, 1.372614425418955, -1.1122492090863754, 0.747963827679033, -0.9666010343017359, 1.0048888812306715, -1.1654244987026714, 0.9509565077310711, -1.6074132365265363, 0.7348976230322319, -1.632057360299436, 1.0911853276062278, -1.1209373955271935, 1.0406703855382489, -1.0595310545602221, 0.8535481034003203, -0.8382000728554848, 1.0122154809311616, -1.2065548133926791, 1.1176507178383461, -1.4739312942002414, 0.9476261076468631, -1.3096460591216645, 0.7802319219007281, -1.1637740556257754, 0.6828344296531373, -0.9343080831664721, 1.1612889355654712, -1.3831801212996448, 0.9890641057688656, -1.0204472696337963, 0.6409301471999416, -1.0256637753041542, 1.051116919117829, -1.267985695429055, 0.9743086342991784, -0.9119318388677877, 1.12453733082322, -1.0585565605872742, 1.1364850577577879, -1.1344950867192751, 0.7823031878035133, -1.3757339050084179, 1.0018158468862706, -1.1914304938206144, 1.181045180949937, -1.1583147025693346, 1.0279045728197271, -1.236282953311952, 0.8343992974332818, -1.2926813191656878, 1.2973478611546763, -0.9790191822415922, 0.9876003189649675, -1.2362535387061246, 0.9243845155588862, -0.9776796775627171, 0.8741657004420229, -1.056675508604797, 1.068390994444416, -1.208167263930909, 0.5315001580849728, -1.2575467884820957, 0.6793917423325277, -1.3842115571870743, 1.0210298027234705]|23171.0566406250000000|      2.00000000|[172, 26, 0, 13]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 28 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 40 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 53 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 66 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 79 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 92 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 104 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       4|[-1.3221313672545136, 0.5013187903480463, -0.8482130484853567, 1.0337549769227798, -1.101242052963977, 0.5191788258514051, -1.2694576302686162, 0.4785286862084593, -1.0740047225525606, 0.8892847595479936, -0.9688607672799676, 0.8511018741445306, -1.176941271129496, 0.5307114533359525, -0.9868111581467313, 1.138943518508354, -1.5207370027995657, 0.5901546223918664, -0.9632900489158023, 0.7208032043860721, -0.7789797918117575, 0.6978782993270405, -0.9327150296007282, 0.2331959326210208, -0.6997979265099462, 0.8193864690964613, -1.0912832230975054, 0.7617246207210869, -1.0336470403611715, 1.006845604510235, -0.879263224216102, 0.957615011355945, -1.2763894155754683, 0.8662446594707199, -1.2033683953613603, 1.4167228502299765, -0.5883404208676416, 0.5355635783430194, -1.1488370135945216, 0.7506890588507912, -0.9066542367891762, 1.0661591175887832, -1.4151956641828678, 0.6386665914497648, -1.5786597219656675, 1.146254237167259, -0.8923230084579432, 0.8508605048629675, -0.9326330637382371, 1.0567003461005988, -0.9503615890857641, 1.0622544745399476, -1.169553573271554, 1.3165870060098228, -1.307117507678787, 0.8473908822341878, -1.2300343074689932, 0.464096961261056, -1.1768583217776816, 0.6526303630065614, -0.7456184839661253, 1.2488445376967556, -1.328032005241896, 1.1219822534237007, -0.5976896394870026, 0.5723052079442612, -0.7093559542381744, 0.7158790023441681, -1.2572769289653756, 0.7676191906089668, -1.0680185894601433, 1.0023911019251832, -1.3315927109193715, 0.8469902654032668, -0.9478747984104671, 0.6802662219626339, -1.5614028426549056, 0.8760656834452096, -1.1455702346201386, 0.8243293032313703, -0.9965424199416497, 0.9679342905565513, -1.363358615966367, 0.8955353316199598, -1.0928705833129613, 1.3673205816963454, -1.1058259183128332, 0.874988912758325, -1.3396427108469202, 1.2241731377583762, -1.1167113299473, 0.7287807487846073, -1.3309914815001398, 1.0182246694995614, -1.321641131417499, 0.6132036583416165, -1.3641820465208452, 0.613419974782127, -1.773725979387001, 1.2138393427045429]|22375.0859375000000000|      4.00000000|[210, 32, 0, 16]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 27 points | (iterate failure) trying more points before decreasing delta| GPS sucess | actual_k=2
       5|[-1.3221313672545136, 0.5013187903480463, -0.8482130484853567, 1.0337549769227798, -1.101242052963977, 0.5191788258514051, -1.2694576302686162, 0.4785286862084593, -1.0740047225525606, 0.8892847595479936, -0.9688607672799676, 0.8511018741445306, -1.176941271129496, 0.5307114533359525, -0.9868111581467313, 1.138943518508354, -1.5207370027995657, 0.5901546223918664, -0.9632900489158023, 0.7208032043860721, -0.7789797918117575, 0.6978782993270405, -0.9327150296007282, 0.2331959326210208, -0.6997979265099462, 0.8193864690964613, -1.0912832230975054, 0.7617246207210869, -1.0336470403611715, 1.006845604510235, -0.879263224216102, 0.957615011355945, -1.2763894155754683, 0.8662446594707199, -1.2033683953613603, 1.4167228502299765, -0.5883404208676416, 0.5355635783430194, -1.1488370135945216, 0.7506890588507912, -0.9066542367891762, 1.0661591175887832, -1.4151956641828678, 0.6386665914497648, -1.5786597219656675, 1.146254237167259, -0.8923230084579432, 0.8508605048629675, -0.9326330637382371, 1.0567003461005988, -0.9503615890857641, 1.0622544745399476, -1.169553573271554, 1.3165870060098228, -1.307117507678787, 0.8473908822341878, -1.2300343074689932, 0.464096961261056, -1.1768583217776816, 0.6526303630065614, -0.7456184839661253, 1.2488445376967556, -1.328032005241896, 1.1219822534237007, -0.5976896394870026, 0.5723052079442612, -0.7093559542381744, 0.7158790023441681, -1.2572769289653756, 0.7676191906089668, -1.0680185894601433, 1.0023911019251832, -1.3315927109193715, 0.8469902654032668, -0.9478747984104671, 0.6802662219626339, -1.5614028426549056, 0.8760656834452096, -1.1455702346201386, 0.8243293032313703, -0.9965424199416497, 0.9679342905565513, -1.363358615966367, 0.8955353316199598, -1.0928705833129613, 1.3673205816963454, -1.1058259183128332, 0.874988912758325, -1.3396427108469202, 1.2241731377583762, -1.1167113299473, 0.7287807487846073, -1.3309914815001398, 1.0182246694995614, -1.321641131417499, 0.6132036583416165, -1.3641820465208452, 0.613419974782127, -1.773725979387001, 1.2138393427045429]|22375.0859375000000000|      2.00000000|[323, 50, 0, 25]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 28 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 40 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 53 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 65 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 78 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 90 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 102 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       6|[-0.8663634973051728, 0.4245142194943361, -0.820504052398044, 1.0997693487351234, -1.043286925754552, 0.766672227021182, -1.213230855218453, 0.7387259084412778, -1.0634216589650143, 0.8439628964033574, -0.6817521373380273, 0.7976047794835333, -0.9118716970118355, 0.444132704215717, -1.0495900557302158, 1.083804181773344, -1.503149933377559, 0.7507066770354974, -0.7531153840607989, 0.9724050792144108, -0.9163756952798895, 0.1319031697227009, -0.7313275347982532, 0.150492386931438, -0.8185905274396833, 0.6090939956610594, -0.9166353852202318, 0.8656999018404335, -0.9800400757134016, 1.1012165731500856, -1.016106577726005, 0.6817681724048341, -1.0964432761206266, 1.0445172048083968, -1.3687230197519624, 1.2250905794169882, -0.5818413110779125, 0.6373204416390513, -0.9356915489357844, 1.0355235629782937, -0.9123689545759354, 1.0308780964408168, -1.1243154907381199, 0.1980928991279874, -1.8142841992329328, 1.2281020836752852, -0.6109010788600886, 0.5075172767612371, -0.699218249862085, 1.2480671378257575, -0.7814446632978383, 1.0104130851521016, -1.149165096720975, 1.6033736516606865, -1.554919392687599, 0.995204440812679, -1.4241404094587393, 0.4289170631182414, -1.377822221270899, 0.6437855757516319, -0.6293096607382429, 0.706416521034158, -1.6743896488461745, 0.9345709749374489, -0.3423172940394623, 0.5641042244273893, -0.6352493056738358, 0.7431452514047989, -1.3570536067526795, 0.4639169851894264, -0.709989879571685, 0.7447925527976045, -1.3723779602420243, 0.7890617330412826, -0.8441992243462123, 0.7429604958516987, -1.4452368619582274, 0.9814803496806566, -0.9053162347908463, 0.9199851095939993, -0.7715023566796639, 0.9304002287372364, -1.3526736964228028, 0.9786988836061773, -0.8443151614837376, 1.3577834743851562, -0.8490849310119604, 0.7887493662209257, -1.3405986269149712, 0.9856967272502204, -1.3157130445345115, 0.6512887575627025, -1.2827510731987863, 1.2722836862041207, -1.1237762115166048, 0.5468138219706715, -1.3529541491524737, 0.403754840232986, -1.803352969124154, 0.825235893836745]|22116.9882812500000000|      4.00000000|[349, 54, 0, 27]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta| GPS sucess | actual_k=2
       7|[-0.8663634973051728, 0.4245142194943361, -0.820504052398044, 1.0997693487351234, -1.043286925754552, 0.766672227021182, -1.213230855218453, 0.7387259084412778, -1.0634216589650143, 0.8439628964033574, -0.6817521373380273, 0.7976047794835333, -0.9118716970118355, 0.444132704215717, -1.0495900557302158, 1.083804181773344, -1.503149933377559, 0.7507066770354974, -0.7531153840607989, 0.9724050792144108, -0.9163756952798895, 0.1319031697227009, -0.7313275347982532, 0.150492386931438, -0.8185905274396833, 0.6090939956610594, -0.9166353852202318, 0.8656999018404335, -0.9800400757134016, 1.1012165731500856, -1.016106577726005, 0.6817681724048341, -1.0964432761206266, 1.0445172048083968, -1.3687230197519624, 1.2250905794169882, -0.5818413110779125, 0.6373204416390513, -0.9356915489357844, 1.0355235629782937, -0.9123689545759354, 1.0308780964408168, -1.1243154907381199, 0.1980928991279874, -1.8142841992329328, 1.2281020836752852, -0.6109010788600886, 0.5075172767612371, -0.699218249862085, 1.2480671378257575, -0.7814446632978383, 1.0104130851521016, -1.149165096720975, 1.6033736516606865, -1.554919392687599, 0.995204440812679, -1.4241404094587393, 0.4289170631182414, -1.377822221270899, 0.6437855757516319, -0.6293096607382429, 0.706416521034158, -1.6743896488461745, 0.9345709749374489, -0.3423172940394623, 0.5641042244273893, -0.6352493056738358, 0.7431452514047989, -1.3570536067526795, 0.4639169851894264, -0.709989879571685, 0.7447925527976045, -1.3723779602420243, 0.7890617330412826, -0.8441992243462123, 0.7429604958516987, -1.4452368619582274, 0.9814803496806566, -0.9053162347908463, 0.9199851095939993, -0.7715023566796639, 0.9304002287372364, -1.3526736964228028, 0.9786988836061773, -0.8443151614837376, 1.3577834743851562, -0.8490849310119604, 0.7887493662209257, -1.3405986269149712, 0.9856967272502204, -1.3157130445345115, 0.6512887575627025, -1.2827510731987863, 1.2722836862041207, -1.1237762115166048, 0.5468138219706715, -1.3529541491524737, 0.403754840232986, -1.803352969124154, 0.825235893836745]|22116.9882812500000000|      2.00000000|[473, 74, 0, 37]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 27 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 39 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 51 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 63 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 76 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 88 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 100 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 112 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       8|[-0.9983966069700898, 0.5257123413996629, -0.8155893895973148, 1.02194261782816, -1.144532403550153, 0.6896739410719518, -1.0100356558480688, 1.101793475789758, -1.1463362274488438, 0.6800450270739049, -0.6718977768544405, 0.7844687446521286, -0.5982506230505775, 0.7364837116772649, -0.7125542209409397, 1.0960136987232956, -1.5273702714688133, 0.5440392835895288, -0.8744227943605769, 1.140732455460863, -0.7676774994648031, 0.1091561001254566, -0.9720010619197971, 0.2160047460737415, -0.7698863689249452, 0.7274024876659307, -1.131934529607477, 0.7238518592331261, -0.9612863943815286, 0.8526809698652498, -1.2225576510149225, 0.8915452742791856, -1.3829389318956968, 1.2270687079898543, -1.4228814540237749, 1.3113507938649633, -0.7667893531130153, 0.6263607688974594, -1.0088338316005603, 0.9163827144608758, -1.0562027855285798, 0.5170991714988002, -1.2918015325224064, -0.0629550900020327, -1.5970047650288313, 1.2388171855208476, -0.7470878723066294, 0.7242766902419958, -1.0627391701387268, 1.0944401743295493, -0.8026941531565849, 0.9253618242635251, -1.101205731770318, 1.4136373151910362, -1.3831793525045317, 0.856107390980335, -1.4408459094207116, 0.1596337088358623, -1.041065515033106, 0.6062482543033058, -0.5499049043114317, 0.7097557657854177, -1.8229517374549162, 0.6762557991657356, -0.6196306158683045, 0.5154304121274225, -0.8173709848606567, 0.6994028219397435, -1.2045808872025467, 0.5922696570510749, -0.5678384344213097, 0.3552396913455018, -1.106363741911641, 0.8119017970602473, -0.7506361817651309, 0.3283377717954548, -1.0995420220038512, 0.5584378138987962, -0.7355382752056565, 0.9924283340836881, -0.6827622015788415, 1.0023100587114109, -1.2602283228876465, 0.681522373510581, -0.8618114623449771, 1.2871573347443481, -0.8763079462160324, 0.9014511398644194, -1.028037651363366, 1.4288678409796973, -1.3726445811792087, 0.5195718058348354, -1.1642077686958223, 0.7574238906337472, -0.9455569080278734, 0.305555111347884, -1.3539467631134625, 0.2659929493447719, -2.045793893172578, 0.9171216244609439]|21571.4433593750000000|      4.00000000|[536, 84, 0, 42]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 27 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 39 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 51 points | (iterate failure) trying more points before decreasing delta| GPS sucess | actual_k=2
       9|[-0.9983966069700898, 0.5257123413996629, -0.8155893895973148, 1.02194261782816, -1.144532403550153, 0.6896739410719518, -1.0100356558480688, 1.101793475789758, -1.1463362274488438, 0.6800450270739049, -0.6718977768544405, 0.7844687446521286, -0.5982506230505775, 0.7364837116772649, -0.7125542209409397, 1.0960136987232956, -1.5273702714688133, 0.5440392835895288, -0.8744227943605769, 1.140732455460863, -0.7676774994648031, 0.1091561001254566, -0.9720010619197971, 0.2160047460737415, -0.7698863689249452, 0.7274024876659307, -1.131934529607477, 0.7238518592331261, -0.9612863943815286, 0.8526809698652498, -1.2225576510149225, 0.8915452742791856, -1.3829389318956968, 1.2270687079898543, -1.4228814540237749, 1.3113507938649633, -0.7667893531130153, 0.6263607688974594, -1.0088338316005603, 0.9163827144608758, -1.0562027855285798, 0.5170991714988002, -1.2918015325224064, -0.0629550900020327, -1.5970047650288313, 1.2388171855208476, -0.7470878723066294, 0.7242766902419958, -1.0627391701387268, 1.0944401743295493, -0.8026941531565849, 0.9253618242635251, -1.101205731770318, 1.4136373151910362, -1.3831793525045317, 0.856107390980335, -1.4408459094207116, 0.1596337088358623, -1.041065515033106, 0.6062482543033058, -0.5499049043114317, 0.7097557657854177, -1.8229517374549162, 0.6762557991657356, -0.6196306158683045, 0.5154304121274225, -0.8173709848606567, 0.6994028219397435, -1.2045808872025467, 0.5922696570510749, -0.5678384344213097, 0.3552396913455018, -1.106363741911641, 0.8119017970602473, -0.7506361817651309, 0.3283377717954548, -1.0995420220038512, 0.5584378138987962, -0.7355382752056565, 0.9924283340836881, -0.6827622015788415, 1.0023100587114109, -1.2602283228876465, 0.681522373510581, -0.8618114623449771, 1.2871573347443481, -0.8763079462160324, 0.9014511398644194, -1.028037651363366, 1.4288678409796973, -1.3726445811792087, 0.5195718058348354, -1.1642077686958223, 0.7574238906337472, -0.9455569080278734, 0.305555111347884, -1.3539467631134625, 0.2659929493447719, -2.045793893172578, 0.9171216244609439]|21571.4433593750000000|      2.00000000|[660, 104, 0, 52]                                                          |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 27 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 39 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 52 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 64 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 76 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 88 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 100 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 112 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      10|[-1.247935937571782, 0.5565277397202186, -0.8008343361516179, 1.0434514828865822, -1.2913800986623813, 0.6317125926277284, -0.7672542849698492, 0.6709457415768827, -1.0736497340520847, 0.4001698976126165, -0.7721255127910822, 0.661184412197924, -0.530733439329512, 0.9499257988507268, -0.9102959678434055, 1.0614091455900463, -1.2768051896340202, 0.5356540546650755, -0.8585967274046529, 1.0612596677826214, -0.7233106368399195, 0.1829946469975956, -1.3062138121162539, 0.6431356538477131, -0.6880669240301546, 0.4404388460224066, -0.933580881421747, 0.42878699269031, -1.0951735065221841, 0.8735045975755922, -1.2840416600424036, 0.688943483851024, -1.1053839728369352, 0.9482482827178664, -1.0368667838901842, 1.3530300085511187, -0.927017143587907, 0.6020902250688528, -0.7917055696767703, 0.9002885234610103, -1.417812274254242, 0.8922405239138851, -1.1917967403089664, 0.0754895869932447, -1.6323757854651182, 1.2085842624154886, -0.6904165173869574, 0.6378591940376196, -1.2107606148170333, 1.033967935520679, -0.5727917068865959, 1.4452208998097897, -1.0196436373799258, 1.5570340354812202, -1.0239147105043334, 1.1583906780286748, -1.5728593942563363, -0.0100131503331441, -1.2009911695636313, 0.3897407896560127, -0.7812208151276243, 0.5909376093642331, -1.584746572783972, 0.918074346414576, -0.7112148363969071, 0.6730024133462182, -0.8286808795937877, 0.692095790747858, -1.2874262472432114, 0.5841284392977838, -0.6887281279199211, -0.0922262648655883, -1.260360820449582, 0.7700478774349651, -0.4201455628209628, 0.4967149328214557, -0.8968921753308394, 0.6657519311516229, -0.8461741146083321, 0.7286204412843107, -0.840664338023887, 0.9066944705828441, -1.160494649851548, 0.7118956487905798, -0.5136408838652102, 1.0163562673920532, -0.7926307735552047, 1.1140433393091902, -1.1729704429540566, 1.4274100464102646, -1.4898741695090008, 0.3638154664040264, -1.0937276157312303, 0.376335663600132, -0.859309434072719, 0.2344401093117894, -1.601628231838667, 0.4323983738204418, -1.9551807440660753, 0.7243206108720386]|21259.2656250000000000|      4.00000000|[674, 106, 0, 53]                                                          | | GPS sucess | actual_k=2
      11|[-1.15426267574365, 0.3300836343835714, -0.5580020973005514, 0.6305716763808986, -0.7523357494359467, 0.5600284761195571, -0.2938375170299533, 0.9605342139092454, -1.1643094690469469, 1.1090230931381169, -0.3146038375873321, 0.5191237412924204, -0.1121357885662786, 0.6910895009125171, -0.6597049471881689, 1.5309227657276643, -1.5217548007922186, 0.6490781084348682, -0.6528185322739298, 1.3895683694245229, -0.9764098673635477, 0.0247931564483819, -1.8610799056567524, 0.8343155105116392, -0.4293077301422033, 0.474978395711219, -0.5051270149344483, 0.1533048848678005, -0.340194243921682, 0.1796125967852881, -0.3954952128657222, 0.6822130183395402, -0.6637549513692858, 0.2771082302755556, -0.9699282704938714, 1.475303962705994, -0.2021274627275219, 0.2761040416400589, -1.423101717560689, 1.3420702099209685, -0.7720896122544344, 1.1614114116827694, -0.8846887750004389, 0.6200922974705045, -1.1633642560270085, 0.2581632367948369, -0.5880883195541454, 1.0987689936424618, -1.0757109370838651, 0.6610631034774235, -0.3864137928655147, 1.5056561692714852, -0.7815019413045203, 1.1863866188428562, -1.283945985559848, 1.0423249247953619, -1.1289351029911652, -0.2457091667867297, -1.3670693096628836, 0.7733262428503263, -1.3713253504957819, 0.8274083640819703, -0.995784028107499, 0.6090341653431619, -1.1300704070732546, 1.1092845073715947, -0.4857236667292494, 0.5129855292381456, -0.9965187920833277, 0.6013583942747742, -0.8104417277600701, 0.2987711278903881, -1.1606564129910846, 1.0423166532676387, -0.4329340572448191, 0.3066507244214856, -1.1125178205434092, 0.2642824751280607, -0.5725391692704185, 0.4785055376960175, -0.8666483906248031, 0.9557179139285078, -0.3406345332510472, 0.0739344608960124, -0.6755604033336036, 0.8120802932624862, -0.3469447965446781, 0.7407492900463671, -1.3631662428757598, 1.3218181492097687, -1.477762074523846, 0.5949152899029901, -0.7620086795752181, 1.1179601478780539, -1.6113911433814225, 0.1209632885239213, -1.6344956178378909, 0.0446238355663548, -1.1935660312774439, 0.1229577138693155]|19385.0371093750000000|      8.00000000|[750, 118, 0, 59]                                                          |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 27 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 39 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 52 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 65 points | (iterate failure) trying more points before decreasing delta| GPS sucess | actual_k=2
