k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]| 15.0000174966258228|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.2077818959951401, -0.2280727624893188, -0.6831964254379272, 1.1193808317184448, 0.4104052782058716, -0.2293266803026199, 0.4232242405414581, -0.2564863860607147, 0.1008266508579254, 0.6766346096992493, -0.2936887145042419, -0.4297186732292175, -0.1837056279182434, -0.2516169250011444, 0.1269862651824951, 0.1639561355113983, 0.3105273246765137, -0.5653440356254578, 0.1082101613283157, -0.0887445732951164, 0.5461261868476868, 0.3259660303592682]| 13.3010110855102539|      2.00000000|[65, 0, 0, 1]                                                              | | GPS sucess | actual_k=0
       2|[0.2032126067206264, -0.2349266964010894, -0.6923350039869547, 3.113764524459839, 0.3966974103823304, -0.2453191932290792, 0.4049470834434032, -0.2770481873303652, 0.0779802054166794, 0.6515035182237625, -0.33301967009902, -0.4594190511852503, -0.215690653771162, -0.2858865931630135, 0.0904319509863853, 0.1251171790063381, 0.3404580634087324, -0.6087522804737091, 0.0625172704458237, -0.1367221064865589, 0.4958640038967133, 0.2734192050993443]| 12.1415796279907227|      4.00000000|[129, 0, 0, 2]                                                             | | GPS sucess | actual_k=0
       3|[-0.1825404884293675, -0.1889512906782329, -1.0124331954866648, 3.487209528684616, 0.4756045723333955, -0.0948146637529135, 0.69331119582057, -1.055374102666974, -0.3250883370637894, 0.7034375369548798, -0.6026374660432339, -1.033971467986703, 0.1050668843090534, -0.4674206450581551, -0.199044294655323, 0.0701492801308632, 0.126630125567317, -1.1573615968227386, -0.149932935833931, 0.9123853258788586, 0.1649324297904968, 0.9782158769667149]| 12.1405658721923828|      8.00000000|[193, 0, 0, 3]                                                             | | GPS sucess | actual_k=0
       4|[-0.1825404884293675, -0.1889512906782329, -1.0124331954866648, 3.487209528684616, 0.4756045723333955, -0.0948146637529135, 0.69331119582057, -1.055374102666974, -0.3250883370637894, 0.7034375369548798, -0.6026374660432339, -1.033971467986703, 0.1050668843090534, -0.4674206450581551, -0.199044294655323, 0.0701492801308632, 0.126630125567317, -1.1573615968227386, -0.149932935833931, 0.9123853258788586, 0.1649324297904968, 0.9782158769667149]| 12.1405658721923828|      4.00000000|[257, 0, 0, 4]                                                             |  | used linear model with 65 points | actual_k=0
       5|[-0.1825404884293675, -0.1889512906782329, -1.0124331954866648, 3.487209528684616, 0.4756045723333955, -0.0948146637529135, 0.69331119582057, -1.055374102666974, -0.3250883370637894, 0.7034375369548798, -0.6026374660432339, -1.033971467986703, 0.1050668843090534, -0.4674206450581551, -0.199044294655323, 0.0701492801308632, 0.126630125567317, -1.1573615968227386, -0.149932935833931, 0.9123853258788586, 0.1649324297904968, 0.9782158769667149]| 12.1405658721923828|      2.00000000|[321, 0, 0, 5]                                                             |  | used linear model with 65 points | actual_k=0
       6|[-1.5778457643464208, -0.598876632284373, -0.7739242259413004, 4.661348789930344, 0.9249719763174653, 1.481851214542985, 1.5455174259841442, 0.6130477618426085, -0.1626622527837753, 0.8634603023529053, -0.228280957788229, -0.6598498914390802, 0.8338888175785542, 0.9976190850138664, 0.1260345205664635, 0.1283389627933502, -0.3356193322688341, -2.435916990041733, 0.1291119307279587, 1.8767984323203564, -0.1131583750247955, 0.5315101779997349]| 12.1391201019287109|      4.00000000|[385, 0, 0, 6]                                                             | | GPS sucess | actual_k=0
       7|[-1.6020142929628491, -0.6351294214837253, -0.8222612831741571, 4.600927472114563, 0.8524663979187608, 1.6464160475879908, 1.4488433115184307, 0.5042893942445517, -0.2835048884153366, 0.7305334061384201, -0.1950831599533558, 3.263591757044196, 0.6647091247141361, 0.8163551315665245, -0.0673137083649635, -0.0770935118198395, -0.5531360674649477, -2.6655180007219315, -0.1125733405351639, 1.6230289153754711, -0.3790121674537659, 0.2535721100866795]| 12.1368017196655273|      8.00000000|[449, 0, 0, 7]                                                             | | GPS sucess | actual_k=0
       8|[-5.245697488076985, -0.0193322594277561, -0.1424962375313044, 7.157549262046814, 2.9231722885742784, -0.7674421276897192, 4.601458143442869, 4.962169891223311, 2.652055576443672, 4.193966671824455, -4.425650615245104, 5.1353437807410955, -0.9991957806050777, 3.212894581258297, -2.7449100390076637, 0.6987765729427338, 5.179921431466937, 0.4624717682600021, 5.702625557780266, 5.077899377793074, 1.6812562346458435, -6.4152063094079494]| 12.1340198516845703|     16.00000000|[513, 0, 0, 8]                                                             | | GPS sucess | actual_k=0
       9|[-5.245697488076985, -0.0193322594277561, -0.1424962375313044, 7.157549262046814, 2.9231722885742784, -0.7674421276897192, 4.601458143442869, 4.962169891223311, 2.652055576443672, 4.193966671824455, -4.425650615245104, 5.1353437807410955, -0.9991957806050777, 3.212894581258297, -2.7449100390076637, 0.6987765729427338, 5.179921431466937, 0.4624717682600021, 5.702625557780266, 5.077899377793074, 1.6812562346458435, -6.4152063094079494]| 12.1340198516845703|      8.00000000|[577, 0, 0, 9]                                                             |  | used linear model with 65 points | actual_k=0
      10|[-5.918150772340596, 2.1742886607535183, 0.3230487015098333, 7.633412808179855, 2.573886447586119, -1.4418614115566015, 5.257853161543608, 5.286791300401092, 2.900100663304329, 3.9331957548856735, -3.600010771304369, 4.1870756056159735, -0.9153925739228725, 2.3138140067458153, -1.7026639357209206, -0.2263205349445343, 6.836081547662616, -0.5503003150224686, 5.049719855189323, 5.131503362208605, 1.958570808172226, -7.076320227235556]| 12.1286373138427734|     16.00000000|[641, 0, 0, 10]                                                            | | GPS sucess | actual_k=0
      11|[-11.628635277040303, -8.038666814099997, -6.995209107175469, 13.979535073041916, 10.893508487381041, 2.676048019900918, 9.135229717940092, 10.378082728013396, -3.350443407893181, 11.218610927462578, -2.419932145625353, 8.789511194452643, -0.4243754707276821, 4.992123208940029, 2.760390244424343, 0.2417352795600891, -0.1510195303708315, 18.273250862956047, 15.387161299586296, 5.38170774653554, 1.8215720802545547, -3.3664055429399014]| 12.1091375350952148|     32.00000000|[705, 0, 0, 11]                                                            | | GPS sucess | actual_k=0
