k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[2.0, 3.0]                                                                      |889.3031475218829200|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.9113680729206395, 2.0039355535397325]                                        |104.9854946008787380|      2.00000000|[3, 1, 1, 2]                                                               |  | used linear model with 4 points | iterate success | actual_k=1
       2|[2.290735335045655, 0.6553833265194688]                                         | 17.1950473785400391|      4.00000000|[6, 2, 1, 3]                                                               | | GPS sucess | actual_k=1
       3|[2.290735335045655, 0.6553833265194688]                                         | 17.1950473785400391|      2.00000000|[8, 3, 2, 5]                                                               |  | used linear model with 4 points | iterate failure | actual_k=1
       4|[0.9122708746727302, 0.4848279137501512]                                        |  1.8108911514282227|      4.00000000|[12, 3, 2, 6]                                                              | | GPS sucess | actual_k=1
       5|[0.9122708746727302, 0.4848279137501512]                                        |  1.8108911514282227|      2.00000000|[14, 4, 3, 8]                                                              |  | used linear model with 4 points | iterate failure | actual_k=1
       6|[0.9122708746727302, 0.4848279137501512]                                        |  1.8108911514282227|      1.00000000|[17, 5, 4, 10]                                                             |  | used linear model with 4 points | iterate failure | actual_k=1
       7|[1.2564641246136024, 0.7797017176041399]                                        |  0.0894208848476410|      2.00000000|[20, 6, 4, 11]                                                             | | GPS sucess | actual_k=1
       8|[1.2564641246136024, 0.7797017176041399]                                        |  0.0894208848476410|      1.00000000|[22, 7, 5, 13]                                                             |  | used linear model with 4 points | iterate failure | actual_k=1
       9|[1.2564641246136024, 0.7797017176041399]                                        |  0.0894208848476410|      0.50000000|[25, 8, 6, 15]                                                             |  | used linear model with 4 points | iterate failure | actual_k=1
      10|[1.2564641246136024, 0.7797017176041399]                                        |  0.0894208848476410|      0.25000000|[28, 9, 7, 17]                                                             |  | used linear model with 4 points | iterate failure | actual_k=1
      11|[1.095780984454949, 0.8828353513369356]                                         |  0.0450853109359741|      0.50000000|[31, 10, 7, 18]                                                            | | GPS sucess | actual_k=1
      12|[1.095780984454949, 0.8828353513369356]                                         |  0.0450853109359741|      0.25000000|[33, 11, 8, 20]                                                            |  | used linear model with 4 points | iterate failure | actual_k=1
