k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[-5.0, -7.0]                                                                    |700.8468104237188072|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[-5.5257779359817505, -6.2591787576675415]                                      |646.8358764648437500|      2.00000000|[4, 1, 0, 1]                                                               | | GPS sucess | actual_k=1
       2|[-3.6508140934553426, -5.563110808959511]                                       |557.2342460206635906|      4.00000000|[7, 2, 1, 3]                                                               |  | used linear model with 5 points | iterate success | actual_k=1
       3|[-3.140077389582662, -3.2736789985804826]                                       |330.8562927246093750|      8.00000000|[11, 3, 1, 4]                                                              | | GPS sucess | actual_k=1
       4|[-3.140077389582662, -3.2736789985804826]                                       |330.8562927246093750|      4.00000000|[14, 4, 2, 6]                                                              |  | used linear model with 5 points | iterate failure | actual_k=1
       5|[-3.140077389582662, -3.2736789985804826]                                       |330.8562927246093750|      2.00000000|[18, 5, 3, 8]                                                              |  | used linear model with 5 points | iterate failure | actual_k=1
       6|[-3.140077389582662, -3.2736789985804826]                                       |330.8562927246093750|      1.00000000|[22, 6, 4, 10]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       7|[-3.140077389582662, -3.2736789985804826]                                       |330.8562927246093750|      0.50000000|[26, 7, 5, 12]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       8|[-2.832706875905065, -3.033999587526825]                                        |316.9272155761718750|      1.00000000|[30, 8, 5, 13]                                                             | | GPS sucess | actual_k=1
       9|[-1.9347443057146352, -2.7911476596503526]                                      |292.2413024902343750|      2.00000000|[33, 9, 5, 14]                                                             | | GPS sucess | actual_k=1
      10|[-0.6655133439150136, -2.3778306349425584]                                      |249.3170623779296875|      4.00000000|[36, 10, 5, 15]                                                            | | GPS sucess | actual_k=1
      11|[-0.6655133439150136, -2.3778306349425584]                                      |249.3170623779296875|      2.00000000|[39, 11, 6, 17]                                                            |  | used linear model with 5 points | iterate failure | actual_k=1
      12|[-0.6655133439150136, -2.3778306349425584]                                      |249.3170623779296875|      1.00000000|[43, 12, 7, 19]                                                            |  | used linear model with 5 points | iterate failure | actual_k=1
      13|[-1.296456463440923, -1.8584849342017442]                                       |189.9888916015625000|      2.00000000|[47, 13, 7, 20]                                                            | | GPS sucess | actual_k=1
