k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[15.0, 6.0]                                                                     |-2641.3632314451997445|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[15.0, 6.0]                                                                     |-2641.3632314451997445|      0.50000000|[5, 0, 1, 2]                                                               |  | used linear model with 5 points | iterate failure | actual_k=0
       2|[15.115231469273567, 5.5134594440460205]                                        |-2927.8435058593750000|      1.00000000|[10, 0, 1, 3]                                                              | | GPS sucess | actual_k=0
       3|[15.115231469273567, 5.5134594440460205]                                        |-2927.8435058593750000|      0.50000000|[14, 0, 2, 5]                                                              |  | used linear model with 5 points | iterate failure | actual_k=0
       4|[15.115231469273567, 5.5134594440460205]                                        |-2927.8435058593750000|      0.25000000|[19, 0, 3, 7]                                                              |  | used linear model with 5 points | iterate failure | actual_k=0
       5|[15.143147855997086, 5.265022963285446]                                         |-3083.6508789062500000|      0.50000000|[24, 0, 3, 8]                                                              | | GPS sucess | actual_k=0
       6|[15.060308046638966, 4.771933197975159]                                         |-3423.9628906250000000|      1.00000000|[28, 0, 3, 9]                                                              | | GPS sucess | actual_k=0
       7|[15.060308046638966, 4.771933197975159]                                         |-3423.9628906250000000|      0.50000000|[32, 0, 4, 11]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
       8|[15.060308046638966, 4.771933197975159]                                         |-3423.9628906250000000|      0.25000000|[37, 0, 5, 13]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
       9|[15.03315283358097, 4.523412391543388]                                          |-3601.7106933593750000|      0.50000000|[42, 0, 5, 14]                                                             | | GPS sucess | actual_k=0
      10|[15.03315283358097, 4.523412391543388]                                          |-3601.7106933593750000|      0.25000000|[46, 0, 6, 16]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
      11|[15.014229081571102, 4.274129644036293]                                         |-3785.1008300781250000|      0.50000000|[51, 0, 6, 17]                                                             | | GPS sucess | actual_k=0
      12|[14.959405772387981, 3.777144357562065]                                         |-4169.5097656250000000|      1.00000000|[55, 0, 6, 18]                                                             | | GPS sucess | actual_k=0
      13|[14.777053229510784, 2.793911263346672]                                         |-5006.2895507812500000|      2.00000000|[59, 0, 6, 19]                                                             | | GPS sucess | actual_k=0
      14|[14.777053229510784, 2.793911263346672]                                         |-5006.2895507812500000|      1.00000000|[63, 0, 7, 21]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
