k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]| 15.0000174966258228|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.1018646135926247, 0.2747186124324799, -0.1371344774961472, 0.4579889476299286, 0.2082384824752808, -0.3116141855716705, -0.1069749742746353, -0.1159370169043541, 0.1397458463907242, 0.0341021008789539, -0.1914674788713455, -0.0652851238846779, -0.0144762769341469, 0.3372019827365875, 0.0044242618605494, 0.0833753123879433, 0.1970299333333969, 0.3441072106361389, 0.0740230232477188, 0.0973721370100975, -0.072860524058342, -0.4003027379512787]| 14.1187686920166016|      2.00000000|[49, 16, 0, 1]                                                             | | GPS sucess | actual_k=16
       2|[0.2189421951770782, 0.1408542394638062, -0.1250262744724751, 1.3535692393779755, 0.885731041431427, -0.0989799946546555, -0.0079630315303802, -0.4680648669600487, -0.4549739807844162, -0.5232902579009533, 0.0619272142648697, 0.2156598493456841, 1.002781294286251, 0.23677097260952, 0.2660862086340785, 0.2420616373419762, 0.182388961315155, 0.4906519204378128, 0.1537083834409714, 0.5371510311961174, 0.0478469505906105, -0.9885852038860321]| 12.9194269180297852|      4.00000000|[97, 32, 0, 2]                                                             | | GPS sucess | actual_k=16
       3|[-0.321296364068985, 0.9882009625434875, 0.8756728880107403, 3.1255880296230316, 0.8164954781532288, 0.2074326127767563, -1.4417522847652435, 0.6152518168091774, -1.0173258632421494, -0.045510720461607, 0.9688459187746048, 0.3664084747433662, 0.0320620760321617, 0.1044267863035202, -0.9607104184105992, 0.4843286797404289, -0.2458786964416504, 1.0964591652154922, -0.8372559100389481, 0.3677802160382271, 1.177307404577732, -1.8664360344409943]| 12.1421670913696289|      8.00000000|[145, 48, 0, 3]                                                            | | GPS sucess | actual_k=16
       4|[-2.451678901910782, -1.0235268473625183, 0.1528583876788616, 5.12155219912529, 3.640865385532379, 2.4373246282339096, -2.2360889613628387, 1.8197245970368385, -1.738427147269249, -2.1369409076869488, -3.068509981036186, 3.82574475556612, 0.4896575137972832, -0.0079699158668518, -0.1243189694359899, 1.362270824611187, -0.6822922229766846, 1.697834089398384, -0.2050660997629166, 0.4051630236208439, 1.3838564828038216, -1.7009968310594559]| 12.1343412399291992|     16.00000000|[193, 64, 0, 4]                                                            | | GPS sucess | actual_k=16
       5|[-2.451678901910782, -1.0235268473625183, 0.1528583876788616, 5.12155219912529, 3.640865385532379, 2.4373246282339096, -2.2360889613628387, 1.8197245970368385, -1.738427147269249, -2.1369409076869488, -3.068509981036186, 3.82574475556612, 0.4896575137972832, -0.0079699158668518, -0.1243189694359899, 1.362270824611187, -0.6822922229766846, 1.697834089398384, -0.2050660997629166, 0.4051630236208439, 1.3838564828038216, -1.7009968310594559]| 12.1343412399291992|      8.00000000|[241, 80, 0, 5]                                                            |  | used linear model with 65 points | actual_k=16
       6|[-2.451678901910782, -1.0235268473625183, 0.1528583876788616, 5.12155219912529, 3.640865385532379, 2.4373246282339096, -2.2360889613628387, 1.8197245970368385, -1.738427147269249, -2.1369409076869488, -3.068509981036186, 3.82574475556612, 0.4896575137972832, -0.0079699158668518, -0.1243189694359899, 1.362270824611187, -0.6822922229766846, 1.697834089398384, -0.2050660997629166, 0.4051630236208439, 1.3838564828038216, -1.7009968310594559]| 12.1343412399291992|      4.00000000|[289, 96, 0, 6]                                                            |  | used linear model with 65 points | actual_k=16
       7|[-2.205282360315323, -2.514613449573517, 0.0983412899076939, 5.049042202532291, 2.3454869389533997, 2.211376816034317, -2.145590491592884, 2.3308093324303627, -2.1999592036008835, -0.2014195434749126, -4.346211954951286, 4.114564932882786, 0.6281791999936104, 0.2911909222602844, -0.0869237864390016, 0.6383060738444328, -0.6689911773428321, 2.996766045689583, 0.4236493557691574, 1.382616076618433, 2.7610842660069466, -1.019083097577095]| 12.1339025497436523|      8.00000000|[337, 112, 0, 7]                                                           | | GPS sucess | actual_k=16
       8|[-3.3438850939273834, -3.8242778182029724, 0.7410967387259007, 5.870621897280216, -0.8451568484306335, 1.8446427583694458, -3.4767127707600594, 0.4361953511834145, -3.8681039065122604, 4.120357800275087, -1.6475146263837814, 5.375902570784092, -0.2762482687830925, -0.1378196477890015, -0.419095971621573, 0.0879113003611565, -0.9462671568617225, 0.8453905135393143, 0.3863014355301857, -1.150312151759863, 3.7395036295056343, -0.3908733278512955]| 12.1305723190307617|     16.00000000|[385, 128, 0, 8]                                                           | | GPS sucess | actual_k=16
       9|[-8.073429256677628, -1.107186734676361, 3.7851023711264133, 8.807373501360416, -3.421522080898285, 1.0771005749702454, -5.619664020836353, 1.5412418618798256, -7.610745593905449, 3.7697320766747, -2.004399999976158, 4.614390470087528, 0.8536477759480476, 1.224501132965088, -2.9920770907774568, -9.021452255547047, 0.4442983577027917, -5.92192916572094, -1.7542227134108543, -5.322638239711523, 3.96989456564188, -4.63042439520359]| 12.1229591369628906|     32.00000000|[433, 144, 0, 9]                                                           | | GPS sucess | actual_k=16
      10|[-8.073429256677628, -1.107186734676361, 3.7851023711264133, 8.807373501360416, -3.421522080898285, 1.0771005749702454, -5.619664020836353, 1.5412418618798256, -7.610745593905449, 3.7697320766747, -2.004399999976158, 4.614390470087528, 0.8536477759480476, 1.224501132965088, -2.9920770907774568, -9.021452255547047, 0.4442983577027917, -5.92192916572094, -1.7542227134108543, -5.322638239711523, 3.96989456564188, -4.63042439520359]| 12.1229591369628906|     16.00000000|[481, 160, 0, 10]                                                          |  | used linear model with 65 points | actual_k=16
      11|[-13.304134041070938, 0.0490967631340027, 5.506784800440073, 12.63924477249384, -2.2652040123939514, 1.0531435012817383, -5.6703044176101685, 8.234189726412296, -10.71807186305523, 2.736308414489031, 3.9165122658014297, -0.6290649399161339, -1.765264205634594, 0.7419283390045166, -1.5132961058989167, -12.61366731673479, 6.145963282324374, -6.960859462618828, -2.042233280837536, -6.021495845168829, 1.1107486858963966, 0.4418746083974838]| 12.1083469390869141|     32.00000000|[529, 176, 0, 11]                                                          | | GPS sucess | actual_k=16
