k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, 0.1]                                                                      |  3.0203003000300002|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.0380256175994873, -0.1731397151947021]                                       |  0.0027888903860003|      2.00000000|[5, 0, 0, 1]                                                               | | GPS sucess | actual_k=0
       2|[0.0380256175994873, -0.1731397151947021]                                       |  0.0027888903860003|      1.00000000|[9, 0, 1, 3]                                                               |  | used linear model with 5 points | iterate failure | actual_k=0
       3|[0.0380256175994873, -0.1731397151947021]                                       |  0.0027888903860003|      0.50000000|[14, 0, 2, 5]                                                              |  | used linear model with 5 points | iterate failure | actual_k=0
       4|[0.0380256175994873, -0.1731397151947021]                                       |  0.0027888903860003|      0.25000000|[19, 0, 3, 7]                                                              |  | used linear model with 5 points | iterate failure | actual_k=0
       5|[-0.1171224415302277, 0.0228936433792114]                                       |  0.0005797266494483|      0.50000000|[24, 0, 3, 8]                                                              | | GPS sucess | actual_k=0
       6|[-0.1171224415302277, 0.0228936433792114]                                       |  0.0005797266494483|      0.25000000|[28, 0, 4, 10]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
       7|[-0.1171224415302277, 0.0228936433792114]                                       |  0.0005797266494483|      0.12500000|[33, 0, 4, 11]                                                             |  | used linear model with 5 points | actual_k=0
       8|[-0.0680180713534355, -0.0920574903488159]                                      |  0.0003580825577956|      0.25000000|[37, 0, 4, 12]                                                             | | GPS sucess | actual_k=0
       9|[-0.0680180713534355, -0.0920574903488159]                                      |  0.0003580825577956|      0.12500000|[41, 0, 5, 14]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
      10|[0.0339631661772728, -0.0197745352983475]                                       |  0.0000053524913710|      0.25000000|[46, 0, 5, 15]                                                             | | GPS sucess | actual_k=0
      11|[0.0339631661772728, -0.0197745352983475]                                       |  0.0000053524913710|      0.12500000|[50, 0, 6, 17]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
      12|[0.0339631661772728, -0.0197745352983475]                                       |  0.0000053524913710|      0.06250000|[55, 0, 6, 18]                                                             |  | used linear model with 5 points | actual_k=0
      13|[-0.0245369337499142, 0.0022251963615418]                                       |  0.0000010934686543|      0.12500000|[59, 0, 6, 19]                                                             | | GPS sucess | actual_k=0
      14|[-0.0245369337499142, 0.0022251963615418]                                       |  0.0000010934686543|      0.06250000|[63, 0, 6, 20]                                                             |  | used linear model with 5 points | actual_k=0
