k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[4.712389, -1.0]                                                                |  5.5516525218302499|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[4.712389, -1.0]                                                                |  5.5516525218302499|      0.50000000|[5, 0, 1, 2]                                                               |  | used linear model with 5 points | iterate failure | actual_k=0
       2|[4.712389, -1.0]                                                                |  5.5516525218302499|      0.25000000|[10, 0, 2, 4]                                                              |  | used linear model with 5 points | iterate failure | actual_k=0
       3|[4.712389, -1.0]                                                                |  5.5516525218302499|      0.12500000|[15, 0, 3, 6]                                                              |  | used linear model with 5 points | iterate failure | actual_k=0
       4|[4.712389, -1.0]                                                                |  5.5516525218302499|      0.06250000|[20, 0, 4, 8]                                                              |  | used linear model with 5 points | iterate failure | actual_k=0
       5|[4.712389, -1.0]                                                                |  5.5516525218302499|      0.03125000|[25, 0, 5, 10]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
       6|[4.712389, -1.0]                                                                |  5.5516525218302499|      0.01562500|[30, 0, 6, 12]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
       7|[4.712389, -1.0]                                                                |  5.5516525218302499|      0.00781250|[35, 0, 7, 14]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
       8|[4.706512514741659, -1.0021145641803741]                                        |  5.5423598289489746|      0.01562500|[40, 0, 7, 15]                                                             | | GPS sucess | actual_k=0
       9|[4.700179389917791, -0.9989515580236912]                                        |  5.5238699913024902|      0.03125000|[44, 0, 7, 16]                                                             | | GPS sucess | actual_k=0
      10|[4.675345788949668, -1.0013118754141033]                                        |  5.4687061309814453|      0.06250000|[48, 0, 7, 17]                                                             | | GPS sucess | actual_k=0
      11|[4.675345788949668, -1.0013118754141033]                                        |  5.4687061309814453|      0.03125000|[52, 0, 8, 19]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
      12|[4.648080789723933, -1.0002762380754575]                                        |  5.4066548347473145|      0.06250000|[57, 0, 8, 20]                                                             | | GPS sucess | actual_k=0
