k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, -1.0]                                                                     |485165194.4106902480125427|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[-1.8814492225646973, -1.6783425211906433]                                      |  0.2227018028497696|      2.00000000|[5, 0, 0, 1]                                                               | | GPS sucess | actual_k=0
       2|[-1.8814492225646973, -1.6783425211906433]                                      |  0.2227018028497696|      1.00000000|[9, 0, 1, 3]                                                               |  | used linear model with 5 points | iterate failure | actual_k=0
       3|[-1.8814492225646973, -1.6783425211906433]                                      |  0.2227018028497696|      0.50000000|[14, 0, 2, 5]                                                              |  | used linear model with 5 points | iterate failure | actual_k=0
       4|[-1.8814492225646973, -1.6783425211906433]                                      |  0.2227018028497696|      0.25000000|[19, 0, 3, 7]                                                              |  | used linear model with 5 points | iterate failure | actual_k=0
       5|[-1.8814492225646973, -1.6783425211906433]                                      |  0.2227018028497696|      0.12500000|[24, 0, 4, 9]                                                              |  | used linear model with 5 points | iterate failure | actual_k=0
       6|[-1.8814492225646973, -1.6783425211906433]                                      |  0.2227018028497696|      0.06250000|[29, 0, 5, 11]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
       7|[-1.822126742452383, -1.658667840063572]                                        |  0.2038218677043915|      0.12500000|[34, 0, 5, 12]                                                             | | GPS sucess | actual_k=0
       8|[-1.7337020821869373, -1.570315808057785]                                       |  0.2037200331687927|      0.25000000|[38, 0, 5, 13]                                                             | | GPS sucess | actual_k=0
       9|[-1.7337020821869373, -1.570315808057785]                                       |  0.2037200331687927|      0.12500000|[42, 0, 6, 15]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
      10|[-1.7337020821869373, -1.570315808057785]                                       |  0.2037200331687927|      0.06250000|[47, 0, 7, 17]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
      11|[-1.7337020821869373, -1.570315808057785]                                       |  0.2037200331687927|      0.03125000|[52, 0, 8, 19]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
      12|[-1.7337020821869373, -1.570315808057785]                                       |  0.2037200331687927|      0.01562500|[57, 0, 9, 21]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
