k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[2.0, 3.0]                                                                      |889.3031475218829200|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.9868437685072422, 2.1011051535606384]                                        |139.6468658447265625|      2.00000000|[5, 0, 0, 1]                                                               | | GPS sucess | actual_k=0
       2|[1.7541007734835148, 1.8959062844514847]                                        | 69.9913024902343750|      4.00000000|[9, 0, 0, 2]                                                               | | GPS sucess | actual_k=0
       3|[2.7886085249483585, 0.5922637730836868]                                        | 55.0882072448730469|      8.00000000|[13, 0, 0, 3]                                                              | | GPS sucess | actual_k=0
       4|[2.7886085249483585, 0.5922637730836868]                                        | 55.0882072448730469|      4.00000000|[17, 0, 1, 5]                                                              |  | used linear model with 5 points | iterate failure | actual_k=0
       5|[-0.1958527825772762, 1.8335340768098831]                                       | 21.9102630615234375|      8.00000000|[22, 0, 1, 6]                                                              | | GPS sucess | actual_k=0
       6|[-0.8565128110349178, -0.3968416899442673]                                      |  4.8635663986206055|     16.00000000|[26, 0, 1, 7]                                                              | | GPS sucess | actual_k=0
       7|[-0.8565128110349178, -0.3968416899442673]                                      |  4.8635663986206055|      8.00000000|[30, 0, 2, 9]                                                              |  | used linear model with 5 points | iterate failure | actual_k=0
       8|[-0.8565128110349178, -0.3968416899442673]                                      |  4.8635663986206055|      4.00000000|[35, 0, 3, 11]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
       9|[1.4847428537905216, 0.4754998832941055]                                        |  0.2576000690460205|      8.00000000|[40, 0, 3, 12]                                                             | | GPS sucess | actual_k=0
      10|[1.4847428537905216, 0.4754998832941055]                                        |  0.2576000690460205|      4.00000000|[44, 0, 4, 14]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
      11|[1.4847428537905216, 0.4754998832941055]                                        |  0.2576000690460205|      2.00000000|[49, 0, 5, 16]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
      12|[1.4847428537905216, 0.4754998832941055]                                        |  0.2576000690460205|      1.00000000|[54, 0, 6, 18]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
      13|[1.4847428537905216, 0.4754998832941055]                                        |  0.2576000690460205|      0.50000000|[59, 0, 7, 20]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
