k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, 2.0]                                                                      | 43.3723807176344280|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.2550123929977417, 2.338482618331909]                                         | 20.0670814514160156|      2.00000000|[5, 0, 0, 1]                                                               | | GPS sucess | actual_k=0
       2|[0.2550123929977417, 2.338482618331909]                                         | 20.0670814514160156|      1.00000000|[9, 0, 1, 3]                                                               |  | used linear model with 5 points | iterate failure | actual_k=0
       3|[-0.1145660281181335, 3.011982023715973]                                        |  9.8294887542724609|      2.00000000|[14, 0, 1, 4]                                                              | | GPS sucess | actual_k=0
       4|[-0.1145660281181335, 3.011982023715973]                                        |  9.8294887542724609|      1.00000000|[18, 0, 2, 6]                                                              |  | used linear model with 5 points | iterate failure | actual_k=0
       5|[-0.1145660281181335, 3.011982023715973]                                        |  9.8294887542724609|      0.50000000|[23, 0, 3, 8]                                                              |  | used linear model with 5 points | iterate failure | actual_k=0
       6|[-0.1145660281181335, 3.011982023715973]                                        |  9.8294887542724609|      0.25000000|[28, 0, 4, 10]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
       7|[-0.1145660281181335, 3.011982023715973]                                        |  9.8294887542724609|      0.12500000|[33, 0, 5, 12]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
       8|[-0.083493335172534, 3.0688250064849854]                                        |  9.7306766510009766|      0.25000000|[38, 0, 5, 13]                                                             | | GPS sucess | actual_k=0
       9|[-0.083493335172534, 3.0688250064849854]                                        |  9.7306766510009766|      0.12500000|[42, 0, 6, 15]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
      10|[0.0403739009052515, 3.0587727101519704]                                        |  9.5695362091064453|      0.25000000|[47, 0, 6, 16]                                                             | | GPS sucess | actual_k=0
      11|[-0.0116113442927599, 3.001579378731549]                                        |  9.4998826980590820|      0.50000000|[51, 0, 6, 17]                                                             | | GPS sucess | actual_k=0
      12|[-0.0116113442927599, 3.001579378731549]                                        |  9.4998826980590820|      0.25000000|[55, 0, 7, 19]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
      13|[-0.0116113442927599, 3.001579378731549]                                        |  9.4998826980590820|      0.12500000|[60, 0, 8, 21]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
