k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[50.0, 150.0, -100.0, 1.0, 2.0]                                                 |87848.8533334838575684|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[49.229074120521545, 150.483962059021, -99.89619857817888, 0.6536049246788025, 2.2017170786857605]|85415.9140625000000000|      2.00000000|[16, 1, 0, 1]                                                              | | GPS sucess | actual_k=1
       2|[47.586955547332764, 151.2242021560669, -100.36949486285448, 0.3319215178489685, 2.855935275554657]|80662.5000000000000000|      4.00000000|[31, 2, 0, 2]                                                              | | GPS sucess | actual_k=1
       3|[45.35108494758606, 150.87910255789757, -101.8783784583211, 1.8855827450752258, 0.3677241206169128]|72532.4218750000000000|      8.00000000|[46, 3, 0, 3]                                                              | | GPS sucess | actual_k=1
       4|[40.66932797431946, 154.05829963088036, -97.45516926795244, 1.6332407891750336, 3.881328046321869]|60615.2578125000000000|     16.00000000|[61, 4, 0, 4]                                                              | | GPS sucess | actual_k=1
       5|[47.55875515937805, 147.96039018034935, -103.17030913382769, -2.6716279089450836, -7.080267488956451]|-100000002004087734272.0000000000000000|     32.00000000|[76, 5, 0, 5]                                                              | | GPS sucess | actual_k=1
       6|[47.55875515937805, 147.96039018034935, -103.17030913382769, -2.6716279089450836, -7.080267488956451]|-100000002004087734272.0000000000000000|     16.00000000|[106, 7, 0, 7]                                                             |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       7|[47.55875515937805, 147.96039018034935, -103.17030913382769, -2.6716279089450836, -7.080267488956451]|-100000002004087734272.0000000000000000|      8.00000000|[136, 9, 0, 9]                                                             |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       8|[47.55875515937805, 147.96039018034935, -103.17030913382769, -2.6716279089450836, -7.080267488956451]|-100000002004087734272.0000000000000000|      4.00000000|[166, 11, 0, 11]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       9|[47.55875515937805, 147.96039018034935, -103.17030913382769, -2.6716279089450836, -7.080267488956451]|-100000002004087734272.0000000000000000|      2.00000000|[196, 13, 0, 13]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      10|[47.55875515937805, 147.96039018034935, -103.17030913382769, -2.6716279089450836, -7.080267488956451]|-100000002004087734272.0000000000000000|      1.00000000|[226, 15, 0, 15]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      11|[47.55875515937805, 147.96039018034935, -103.17030913382769, -2.6716279089450836, -7.080267488956451]|-100000002004087734272.0000000000000000|      0.50000000|[256, 17, 0, 17]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      12|[47.55875515937805, 147.96039018034935, -103.17030913382769, -2.6716279089450836, -7.080267488956451]|-100000002004087734272.0000000000000000|      0.25000000|[285, 19, 0, 19]                                                           |  | trying linear partial model with 16 points | exploitation failed, decreasing delta | actual_k=1
      13|[47.55875515937805, 147.96039018034935, -103.17030913382769, -2.6716279089450836, -7.080267488956451]|-100000002004087734272.0000000000000000|      0.12500000|[314, 21, 0, 21]                                                           |  | trying linear partial model with 16 points | exploitation failed, decreasing delta | actual_k=1
      14|[47.55875515937805, 147.96039018034935, -103.17030913382769, -2.6716279089450836, -7.080267488956451]|-100000002004087734272.0000000000000000|      0.06250000|[343, 23, 0, 23]                                                           |  | trying linear partial model with 16 points | exploitation failed, decreasing delta | actual_k=1
      15|[47.55875515937805, 147.96039018034935, -103.17030913382769, -2.6716279089450836, -7.080267488956451]|-100000002004087734272.0000000000000000|      0.03125000|[372, 25, 0, 25]                                                           |  | trying linear partial model with 16 points | exploitation failed, decreasing delta | actual_k=1
      16|[47.55875515937805, 147.96039018034935, -103.17030913382769, -2.6716279089450836, -7.080267488956451]|-100000002004087734272.0000000000000000|      0.01562500|[401, 27, 0, 27]                                                           |  | trying linear partial model with 16 points | exploitation failed, decreasing delta | actual_k=1
      17|[47.55875515937805, 147.96039018034935, -103.17030913382769, -2.6716279089450836, -7.080267488956451]|-100000002004087734272.0000000000000000|      0.00781250|[430, 29, 0, 29]                                                           |  | trying linear partial model with 16 points | exploitation failed, decreasing delta | actual_k=1
      18|[47.55875515937805, 147.96039018034935, -103.17030913382769, -2.6716279089450836, -7.080267488956451]|-100000002004087734272.0000000000000000|      0.00390625|[459, 31, 0, 31]                                                           |  | trying linear partial model with 16 points | exploitation failed, decreasing delta | actual_k=1
      19|[47.55875515937805, 147.96039018034935, -103.17030913382769, -2.6716279089450836, -7.080267488956451]|-100000002004087734272.0000000000000000|      0.00195312|[488, 33, 0, 33]                                                           |  | trying linear partial model with 16 points | exploitation failed, decreasing delta | actual_k=1
      20|[47.55875515937805, 147.96039018034935, -103.17030913382769, -2.6716279089450836, -7.080267488956451]|-100000002004087734272.0000000000000000|      0.00097656|[517, 35, 0, 35]                                                           |  | trying linear partial model with 16 points | exploitation failed, decreasing delta | actual_k=1
      21|[47.55875515937805, 147.96039018034935, -103.17030913382769, -2.6716279089450836, -7.080267488956451]|-100000002004087734272.0000000000000000|      0.00048828|[546, 37, 0, 37]                                                           |  | trying linear partial model with 16 points | exploitation failed, decreasing delta | actual_k=1
      22|[47.55875515937805, 147.96039018034935, -103.17030913382769, -2.6716279089450836, -7.080267488956451]|-100000002004087734272.0000000000000000|      0.00024414|[575, 39, 0, 39]                                                           |  | trying linear partial model with 16 points | exploitation failed, decreasing delta | actual_k=1
      23|[47.55875515937805, 147.96039018034935, -103.17030913382769, -2.6716279089450836, -7.080267488956451]|-100000002004087734272.0000000000000000|      0.00012207|[605, 41, 1, 42]                                                           |  | trying linear partial model with 16 points FAILED TO GET X_HAT, using additional batch call | exploitation failed, decreasing delta | actual_k=1
      24|[47.55875515937805, 147.96039018034935, -103.17030913382769, -2.6716279089450836, -7.080267488956451]|-100000002004087734272.0000000000000000|      0.00006104|[634, 43, 1, 44]                                                           |  | trying linear partial model with 16 points | exploitation failed, decreasing delta | actual_k=1
