k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0]                                                                      |  1.0000000000000000|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.2845816016197205, 0.1105145066976547]                                        |  0.3651376664638519|      2.00000000|[4, 1, 0, 1]                                                               | | GPS sucess | actual_k=1
       2|[0.2845816016197205, 0.1105145066976547]                                        |  0.3651376664638519|      1.00000000|[7, 2, 1, 3]                                                               |  | used linear model with 5 points | iterate failure | actual_k=1
       3|[0.2884014269802719, 0.1588582843542099]                                        |  0.3137612938880920|      2.00000000|[11, 3, 1, 4]                                                              | | GPS sucess | actual_k=1
       4|[0.5363112410996109, 0.340800866484642]                                         |  0.0516128577291965|      4.00000000|[14, 4, 1, 5]                                                              | | GPS sucess | actual_k=1
       5|[0.5363112410996109, 0.340800866484642]                                         |  0.0516128577291965|      2.00000000|[17, 5, 2, 7]                                                              |  | used linear model with 5 points | iterate failure | actual_k=1
       6|[0.5363112410996109, 0.340800866484642]                                         |  0.0516128577291965|      1.00000000|[21, 6, 3, 9]                                                              |  | used linear model with 5 points | iterate failure | actual_k=1
       7|[0.5363112410996109, 0.340800866484642]                                         |  0.0516128577291965|      0.50000000|[25, 7, 4, 11]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       8|[0.4296926951501518, 0.585763618350029]                                         |  0.0171426665037870|      1.00000000|[29, 8, 4, 12]                                                             | | GPS sucess | actual_k=1
       9|[0.4296926951501518, 0.585763618350029]                                         |  0.0171426665037870|      0.50000000|[32, 9, 5, 14]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
      10|[0.4296926951501518, 0.585763618350029]                                         |  0.0171426665037870|      0.25000000|[36, 10, 6, 16]                                                            |  | used linear model with 5 points | iterate failure | actual_k=1
      11|[0.5877725726459175, 0.7329724282026291]                                        |  0.0002545953320805|      0.50000000|[40, 11, 6, 17]                                                            | | GPS sucess | actual_k=1
      12|[0.5877725726459175, 0.7329724282026291]                                        |  0.0002545953320805|      0.25000000|[43, 12, 7, 19]                                                            |  | used linear model with 5 points | iterate failure | actual_k=1
      13|[0.6634804403875023, 0.6859355308115482]                                        |  0.0001601797412150|      0.50000000|[47, 13, 7, 20]                                                            | | GPS sucess | actual_k=1
