k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[20.0, 2.0, 2.0, 2.0, 0.2]                                                      |10940.0863686848952057|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[19.4907945394516, 2.3880618810653687, 2.349314361810684, 2.6839067935943604, 0.2191989112645388]|9517.1826171875000000|      2.00000000|[4, 1, 0, 1]                                                               | | GPS sucess | actual_k=1
       2|[20.27482283115387, 3.226613223552704, 3.5153676569461823, 1.5607463121414185, 0.4661043275147677]|2826.8791503906250000|      4.00000000|[7, 2, 0, 2]                                                               | | GPS sucess | actual_k=1
       3|[20.603180050849915, -0.5679197907447815, 2.399558573961258, 1.501342136412859, -0.0290166150778532]|-100000002004087734272.0000000000000000|      8.00000000|[12, 4, 0, 4]                                                              |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta| GPS sucess | actual_k=1
       4|[20.603180050849915, -0.5679197907447815, 2.399558573961258, 1.501342136412859, -0.0290166150778532]|-100000002004087734272.0000000000000000|      4.00000000|[21, 8, 0, 8]                                                              |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 6 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 8 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       5|[20.603180050849915, -0.5679197907447815, 2.399558573961258, 1.501342136412859, -0.0290166150778532]|-100000002004087734272.0000000000000000|      2.00000000|[29, 13, 0, 13]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 6 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       6|[20.603180050849915, -0.5679197907447815, 2.399558573961258, 1.501342136412859, -0.0290166150778532]|-100000002004087734272.0000000000000000|      1.00000000|[35, 17, 0, 17]                                                            |  | trying linear partial model with 4 points | trying linear partial model with 5 points | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       7|[20.603180050849915, -0.5679197907447815, 2.399558573961258, 1.501342136412859, -0.0290166150778532]|-100000002004087734272.0000000000000000|      0.50000000|[43, 21, 0, 21]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 6 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       8|[20.603180050849915, -0.5679197907447815, 2.399558573961258, 1.501342136412859, -0.0290166150778532]|-100000002004087734272.0000000000000000|      0.25000000|[49, 25, 0, 25]                                                            |  | trying linear partial model with 4 points | trying linear partial model with 6 points | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
       9|[20.603180050849915, -0.5679197907447815, 2.399558573961258, 1.501342136412859, -0.0290166150778532]|-100000002004087734272.0000000000000000|      0.12500000|[53, 30, 0, 30]                                                            |  | trying linear partial model with 4 points | trying linear partial model with 5 points | trying linear partial model with 7 points | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      10|[20.603180050849915, -0.5679197907447815, 2.399558573961258, 1.501342136412859, -0.0290166150778532]|-100000002004087734272.0000000000000000|      0.06250000|[58, 34, 0, 34]                                                            |  | trying linear partial model with 4 points | trying linear partial model with 5 points | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=1
      11|[20.603180050849915, -0.5679197907447815, 2.399558573961258, 1.501342136412859, -0.0290166150778532]|-100000002004087734272.0000000000000000|      0.03125000|[63, 39, 0, 39]                                                            |  | trying linear partial model with 4 points | trying linear partial model with 5 points | trying linear partial model with 7 points | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      12|[20.603180050849915, -0.5679197907447815, 2.399558573961258, 1.501342136412859, -0.0290166150778532]|-100000002004087734272.0000000000000000|      0.01562500|[68, 43, 0, 43]                                                            |  | trying linear partial model with 4 points | trying linear partial model with 6 points | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=1
      13|[20.603180050849915, -0.5679197907447815, 2.399558573961258, 1.501342136412859, -0.0290166150778532]|-100000002004087734272.0000000000000000|      0.00781250|[73, 47, 0, 47]                                                            |  | trying linear partial model with 4 points | trying linear partial model with 6 points | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      14|[20.603180050849915, -0.5679197907447815, 2.399558573961258, 1.501342136412859, -0.0290166150778532]|-100000002004087734272.0000000000000000|      0.00390625|[77, 52, 0, 52]                                                            |  | trying linear partial model with 4 points | trying linear partial model with 6 points | trying linear partial model with 7 points | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
