k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[50.0, 150.0, -100.0, 1.0, 2.0]                                                 |87848.8533334838575684|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[49.082490970905404, 149.90303616177454, -99.75428881355276, 1.0634966109342057, 1.709535907794021]|84824.2265625000000000|      2.00000000|[5, 2, 0, 2]                                                               |  | trying linear partial model with 4 points | iterate success | actual_k=1
       2|[48.19089924317179, 150.44561700474634, -100.07532574840536, 0.5129875753468949, 3.151792954493545]|82038.2734375000000000|      4.00000000|[8, 3, 0, 3]                                                               | | GPS sucess | actual_k=1
       3|[46.82556508999644, 147.6225486243905, -99.65800394721975, 1.090174696261354, 3.027145970452808]|77133.4765625000000000|      8.00000000|[11, 4, 0, 4]                                                              | | GPS sucess | actual_k=1
       4|[41.807947864349465, 147.93715317499056, -95.8531779260253, 1.574774614388414, 6.244439948190235]|62934.3750000000000000|     16.00000000|[14, 5, 0, 5]                                                              | | GPS sucess | actual_k=1
       5|[41.25747620087443, 138.4520486141385, -87.18520726867666, 2.5107749019212204, 10.841670859445117]|61240.5195312500000000|     32.00000000|[17, 6, 0, 6]                                                              | | GPS sucess | actual_k=1
       6|[39.44425760727702, 152.18704827081575, -84.50287403770437, 18.262994102055497, 31.261508811105273]|59521.4960937500000000|     64.00000000|[20, 7, 0, 7]                                                              | | GPS sucess | actual_k=1
       7|[-0.5588219733452959, 169.0036813146887, -85.27229916275738, 62.09365560886553, 14.195883302894426]|6823.8798828125000000|    128.00000000|[25, 9, 0, 9]                                                              |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta| GPS sucess | actual_k=1
       8|[-9.274630488730459, 175.89847448130004, -120.93687731246271, -45.37431825132806, -44.448544982332265]|-100000002004087734272.0000000000000000|    256.00000000|[30, 11, 0, 11]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
       9|[-9.274630488730459, 175.89847448130004, -120.93687731246271, -45.37431825132806, -44.448544982332265]|-100000002004087734272.0000000000000000|    128.00000000|[39, 15, 0, 15]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 6 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 8 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      10|[-9.274630488730459, 175.89847448130004, -120.93687731246271, -45.37431825132806, -44.448544982332265]|-100000002004087734272.0000000000000000|     64.00000000|[48, 20, 0, 20]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 6 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 8 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      11|[-9.274630488730459, 175.89847448130004, -120.93687731246271, -45.37431825132806, -44.448544982332265]|-100000002004087734272.0000000000000000|     32.00000000|[57, 24, 0, 24]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 6 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 8 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      12|[-9.274630488730459, 175.89847448130004, -120.93687731246271, -45.37431825132806, -44.448544982332265]|-100000002004087734272.0000000000000000|     16.00000000|[63, 28, 0, 28]                                                            |  | trying linear partial model with 4 points | trying linear partial model with 6 points | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      13|[-9.274630488730459, 175.89847448130004, -120.93687731246271, -45.37431825132806, -44.448544982332265]|-100000002004087734272.0000000000000000|      8.00000000|[68, 32, 0, 32]                                                            |  | trying linear partial model with 4 points | trying linear partial model with 6 points | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      14|[-9.274630488730459, 175.89847448130004, -120.93687731246271, -45.37431825132806, -44.448544982332265]|-100000002004087734272.0000000000000000|      4.00000000|[74, 36, 0, 36]                                                            |  | trying linear partial model with 4 points | trying linear partial model with 6 points | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      15|[-9.274630488730459, 175.89847448130004, -120.93687731246271, -45.37431825132806, -44.448544982332265]|-100000002004087734272.0000000000000000|      2.00000000|[79, 40, 0, 40]                                                            |  | trying linear partial model with 4 points | trying linear partial model with 5 points | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=1
      16|[-9.274630488730459, 175.89847448130004, -120.93687731246271, -45.37431825132806, -44.448544982332265]|-100000002004087734272.0000000000000000|      1.00000000|[84, 44, 0, 44]                                                            |  | trying linear partial model with 4 points | trying linear partial model with 6 points | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      17|[-9.274630488730459, 175.89847448130004, -120.93687731246271, -45.37431825132806, -44.448544982332265]|-100000002004087734272.0000000000000000|      0.50000000|[90, 48, 0, 48]                                                            |  | trying linear partial model with 4 points | trying linear partial model with 6 points | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      18|[-9.274630488730459, 175.89847448130004, -120.93687731246271, -45.37431825132806, -44.448544982332265]|-100000002004087734272.0000000000000000|      0.25000000|[95, 52, 0, 52]                                                            |  | trying linear partial model with 4 points | trying linear partial model with 6 points | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
