k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]| 15.0000174966258228|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.0798811316490173, 0.1697626858949661, 0.0076471362262964, 0.4022648930549622, -0.0754127874970436, -0.001277256757021, -0.0005771989235654, -0.0532212071120739, -0.1716371178627014, -0.4345829486846924, 0.3289691507816315, 0.2110833674669266, -0.0160505678504705, -0.1461291909217834, 0.0939741805195808, 0.5108557939529419, 0.0165547765791416, 0.0418044738471508, 0.0028238429222256, 0.1963275820016861, -0.0864802896976471, 0.278159111738205]| 14.2019891738891602|      2.00000000|[61, 4, 0, 1]                                                              | | GPS sucess | actual_k=4
       2|[0.8516045808792114, 0.1625780547037721, 0.0164680061861873, 1.065488040447235, 0.0003156885504723, 0.3408232443034649, 0.2029690569033846, 0.1166222728788853, -0.1515585854649544, -1.1158132553100586, 0.5789252370595932, -0.2767036706209183, 0.0508537907153368, 0.1012613028287888, 0.1610149070620537, 0.3274817764759064, 0.1393075473606586, -0.0328374989330769, 0.2325234098825604, 1.3547386080026627, -0.1357265152037144, 0.9129315316677094]| 12.7162466049194336|      4.00000000|[121, 8, 0, 2]                                                             | | GPS sucess | actual_k=4
       3|[1.090553805232048, 1.0617613876238465, 2.072197156958282, 1.8575763702392578, 1.4961214289069176, 0.610335748642683, 1.367851955234073, -0.5643808208405972, -0.1257523763924837, -2.0390968322753906, 0.341823011636734, 0.2234561890363693, -0.5077156405895948, -0.0949407070875168, -0.2367046847939491, 0.102336123585701, -0.5950772278010845, -1.2104214318096638, -0.6003499345388263, 1.687449797987938, 0.3663306199014187, 0.3610643446445465]| 12.1441297531127930|      8.00000000|[181, 12, 0, 3]                                                            | | GPS sucess | actual_k=4
       4|[0.6177691668272018, 0.3445476973429322, 1.5410528955981135, 2.374157428741455, -1.7236656919121742, 1.9558210782706738, 1.069441152154468, -3.693092282861471, 1.3198637496680021, 1.7085981369018555, 3.151235967874527, -0.749605193734169, 0.2762984652072191, -1.4213752001523972, -0.3865999057888985, -1.399743840098381, -0.6352558024227619, 0.8713945262134075, -1.280426056822762, 0.0925737470388412, -0.4380866922438145, -0.1179499328136444]| 12.1425123214721680|     16.00000000|[241, 16, 0, 4]                                                            | | GPS sucess | actual_k=4
       5|[0.6177691668272018, 0.3445476973429322, 1.5410528955981135, 2.374157428741455, -1.7236656919121742, 1.9558210782706738, 1.069441152154468, -3.693092282861471, 1.3198637496680021, 1.7085981369018555, 3.151235967874527, -0.749605193734169, 0.2762984652072191, -1.4213752001523972, -0.3865999057888985, -1.399743840098381, -0.6352558024227619, 0.8713945262134075, -1.280426056822762, 0.0925737470388412, -0.4380866922438145, -0.1179499328136444]| 12.1425123214721680|      8.00000000|[301, 20, 0, 5]                                                            |  | used linear model with 65 points | actual_k=4
       6|[0.6177691668272018, 0.3445476973429322, 1.5410528955981135, 2.374157428741455, -1.7236656919121742, 1.9558210782706738, 1.069441152154468, -3.693092282861471, 1.3198637496680021, 1.7085981369018555, 3.151235967874527, -0.749605193734169, 0.2762984652072191, -1.4213752001523972, -0.3865999057888985, -1.399743840098381, -0.6352558024227619, 0.8713945262134075, -1.280426056822762, 0.0925737470388412, -0.4380866922438145, -0.1179499328136444]| 12.1425123214721680|      4.00000000|[361, 24, 0, 6]                                                            |  | used linear model with 65 points | actual_k=4
       7|[-0.481817439198494, 0.317784876562655, 1.961657333187759, 3.199030876159668, -2.244619943201542, 1.3494983725249767, 1.0503137403866276, -4.562951561063528, 2.1040578614920378, 1.1120696663856506, 3.8289200961589813, -1.1512481421232224, -0.5116786938160658, -1.5545181930065155, -0.0869266763329506, -0.6411650031805038, -0.8990760929882526, -0.9047303088009357, -1.7620359377469867, 0.3471945077180862, 1.4185294471681118, -0.1075982758775353]| 12.1398591995239258|      8.00000000|[421, 28, 0, 7]                                                            | | GPS sucess | actual_k=4
       8|[-2.01850862801075, -0.8346540024504066, 3.4216390131041408, 4.183134436607361, -3.698084093630314, 1.8436558358371258, 4.518329172744416, -4.426453124731779, 1.3762821089476347, 3.2506662011146545, 3.5930947214365005, -0.097676083445549, -1.4808602910488844, -3.4991396367549896, -1.1257149949669838, 1.946067824959755, -2.377261746674776, -0.2439342625439167, -0.7344375567045063, -2.8109583109617233, -0.5038371719419956, 0.761364727281034]| 12.1351547241210938|     16.00000000|[481, 32, 0, 8]                                                            | | GPS sucess | actual_k=4
       9|[-8.828612044453621, -1.7611307194456458, -0.5040585519745946, 10.116443037986755, -2.583816386759281, -2.1524197943508625, 7.576207667007111, -0.2864313237369061, -5.354353534057736, 1.6022725701332092, 8.255452528595924, 3.6749650985002518, -1.8910920601338148, -1.3698972165584564, -0.0422866120934486, 3.8054784685373306, -4.212803114205599, -2.4145601876080036, -2.60389825864695, -0.5867175310850143, 0.2041928730905056, 1.4041953971609473]| 12.1267042160034180|     32.00000000|[541, 36, 0, 9]                                                            | | GPS sucess | actual_k=4
      10|[-6.540215447545052, -5.322022586129606, -6.267665100283921, 9.76462134718895, 5.813632152974606, 1.9732368104159832, 16.599821596755646, -3.3924996964633465, -6.948956714943051, 5.16420966386795, 19.883464232087135, 8.538529589772224, -9.806657074019313, -4.448064893484116, -6.549813963472843, -0.7176591008901596, -10.28356384113431, -11.128183234483004, 6.276500491658226, -13.928357049822807, -6.04589057341218, -2.3027748176828027]| 12.1228380203247070|     64.00000000|[601, 40, 0, 10]                                                           | | GPS sucess | actual_k=4
      11|[-6.540215447545052, -5.322022586129606, -6.267665100283921, 9.76462134718895, 5.813632152974606, 1.9732368104159832, 16.599821596755646, -3.3924996964633465, -6.948956714943051, 5.16420966386795, 19.883464232087135, 8.538529589772224, -9.806657074019313, -4.448064893484116, -6.549813963472843, -0.7176591008901596, -10.28356384113431, -11.128183234483004, 6.276500491658226, -13.928357049822807, -6.04589057341218, -2.3027748176828027]| 12.1228380203247070|     32.00000000|[661, 44, 0, 11]                                                           |  | used linear model with 65 points | actual_k=4
      12|[-6.540215447545052, -5.322022586129606, -6.267665100283921, 9.76462134718895, 5.813632152974606, 1.9732368104159832, 16.599821596755646, -3.3924996964633465, -6.948956714943051, 5.16420966386795, 19.883464232087135, 8.538529589772224, -9.806657074019313, -4.448064893484116, -6.549813963472843, -0.7176591008901596, -10.28356384113431, -11.128183234483004, 6.276500491658226, -13.928357049822807, -6.04589057341218, -2.3027748176828027]| 12.1228380203247070|     16.00000000|[721, 48, 0, 12]                                                           |  | used linear model with 65 points | actual_k=4
      13|[-6.540215447545052, -5.322022586129606, -6.267665100283921, 9.76462134718895, 5.813632152974606, 1.9732368104159832, 16.599821596755646, -3.3924996964633465, -6.948956714943051, 5.16420966386795, 19.883464232087135, 8.538529589772224, -9.806657074019313, -4.448064893484116, -6.549813963472843, -0.7176591008901596, -10.28356384113431, -11.128183234483004, 6.276500491658226, -13.928357049822807, -6.04589057341218, -2.3027748176828027]| 12.1228380203247070|      8.00000000|[781, 52, 0, 13]                                                           |  | used linear model with 65 points | actual_k=4
      14|[-8.591971352696419, -6.9704959681257606, -7.420029115863144, 11.688123196363449, 6.508159004151821, 2.2600225917994976, 13.274060993804596, -2.431278418749571, -10.660418497398496, 5.18694419413805, 20.171267792582512, 8.358528062701225, -11.151008127257228, -2.2526579797267914, -9.144134499132633, -0.6130082979798317, -9.456122744828463, -13.468482363969088, 4.455622343579307, -13.466362103819847, -6.686049047857523, -1.0946612665429711]| 12.1170663833618164|     16.00000000|[841, 56, 0, 14]                                                           | | GPS sucess | actual_k=4
      15|[-8.591971352696419, -6.9704959681257606, -7.420029115863144, 11.688123196363449, 6.508159004151821, 2.2600225917994976, 13.274060993804596, -2.431278418749571, -10.660418497398496, 5.18694419413805, 20.171267792582512, 8.358528062701225, -11.151008127257228, -2.2526579797267914, -9.144134499132633, -0.6130082979798317, -9.456122744828463, -13.468482363969088, 4.455622343579307, -13.466362103819847, -6.686049047857523, -1.0946612665429711]| 12.1170663833618164|      8.00000000|[901, 60, 0, 15]                                                           |  | used linear model with 65 points | actual_k=4
      16|[-11.17688699066639, -7.307852684520185, -8.0945975901559, 13.858596533536911, 4.226277433335781, 1.9213219098746777, 12.119147210731171, -1.9543511681258678, -10.446716966107488, 7.102768130600452, 22.538803383708, 11.55323140323162, -12.847686408087611, -3.242145210504532, -11.177389599382877, -1.2099779024720192, -10.173638511449099, -15.273264277726412, 2.342352776089683, -14.613653644919395, -8.154253784567118, -3.122337848879397]| 12.1108980178833008|     16.00000000|[961, 64, 0, 16]                                                           | | GPS sucess | actual_k=4
      17|[-12.358266785740852, -5.0477408757433295, -11.557573807425797, 15.189663857221603, 5.930483423173428, -5.438458878546953, 8.72689309658017, -0.8864141516387463, -10.589731024578214, 11.341465659439564, 22.21753989160061, 8.973485633730888, -12.831193670630455, -0.6658987104892731, -7.676223494112492, -0.6794656291604042, -10.02376826480031, -14.895339358597994, 3.0566209240350872, -10.616058811545372, -12.884506527334452, 2.2497429540380836]| 12.1096000671386719|     32.00000000|[1021, 68, 0, 17]                                                          | | GPS sucess | actual_k=4
      18|[-12.838753953576088, -17.020191132090986, -4.121998799033463, 15.061470210552216, 12.359473310410976, -4.881715673953295, 10.775629192008637, 6.038595099002123, -13.063130663707852, 14.898657269775867, 20.896691545844078, -3.4313319474458694, -6.68981908261776, 6.439866155385971, -10.1848618760705, -6.506100513041019, 0.3527824096381664, -21.930177081376314, 11.144917814293876, -13.786667570471764, -26.092641178518534, 1.3083163788542151]| 12.0989904403686523|     64.00000000|[1081, 72, 0, 18]                                                          | | GPS sucess | actual_k=4
      19|[-12.838753953576088, -17.020191132090986, -4.121998799033463, 15.061470210552216, 12.359473310410976, -4.881715673953295, 10.775629192008637, 6.038595099002123, -13.063130663707852, 14.898657269775867, 20.896691545844078, -3.4313319474458694, -6.68981908261776, 6.439866155385971, -10.1848618760705, -6.506100513041019, 0.3527824096381664, -21.930177081376314, 11.144917814293876, -13.786667570471764, -26.092641178518534, 1.3083163788542151]| 12.0989904403686523|     32.00000000|[1141, 76, 0, 19]                                                          |  | used linear model with 65 points | actual_k=4
      20|[-18.322506204247475, -17.03188946004957, 1.6795496819540858, 18.439991891384125, 8.203193746507168, -12.295236486941576, 21.12995830120053, 20.81083669140935, -8.908427046611905, 17.90014547854662, 8.52266238629818, -6.973945453763008, -12.002653822302818, 3.4569011628627777, -5.511982180178165, -8.954227782785892, 6.678820293396711, -21.950365766882896, 11.055668315151706, -9.415942415595055, -30.56505948677659, 12.874347834847867]| 12.0864858627319336|     64.00000000|[1201, 80, 0, 20]                                                          | | GPS sucess | actual_k=4
      21|[-18.322506204247475, -17.03188946004957, 1.6795496819540858, 18.439991891384125, 8.203193746507168, -12.295236486941576, 21.12995830120053, 20.81083669140935, -8.908427046611905, 17.90014547854662, 8.52266238629818, -6.973945453763008, -12.002653822302818, 3.4569011628627777, -5.511982180178165, -8.954227782785892, 6.678820293396711, -21.950365766882896, 11.055668315151706, -9.415942415595055, -30.56505948677659, 12.874347834847867]| 12.0864858627319336|     32.00000000|[1261, 84, 0, 21]                                                          |  | used linear model with 65 points | actual_k=4
      22|[-18.322506204247475, -17.03188946004957, 1.6795496819540858, 18.439991891384125, 8.203193746507168, -12.295236486941576, 21.12995830120053, 20.81083669140935, -8.908427046611905, 17.90014547854662, 8.52266238629818, -6.973945453763008, -12.002653822302818, 3.4569011628627777, -5.511982180178165, -8.954227782785892, 6.678820293396711, -21.950365766882896, 11.055668315151706, -9.415942415595055, -30.56505948677659, 12.874347834847867]| 12.0864858627319336|     16.00000000|[1321, 88, 0, 22]                                                          |  | used linear model with 65 points | actual_k=4
      23|[-21.164536014199257, -20.214409372769296, 0.9477390525862575, 21.012341916561127, 7.336564801633358, -6.027812380343676, 20.993537306203507, 14.854048628360033, -8.336234139278531, 19.32138032466173, 8.32471863925457, -11.86804087460041, -13.596636638045311, 0.4013520181179047, -5.981310047209263, -12.455904103815556, 6.936461251229048, -22.31899221241474, 7.824449023464695, -3.7179224342107773, -28.667894307523966, 13.583469121716917]| 12.0778656005859375|     32.00000000|[1381, 92, 0, 23]                                                          | | GPS sucess | actual_k=4
      24|[-21.164536014199257, -20.214409372769296, 0.9477390525862575, 21.012341916561127, 7.336564801633358, -6.027812380343676, 20.993537306203507, 14.854048628360033, -8.336234139278531, 19.32138032466173, 8.32471863925457, -11.86804087460041, -13.596636638045311, 0.4013520181179047, -5.981310047209263, -12.455904103815556, 6.936461251229048, -22.31899221241474, 7.824449023464695, -3.7179224342107773, -28.667894307523966, 13.583469121716917]| 12.0778656005859375|     16.00000000|[1441, 96, 0, 24]                                                          |  | used linear model with 65 points | actual_k=4
      25|[-25.77542831003666, -22.69312860723585, -1.6802206756547093, 25.12282031774521, 11.246464751660824, -6.884080309420824, 21.184715508832596, 14.63910200074315, -13.11055283434689, 17.146033950150013, 12.515564128756523, -9.728407934308052, -10.521441087126732, -3.10396209359169, -9.793221391737461, -9.455975390970707, 7.126366909593344, -23.232791915535927, 5.3332025615964085, -2.4051261991262436, -27.799707178026438, 6.52530166413635]| 12.0644874572753906|     32.00000000|[1501, 100, 0, 25]                                                         | | GPS sucess | actual_k=4
      26|[-25.77542831003666, -22.69312860723585, -1.6802206756547093, 25.12282031774521, 11.246464751660824, -6.884080309420824, 21.184715508832596, 14.63910200074315, -13.11055283434689, 17.146033950150013, 12.515564128756523, -9.728407934308052, -10.521441087126732, -3.10396209359169, -9.793221391737461, -9.455975390970707, 7.126366909593344, -23.232791915535927, 5.3332025615964085, -2.4051261991262436, -27.799707178026438, 6.52530166413635]| 12.0644874572753906|     16.00000000|[1561, 104, 0, 26]                                                         |  | used linear model with 65 points | actual_k=4
      27|[-28.567423596978188, -21.43513514753431, 0.7062577484175563, 26.761842906475067, 14.403328202664852, -6.1531608290970325, 20.64243191422429, 11.960025805979967, -13.467478381469846, 15.827546067535877, 9.4511808604002, -12.733064249157906, -3.8523937314748764, -8.435557037591934, -16.920916475355625, -5.040281154215336, 5.880998071283102, -21.655556455254555, 9.05743738100864, 3.4443520456552505, -25.662049297243357, 6.792636780999601]| 12.0604228973388672|     32.00000000|[1621, 108, 0, 27]                                                         | | GPS sucess | actual_k=4
      28|[-28.567423596978188, -21.43513514753431, 0.7062577484175563, 26.761842906475067, 14.403328202664852, -6.1531608290970325, 20.64243191422429, 11.960025805979967, -13.467478381469846, 15.827546067535877, 9.4511808604002, -12.733064249157906, -3.8523937314748764, -8.435557037591934, -16.920916475355625, -5.040281154215336, 5.880998071283102, -21.655556455254555, 9.05743738100864, 3.4443520456552505, -25.662049297243357, 6.792636780999601]| 12.0604228973388672|     16.00000000|[1681, 112, 0, 28]                                                         |  | used linear model with 65 points | actual_k=4
      29|[-28.567423596978188, -21.43513514753431, 0.7062577484175563, 26.761842906475067, 14.403328202664852, -6.1531608290970325, 20.64243191422429, 11.960025805979967, -13.467478381469846, 15.827546067535877, 9.4511808604002, -12.733064249157906, -3.8523937314748764, -8.435557037591934, -16.920916475355625, -5.040281154215336, 5.880998071283102, -21.655556455254555, 9.05743738100864, 3.4443520456552505, -25.662049297243357, 6.792636780999601]| 12.0604228973388672|      8.00000000|[1741, 116, 0, 29]                                                         |  | used linear model with 65 points | actual_k=4
      30|[-28.567423596978188, -21.43513514753431, 0.7062577484175563, 26.761842906475067, 14.403328202664852, -6.1531608290970325, 20.64243191422429, 11.960025805979967, -13.467478381469846, 15.827546067535877, 9.4511808604002, -12.733064249157906, -3.8523937314748764, -8.435557037591934, -16.920916475355625, -5.040281154215336, 5.880998071283102, -21.655556455254555, 9.05743738100864, 3.4443520456552505, -25.662049297243357, 6.792636780999601]| 12.0604228973388672|      4.00000000|[1801, 120, 0, 30]                                                         |  | used linear model with 65 points | actual_k=4
      31|[-29.04467587172985, -22.056159934960306, 1.9536422966048121, 27.0059744566679, 15.143548630177975, -7.644740480929613, 20.21545442880597, 13.006637949496508, -13.425088481977582, 14.514483399689198, 10.02464072406292, -12.392761662602425, -5.261762723326683, -7.380080133676529, -16.103790022432804, -4.173963166773319, 5.353870626538992, -21.98385937511921, 8.566898366669193, 3.410650361329317, -26.162099424749613, 6.161427347920835]| 12.0567865371704102|      8.00000000|[1861, 124, 0, 31]                                                         | | GPS sucess | actual_k=4
      32|[-28.9795498624444, -24.717645606957376, 4.856213974766433, 26.672202572226524, 13.39302971214056, -9.877908606082201, 19.74478113593068, 13.456045527011156, -10.666596250608563, 14.035889722406864, 11.33802179992199, -12.765514865517616, -6.3144980520009995, -4.9117094576358795, -14.991835810244083, -2.88655898720026, 2.061625000089407, -23.03925009071827, 10.35636760876514, 2.745966363698244, -25.65058720484376, 7.5197271993383765]| 12.0539331436157227|     16.00000000|[1921, 128, 0, 32]                                                         | | GPS sucess | actual_k=4
      33|[-28.9795498624444, -24.717645606957376, 4.856213974766433, 26.672202572226524, 13.39302971214056, -9.877908606082201, 19.74478113593068, 13.456045527011156, -10.666596250608563, 14.035889722406864, 11.33802179992199, -12.765514865517616, -6.3144980520009995, -4.9117094576358795, -14.991835810244083, -2.88655898720026, 2.061625000089407, -23.03925009071827, 10.35636760876514, 2.745966363698244, -25.65058720484376, 7.5197271993383765]| 12.0539331436157227|      8.00000000|[1981, 132, 0, 33]                                                         |  | used linear model with 65 points | actual_k=4
      34|[-30.48462138324976, -22.17725273128599, 3.985619771294296, 27.82933221757412, 14.159885190427303, -11.268581289798021, 19.237248658551835, 12.525525826960802, -12.247455792501569, 17.430606223642826, 9.379458472132683, -12.949766352772713, -6.609498247504234, -5.791479080915451, -15.72151843458414, -0.3081221356987953, 4.86057161912322, -21.327769234776497, 10.195745652774349, -0.1145354025065899, -24.212299469858408, 7.797827183268964]| 12.0522899627685547|     16.00000000|[2041, 136, 0, 34]                                                         | | GPS sucess | actual_k=4
      35|[-33.94832644611597, -15.968690357170999, 6.355383145622909, 29.690106377005577, 10.357536815106869, -18.965062994509935, 19.477399199618958, 13.432132977992296, -17.32646151073277, 14.067015029489994, 7.941761180758476, -13.51628740131855, -3.2420277446508408, -5.278276234865189, -15.995032139122486, 3.0834832414984703, 6.485129471868277, -22.937842324376106, 8.585373943904415, -0.2893321923911572, -23.00800383463502, 4.338198362849653]| 12.0484094619750977|     32.00000000|[2101, 140, 0, 35]                                                         | | GPS sucess | actual_k=4
      36|[-33.94832644611597, -15.968690357170999, 6.355383145622909, 29.690106377005577, 10.357536815106869, -18.965062994509935, 19.477399199618958, 13.432132977992296, -17.32646151073277, 14.067015029489994, 7.941761180758476, -13.51628740131855, -3.2420277446508408, -5.278276234865189, -15.995032139122486, 3.0834832414984703, 6.485129471868277, -22.937842324376106, 8.585373943904415, -0.2893321923911572, -23.00800383463502, 4.338198362849653]| 12.0484094619750977|     16.00000000|[2161, 144, 0, 36]                                                         |  | used linear model with 65 points | actual_k=4
