k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[-1.2, 1.0]                                                                     |749.0383999999999105|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[-0.3793725490570068, 1.5714634656906128]                                       |266.3111267089843750|      2.00000000|[3, 0, 0, 1]                                                               | | GPS sucess | actual_k=0
       2|[-0.3967871189117431, -0.4284605979919434]                                      | 15.3459138870239258|      4.00000000|[5, 0, 0, 2]                                                               | | GPS sucess | actual_k=0
       3|[-0.3967871189117431, -0.4284605979919434]                                      | 15.3459138870239258|      2.00000000|[7, 0, 1, 4]                                                               |  | used linear model with 3 points | iterate failure | actual_k=0
       4|[-0.3967871189117431, -0.4284605979919434]                                      | 15.3459138870239258|      1.00000000|[10, 0, 2, 6]                                                              |  | used linear model with 3 points | iterate failure | actual_k=0
       5|[-0.3967871189117431, -0.4284605979919434]                                      | 15.3459138870239258|      0.50000000|[13, 0, 3, 8]                                                              |  | used linear model with 3 points | iterate failure | actual_k=0
       6|[-0.3967871189117431, -0.4284605979919434]                                      | 15.3459138870239258|      0.25000000|[16, 0, 4, 10]                                                             |  | used linear model with 3 points | iterate failure | actual_k=0
       7|[-0.3125493049621582, -0.1930800527334213]                                      |  4.3649716377258301|      0.50000000|[19, 0, 4, 11]                                                             | | GPS sucess | actual_k=0
       8|[0.1756456971168519, -0.0850722342729568]                                       |  1.4984248876571655|      1.00000000|[21, 0, 4, 12]                                                             | | GPS sucess | actual_k=0
       9|[0.1756456971168519, -0.0850722342729568]                                       |  1.4984248876571655|      0.50000000|[23, 0, 5, 14]                                                             |  | used linear model with 3 points | iterate failure | actual_k=0
      10|[0.1756456971168519, -0.0850722342729568]                                       |  1.4984248876571655|      0.25000000|[26, 0, 6, 16]                                                             |  | used linear model with 3 points | iterate failure | actual_k=0
      11|[0.1756456971168519, -0.0850722342729568]                                       |  1.4984248876571655|      0.12500000|[29, 0, 7, 18]                                                             |  | used linear model with 3 points | iterate failure | actual_k=0
      12|[0.2568567574024201, 0.0099528282880783]                                        |  0.5571526288986206|      0.25000000|[32, 0, 7, 19]                                                             | | GPS sucess | actual_k=0
      13|[0.2568567574024201, 0.0099528282880783]                                        |  0.5571526288986206|      0.12500000|[34, 0, 8, 21]                                                             |  | used linear model with 3 points | iterate failure | actual_k=0
