k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, 1.0]                                                                      |  6.0000000000000000|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[2.8697116374969482, 0.2899448871612549]                                        |  2.4839451313018799|      2.00000000|[4, 1, 0, 1]                                                               | | GPS sucess | actual_k=1
       2|[2.8697116374969482, 0.2899448871612549]                                        |  2.4839451313018799|      1.00000000|[8, 2, 1, 4]                                                               |  | used linear model with 5 points | iterate failure | actual_k=1
       3|[1.9514962434768677, -1.486816167831421]                                        |  0.2445433437824249|      2.00000000|[12, 3, 1, 5]                                                              | | GPS sucess | actual_k=1
       4|[1.9514962434768677, -1.486816167831421]                                        |  0.2445433437824249|      1.00000000|[15, 5, 2, 8]                                                              |  | used linear model with 5 points | iterate failure | actual_k=1
       5|[1.9514962434768677, -1.486816167831421]                                        |  0.2445433437824249|      0.50000000|[20, 6, 3, 11]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       6|[1.9514962434768677, -1.486816167831421]                                        |  0.2445433437824249|      0.25000000|[24, 8, 4, 14]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       7|[1.8689350336790085, -1.2508423328399658]                                       |  0.1069767549633980|      0.50000000|[28, 9, 4, 15]                                                             | | GPS sucess | actual_k=1
       8|[2.1149026602506638, -0.8155264258384705]                                       |  0.0560139641165733|      1.00000000|[31, 10, 4, 16]                                                            | | GPS sucess | actual_k=1
       9|[2.1149026602506638, -0.8155264258384705]                                       |  0.0560139641165733|      0.50000000|[35, 11, 5, 19]                                                            |  | used linear model with 5 points | iterate failure | actual_k=1
      10|[2.1149026602506638, -0.8155264258384705]                                       |  0.0560139641165733|      0.25000000|[39, 13, 6, 22]                                                            |  | used linear model with 5 points | iterate failure | actual_k=1
