k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]|  1.5280136783814451|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.9873215891420841, 0.895631417632103, 1.1759794652462006, 0.9234282746911049, 1.1537421494722366, 0.9848891776055098, 1.0697965919971466, 0.7915541976690292, 0.5560373663902283, 0.6722720265388489, 0.9518701061606407, 0.5377396643161774, 0.9696119334548712, 0.6714260876178741, 1.042513720691204, 1.1688176095485687, 0.7921731173992157, 0.7007929682731628, 1.1195704862475395, 1.0744711682200432, 0.7962540537118912, 0.8382741808891296]|  1.3669810295104980|      2.00000000|[61, 4, 0, 1]                                                              | | GPS sucess | actual_k=4
       2|[0.9619647674262524, 0.6868942528963089, 1.5279383957386017, 0.7702848240733147, 1.46122644841671, 0.9546675328165293, 1.2093897759914398, 0.3746625930070877, -0.3318879008293152, 0.0168160796165466, 0.5430401787161827, -0.3867810070514679, 0.9088358003646135, 0.8395279794931412, 1.1275411620736122, 1.5064528286457062, 0.9142062142491341, 0.1023789048194885, 1.3587114587426186, 1.2234135046601295, 0.0415126234292984, 0.5148225426673889]|  1.1351406574249268|      4.00000000|[121, 8, 0, 2]                                                             | | GPS sucess | actual_k=4
       3|[0.9118890650570393, 0.0091631561517715, 2.280149906873703, 0.0183429047465324, 2.1872941106557846, 0.1224888805299997, 1.3956091701984406, 0.5217326730489731, -0.7371847927570343, -0.4938077330589294, 1.5835145935416222, -2.0510511696338654, -0.0575624983757734, -1.3608821481466293, 1.551956869661808, 0.4600533545017242, 0.2346404865384102, -0.0392666012048721, 1.6831176653504372, 0.5145782008767128, 0.7703392058610916, 0.0882260799407959]|  0.9012928605079651|      8.00000000|[181, 12, 0, 3]                                                            | | GPS sucess | actual_k=4
       4|[1.1627261228859425, 1.5510000139474869, 1.5327040255069733, -1.1319261267781258, 1.7894243746995926, 0.5649702195078135, 0.3782157003879547, 0.010916993021965, -0.290848046541214, -1.12675142288208, 0.7061739191412926, -3.4790745079517365, 0.05014986731112, -1.2612902596592903, -0.2209202274680138, 1.7098049223423004, 0.0698883756995201, 1.2170439809560776, 1.185055859386921, 0.5425357334315777, 0.9219892770051956, 0.2119393721222878]|  0.7241793870925903|     16.00000000|[241, 16, 0, 4]                                                            | | GPS sucess | actual_k=4
       5|[-11.893881123512983, 0.4550599008798599, -5.803988307714462, 0.4177978560328484, -1.6453731507062912, -0.979662811383605, -1.5934854447841644, 1.2205155342817307, -0.735278308391571, -1.8647268414497375, 0.9284452870488167, -3.011345237493515, 0.0200262162834406, -1.5393504276871681, -0.4455102160573006, 1.7572919391095638, -0.0528189167380333, -1.5010718256235123, 1.1813223729841411, 0.5237712431699038, 0.7987686917185783, 0.2402447927743196]|  0.6388604044914246|     32.00000000|[301, 20, 0, 5]                                                            | | GPS sucess | actual_k=4
       6|[-11.893881123512983, 0.4550599008798599, -5.803988307714462, 0.4177978560328484, -1.6453731507062912, -0.979662811383605, -1.5934854447841644, 1.2205155342817307, -0.735278308391571, -1.8647268414497375, 0.9284452870488167, -3.011345237493515, 0.0200262162834406, -1.5393504276871681, -0.4455102160573006, 1.7572919391095638, -0.0528189167380333, -1.5010718256235123, 1.1813223729841411, 0.5237712431699038, 0.7987686917185783, 0.2402447927743196]|  0.6388604044914246|     16.00000000|[364, 25, 0, 7]                                                            |  | used linear model with 65 points | actual_k=4
       7|[-11.893881123512983, 0.4550599008798599, -5.803988307714462, 0.4177978560328484, -1.6453731507062912, -0.979662811383605, -1.5934854447841644, 1.2205155342817307, -0.735278308391571, -1.8647268414497375, 0.9284452870488167, -3.011345237493515, 0.0200262162834406, -1.5393504276871681, -0.4455102160573006, 1.7572919391095638, -0.0528189167380333, -1.5010718256235123, 1.1813223729841411, 0.5237712431699038, 0.7987686917185783, 0.2402447927743196]|  0.6388604044914246|      8.00000000|[427, 30, 0, 9]                                                            |  | used linear model with 65 points | actual_k=4
       8|[-6.041277211159468, 1.1079265028238297, -1.8579119145870209, -0.8705231621861458, -4.363459870219231, 0.1620415095239878, -0.274663895368576, 0.332223042845726, -0.7380209553521127, -1.2733413577079773, 0.7180371806025505, -3.4218757450580597, 0.0492661595344543, -1.2750707045197487, -0.2259412035346031, 1.704584527760744, 0.0725427940487862, -1.3658941835165024, 1.1846269792877138, 0.5460135918110609, 0.9304084703326225, -0.125271363183856]|  0.5542970299720764|     16.00000000|[487, 34, 0, 10]                                                           | | GPS sucess | actual_k=4
       9|[-4.385544341057539, -0.91849385201931, -2.897605746984482, -2.6178931668400764, -4.591166198253632, -2.250348960980773, -2.253668040037155, -0.4719327837228775, 1.1812421691138297, -0.6382505893707275, 0.7253888510167599, -3.60174098610878, 0.4184081852436066, -4.608102358877659, 2.3222996965050697, 3.8301424272358418, -0.0433124601840973, -3.29612098634243, -1.4671791368164122, -1.3172057885676622, -0.0861728265881538, -1.0900485944002867]|  0.5362738370895386|     32.00000000|[547, 38, 0, 11]                                                           | | GPS sucess | actual_k=4
      10|[-4.385544341057539, -0.91849385201931, -2.897605746984482, -2.6178931668400764, -4.591166198253632, -2.250348960980773, -2.253668040037155, -0.4719327837228775, 1.1812421691138297, -0.6382505893707275, 0.7253888510167599, -3.60174098610878, 0.4184081852436066, -4.608102358877659, 2.3222996965050697, 3.8301424272358418, -0.0433124601840973, -3.29612098634243, -1.4671791368164122, -1.3172057885676622, -0.0861728265881538, -1.0900485944002867]|  0.5362738370895386|     16.00000000|[611, 42, 0, 13]                                                           |  | used linear model with 65 points | actual_k=4
