k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[-500.0, -700.0]                                                                |  6.5525197919342713|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[-500.0277764312923, -699.5968939065933]                                        |  6.5519928932189941|      2.00000000|[5, 0, 0, 1]                                                               | | GPS sucess | actual_k=0
       2|[-500.8681303374469, -698.4853082895279]                                        |  6.5503449440002441|      4.00000000|[9, 0, 0, 2]                                                               | | GPS sucess | actual_k=0
       3|[-499.87120474502444, -695.8459793329239]                                       |  6.5465664863586426|      8.00000000|[13, 0, 0, 3]                                                              | | GPS sucess | actual_k=0
       4|[-498.24729753658175, -692.8946226835251]                                       |  6.5424284934997559|     16.00000000|[17, 0, 0, 4]                                                              | | GPS sucess | actual_k=0
       5|[-503.22632528468966, -680.7560852766037]                                       |  6.5248656272888184|     32.00000000|[21, 0, 0, 5]                                                              | | GPS sucess | actual_k=0
       6|[-519.7458088509738, -662.4943360090256]                                        |  6.4975433349609375|     64.00000000|[25, 0, 0, 6]                                                              | | GPS sucess | actual_k=0
       7|[-505.5968515984714, -625.2320870161057]                                        |  6.4401197433471680|    128.00000000|[29, 0, 0, 7]                                                              | | GPS sucess | actual_k=0
       8|[-463.5115702264011, -607.9603184461594]                                        |  6.4117879867553711|    256.00000000|[33, 0, 0, 8]                                                              | | GPS sucess | actual_k=0
       9|[-264.31346536800265, -586.4925621747971]                                       |  6.3758778572082520|    512.00000000|[37, 0, 0, 9]                                                              | | GPS sucess | actual_k=0
      10|[19.766307581216097, -263.72803580760956]                                       |  5.7178883552551270|   1024.00000000|[41, 0, 0, 10]                                                             | | GPS sucess | actual_k=0
      11|[19.766307581216097, -263.72803580760956]                                       |  5.7178883552551270|    512.00000000|[45, 0, 0, 11]                                                             |  | used linear model with 5 points | actual_k=0
      12|[23.547796953469515, 223.75594246387482]                                        |  5.4150724411010742|   1024.00000000|[49, 0, 0, 12]                                                             | | GPS sucess | actual_k=0
      13|[23.547796953469515, 223.75594246387482]                                        |  5.4150724411010742|    512.00000000|[53, 0, 0, 13]                                                             |  | used linear model with 5 points | actual_k=0
      14|[23.547796953469515, 223.75594246387482]                                        |  5.4150724411010742|    256.00000000|[57, 0, 0, 14]                                                             |  | used linear model with 5 points | actual_k=0
      15|[68.93138002231717, 118.2273246049881]                                          |  4.7811422348022461|    512.00000000|[61, 0, 0, 15]                                                             | | GPS sucess | actual_k=0
      16|[68.93138002231717, 118.2273246049881]                                          |  4.7811422348022461|    256.00000000|[65, 0, 0, 16]                                                             |  | used linear model with 5 points | actual_k=0
      17|[68.93138002231717, 118.2273246049881]                                          |  4.7811422348022461|    128.00000000|[69, 0, 0, 17]                                                             |  | used linear model with 5 points | actual_k=0
      18|[80.51574872806668, 73.64966881275177]                                          |  4.4844408035278320|    256.00000000|[73, 0, 0, 18]                                                             | | GPS sucess | actual_k=0
      19|[-4.765501271933317, -11.097180247306824]                                       |  2.5022537708282471|    512.00000000|[77, 0, 0, 19]                                                             | | GPS sucess | actual_k=0
      20|[-4.765501271933317, -11.097180247306824]                                       |  2.5022537708282471|    256.00000000|[81, 0, 0, 20]                                                             |  | used linear model with 5 points | actual_k=0
