k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]| 15.0000174966258228|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.1018646135926247, 0.2747186124324799, -0.1371344774961472, 0.4579889476299286, 0.2082384824752808, -0.3116141855716705, -0.1069749742746353, -0.1159370169043541, 0.1397458463907242, 0.0341021008789539, -0.1914674788713455, -0.0652851238846779, -0.0144762769341469, 0.3372019827365875, 0.0044242618605494, 0.0833753123879433, 0.1970299333333969, 0.3441072106361389, 0.0740230232477188, 0.0973721370100975, -0.072860524058342, -0.4003027379512787]| 14.1187686920166016|      2.00000000|[29, 4, 0, 2]                                                              | | GPS sucess | actual_k=2
       2|[0.4199729338288307, 0.4848651140928268, 0.0137902349233627, 1.5193719565868378, -0.4800477623939514, -0.0606125593185425, -0.543024554848671, -0.3426791056990623, -0.5373474806547165, 0.0342656855500536, -0.3939835578203201, -0.007014162838459, 0.5667050704360008, 0.3250682363286614, -0.3890505852177739, 0.3064623400568962, 0.6398978382349014, 0.0634193122386932, -0.1381497532129288, -0.5346542969346046, -0.4656404405832291, -0.3108566105365753]| 12.6099729537963867|      4.00000000|[57, 8, 0, 4]                                                              | | GPS sucess | actual_k=2
       3|[0.0205185487866402, 1.5752656906843185, 1.1272891610860825, 3.106788009405136, -0.5141150802373886, 0.4285697340965271, 0.5317360013723373, -1.928902231156826, -0.319617360830307, 0.7742895965493517, 0.4533228725194931, -0.2333609685301781, 0.1647019609808922, -0.1809442630037665, -0.7433639587834477, 1.6608433052897453, 0.7789883613586426, 1.092795580625534, -1.4808349758386612, -0.5981187671422958, -1.0541060715913773, -0.2321686297655106]| 12.1615638732910156|      8.00000000|[85, 12, 0, 6]                                                             | | GPS sucess | actual_k=2
       4|[0.6175987794995308, -1.1055037528276443, -0.8230918794870377, 2.9201695322990417, -2.971886619925499, 0.3613725081086159, -0.7697281986474991, -1.2670687064528465, -0.5667480528354645, -1.606845867165248, -1.6619949489831924, -0.571109227836132, 1.6734004244208336, -1.111182271502912, -0.4713442446663976, 0.9449616000056267, -0.7366278171539307, 2.2075901925563812, -1.1734787672758102, -2.386678084731102, 1.0005828589200974, -4.6297397166490555]| 12.1419763565063477|     16.00000000|[113, 16, 0, 8]                                                            | | GPS sucess | actual_k=2
       5|[0.3284639790654182, -6.811081603169441, -3.96255125105381, 4.054834544658661, -6.293031916022301, -2.2954110726714134, 1.30544613301754, 0.72662702947855, -0.0377688109874725, -3.8839776630484266, 0.2192874997854233, -1.6149741932749748, 4.088086627423763, 1.5709897885099053, -1.9532208563759923, 3.0156558081507683, -5.16675591468811, -1.2916204035282135, 0.4303421527147293, 3.143440380692482, -8.253630474209785, -6.992258742451668]| 12.1375713348388672|     32.00000000|[141, 20, 0, 10]                                                           | | GPS sucess | actual_k=2
       6|[0.3284639790654182, -6.811081603169441, -3.96255125105381, 4.054834544658661, -6.293031916022301, -2.2954110726714134, 1.30544613301754, 0.72662702947855, -0.0377688109874725, -3.8839776630484266, 0.2192874997854233, -1.6149741932749748, 4.088086627423763, 1.5709897885099053, -1.9532208563759923, 3.0156558081507683, -5.16675591468811, -1.2916204035282135, 0.4303421527147293, 3.143440380692482, -8.253630474209785, -6.992258742451668]| 12.1375713348388672|     16.00000000|[169, 24, 0, 12]                                                           |  | used linear model with 33 points | actual_k=2
       7|[0.3284639790654182, -6.811081603169441, -3.96255125105381, 4.054834544658661, -6.293031916022301, -2.2954110726714134, 1.30544613301754, 0.72662702947855, -0.0377688109874725, -3.8839776630484266, 0.2192874997854233, -1.6149741932749748, 4.088086627423763, 1.5709897885099053, -1.9532208563759923, 3.0156558081507683, -5.16675591468811, -1.2916204035282135, 0.4303421527147293, 3.143440380692482, -8.253630474209785, -6.992258742451668]| 12.1375713348388672|      8.00000000|[197, 28, 0, 14]                                                           |  | used linear model with 33 points | actual_k=2
       8|[-1.1228796765208244, -3.677406743168831, -4.6131434589624405, 5.032368838787079, -5.591724023222923, -2.5035058483481407, 0.6961354464292526, 0.6240358352661133, -0.1747828871011734, -2.352126252182643, 0.1291835308074951, -4.223258666694164, 7.942185662686825, 2.033249975182116, -0.79434694070369, 3.004905884154141, -5.99715393781662, -4.859985738992691, -1.4930844753980637, 2.331430271267891, -5.727512672543526, -6.826587989926338]| 12.1373033523559570|     16.00000000|[225, 32, 0, 16]                                                           | | GPS sucess | actual_k=2
       9|[-5.772893600165844, 0.1920836418867111, -6.176659360527992, 8.806306779384613, -2.8170293420553207, -2.331738032400608, -0.6411097794771194, -3.4744315147399902, -4.300596848130226, -10.218137394913356, 1.985303282737732, -5.55973856896162, 9.109105847775936, 5.634363294579089, 3.5820621130988, 3.348340635187924, -8.209428012371063, -1.276839166879654, 0.2521751672029495, 7.260695770382881, -3.2369395047426224, -9.545969560742378]| 12.1293315887451172|     32.00000000|[253, 36, 0, 18]                                                           | | GPS sucess | actual_k=2
      10|[-14.785142593085766, 8.954510018229485, -1.4133446365594864, 14.264157712459564, -0.1414788812398911, 3.6768078431487083, -3.8969407826662064, 2.1055803298950195, -2.3600479513406754, -7.286729704865138, -2.8313013315200806, -6.47461461275816, 7.38673260062933, -3.8385332813486457, -4.790632856078446, -7.197043771855533, -13.500452220439911, -2.976464658975601, 11.083116367459297, 7.515788123011589, -17.913855627179146, -2.1670199185609818]| 12.1165952682495117|     64.00000000|[281, 40, 0, 20]                                                           | | GPS sucess | actual_k=2
      11|[-14.785142593085766, 8.954510018229485, -1.4133446365594864, 14.264157712459564, -0.1414788812398911, 3.6768078431487083, -3.8969407826662064, 2.1055803298950195, -2.3600479513406754, -7.286729704865138, -2.8313013315200806, -6.47461461275816, 7.38673260062933, -3.8385332813486457, -4.790632856078446, -7.197043771855533, -13.500452220439911, -2.976464658975601, 11.083116367459297, 7.515788123011589, -17.913855627179146, -2.1670199185609818]| 12.1165952682495117|     32.00000000|[309, 44, 0, 22]                                                           |  | used linear model with 33 points | actual_k=2
