k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]| 15.0000174966258228|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[-0.1159169524908066, -0.1880708783864975, -0.2382090985774994, 0.8740733861923218, -0.2362662255764008, -0.1882171928882599, -0.1238998994231224, -0.0593002587556839, -0.0073590190149844, 0.0163300205022097, 0.0151395425200462, -0.0068678087554872, -0.0369792878627777, -0.0595408231019974, -0.0614902451634407, -0.0384309366345406, -0.0056644096039236, 0.0332339443266392, 0.0303912274539471, -0.0219681411981583, -0.0834110006690025, 0.0078400066122413]| 13.8329296112060547|      2.00000000|[33, 0, 0, 2]                                                              | | GPS sucess | actual_k=0
       2|[1.7240661531686783, -0.6171133667230606, -0.6374370157718658, 1.0896133929491043, -0.4446559697389603, -0.2702922224998474, -0.089367613196373, 0.0610932931303978, 0.1539303450845182, 0.1693991292268038, 0.1180812940001488, 0.0214651473797858, -0.0838020183146, -0.1575809866189957, -0.3226361647248268, -0.1103538125753403, -0.0117666074074805, 0.0896973572671413, 0.1048620156943798, 0.001674473285675, -0.1407195664942265, 0.0156811866909266]| 12.3631372451782227|      4.00000000|[65, 0, 0, 4]                                                              | | GPS sucess | actual_k=0
       3|[1.7481001056730747, 0.2059872001409531, -0.1036112606525421, 1.796558991074562, 0.2724717706441879, 0.2760171294212341, 0.140424981713295, -0.0971754565834999, -0.3745012492872775, -0.6329718958586454, -0.8175562396645546, -0.9094629040919244, -0.921435508877039, -0.8935565501451492, -1.030177690088749, -0.9088176935911179, -0.9986482211388648, -1.0829535759985447, -1.1096931286156178, -1.0468116402626038, 0.367944922298193, -1.833053668960929]| 12.1453323364257812|      8.00000000|[97, 0, 0, 6]                                                              | | GPS sucess | actual_k=0
       4|[1.7481001056730747, 0.2059872001409531, -0.1036112606525421, 1.796558991074562, 0.2724717706441879, 0.2760171294212341, 0.140424981713295, -0.0971754565834999, -0.3745012492872775, -0.6329718958586454, -0.8175562396645546, -0.9094629040919244, -0.921435508877039, -0.8935565501451492, -1.030177690088749, -0.9088176935911179, -0.9986482211388648, -1.0829535759985447, -1.1096931286156178, -1.0468116402626038, 0.367944922298193, -1.833053668960929]| 12.1453323364257812|      4.00000000|[129, 0, 0, 8]                                                             |  | used linear model with 33 points | actual_k=0
       5|[1.7481001056730747, 0.2059872001409531, -0.1036112606525421, 1.796558991074562, 0.2724717706441879, 0.2760171294212341, 0.140424981713295, -0.0971754565834999, -0.3745012492872775, -0.6329718958586454, -0.8175562396645546, -0.9094629040919244, -0.921435508877039, -0.8935565501451492, -1.030177690088749, -0.9088176935911179, -0.9986482211388648, -1.0829535759985447, -1.1096931286156178, -1.0468116402626038, 0.367944922298193, -1.833053668960929]| 12.1453323364257812|      2.00000000|[161, 0, 0, 10]                                                            |  | used linear model with 33 points | actual_k=0
       6|[1.7481001056730747, 0.2059872001409531, -0.1036112606525421, 1.796558991074562, 0.2724717706441879, 0.2760171294212341, 0.140424981713295, -0.0971754565834999, -0.3745012492872775, -0.6329718958586454, -0.8175562396645546, -0.9094629040919244, -0.921435508877039, -0.8935565501451492, -1.030177690088749, -0.9088176935911179, -0.9986482211388648, -1.0829535759985447, -1.1096931286156178, -1.0468116402626038, 0.367944922298193, -1.833053668960929]| 12.1453323364257812|      1.00000000|[193, 0, 0, 12]                                                            |  | used linear model with 33 points | actual_k=0
       7|[1.7375228432938457, 0.1954985801130533, -0.1091172839514911, 1.7990549774840474, 0.2826150674372911, 0.2897833604365587, 0.151211922056973, -0.0962738372036256, -0.3878156109713018, -0.659644553437829, -0.8502216190099716, -0.9352053287439048, -0.9352763760834932, -0.9165076483041048, -0.9780225455760956, -0.8589461222290993, -1.0059592314064503, -1.2216861434280872, -1.4442854411900043, -0.2755813002586365, -0.1359826065599918, -1.7291467245668173]| 12.1453180313110352|      2.00000000|[225, 0, 0, 14]                                                            | | GPS sucess | actual_k=0
       8|[1.6722722528502345, 0.0970942620187998, 0.8332336996681988, 1.7369639175012708, 0.280347298597917, 0.3493476379662752, 0.2483912305906415, -0.0087761334725656, -0.3700121021829545, -0.7686024401336908, -1.122479572892189, -1.3716527703218162, -1.4932129848748446, 0.5028649102896452, -1.5072284638881683, -1.222290851175785, -1.1506581641733646, -1.175444308668375, -1.326283399015665, -0.2528921384364367, -0.2813970483839512, -1.720471347682178]| 12.1452970504760742|      4.00000000|[257, 0, 0, 16]                                                            | | GPS sucess | actual_k=0
       9|[1.6299632033333182, 0.1312243547290564, 0.8003646288998425, 1.7469478631392121, 0.3209204857703298, 0.4044125620275736, 0.2915389919653535, -0.0051696559530683, -0.4232695489190519, -0.8752930704504251, -1.2531410902738571, -1.4746224689297378, -1.5102899465709925, 0.6087022256106138, -1.298607885837555, -1.0228045657277107, -1.1799022052437067, -1.7303745783865452, -2.6646526493132114, 2.8320292215794325, -2.2971071638166904, -1.3048435701057315]| 12.1448802947998047|      8.00000000|[289, 0, 0, 18]                                                            | | GPS sucess | actual_k=0
      10|[1.6299632033333182, 0.1312243547290564, 0.8003646288998425, 1.7469478631392121, 0.3209204857703298, 0.4044125620275736, 0.2915389919653535, -0.0051696559530683, -0.4232695489190519, -0.8752930704504251, -1.2531410902738571, -1.4746224689297378, -1.5102899465709925, 0.6087022256106138, -1.298607885837555, -1.0228045657277107, -1.1799022052437067, -1.7303745783865452, -2.6646526493132114, 2.8320292215794325, -2.2971071638166904, -1.3048435701057315]| 12.1448802947998047|      4.00000000|[321, 0, 0, 20]                                                            |  | used linear model with 33 points | actual_k=0
      11|[1.587654153816402, 0.0892698746174574, 0.7783405357040465, 1.7569318087771535, 0.3614936729427427, 0.459477486088872, 0.3346867533400655, -0.001563178433571, -0.4765269956551492, -0.9819837007671595, -1.3838026076555252, -1.5775921675376594, -1.5273669082671404, 0.7145395409315825, -2.449693262577057, -0.8233182802796364, -1.2091462463140488, -2.2853048481047153, -4.003021899610758, 5.916950581595302, -0.6292905248701572, -0.889215792529285]| 12.1448478698730469|      8.00000000|[353, 0, 0, 22]                                                            | | GPS sucess | actual_k=0
