k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]|  1.5280136783814451|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.1721716821193695, 1.192690685391426, 0.6613218784332275, 0.8896215185523033, 0.9302374497056007, 0.8667737543582916, 1.0161830428987741, 0.7571134120225906, 1.066140279173851, 0.9907671641558409, 0.9471857845783234, 0.3237416744232178, 0.7886096239089966, 0.7795140594244003, 1.2360220849514008, 1.0069020162336528, 1.079296626150608, 0.7718297839164734, 0.9653482623398304, 1.0976101532578468, 0.996119552757591, 1.1281314492225647]|  1.3505759239196777|      2.00000000|[209, 67, 0, 5]                                                            | | GPS sucess | actual_k=16
       2|[0.6130839884281158, 0.7044787257909775, 0.7344624176621437, 0.2335812672972679, 0.6751985624432564, 0.9707318469882011, 0.9166643042117357, 0.8805667012929916, 0.4274535626173019, 0.4640480112284422, 0.8313824534416199, -0.2949973344802856, 1.0440304577350616, 0.3250284940004349, 1.564044326543808, 1.3987866113893688, 0.7445628121495247, 1.4391968250274658, 0.5977068431675434, 0.9108499214053154, 0.4054316817782819, 1.5483621656894684]|  1.0669704675674438|      4.00000000|[413, 138, 0, 10]                                                          | | GPS sucess | actual_k=16
       3|[0.0002612769603729, -0.0243782550096512, 1.1020495668053627, 0.0469762608408928, 0.9361259415745735, 0.1355876848101616, 0.3518990892916918, -0.4132195860147476, 0.1451876908540726, -1.2739879060536623, 0.360468715429306, -1.3992832899093628, 0.4600225985050201, -0.0434109419584274, 3.088003844022751, 1.791724808048457, 0.1980257704854012, 0.2852305173873901, 0.213417787104845, 1.2759303078055382, 1.65757375350222, 1.7242043167352676]|  0.7154398560523987|      8.00000000|[617, 209, 0, 15]                                                          | | GPS sucess | actual_k=16
       4|[-2.577941209077835, 0.8148467987775803, 0.3143452778458595, 0.4317564591765404, 0.6174508705735207, -0.1523776724934578, -2.007813034579158, -1.0047930628061295, 1.0071879178285599, -1.7280502188950777, 0.8813129365444183, -2.1266998052597046, 0.1779410541057587, -1.736445590853691, 3.4968059062957764, 3.754884726833552, -0.6766875311732292, -2.6831334829330444, -1.0352319292724133, -1.652978040277958, -1.8184964121319354, 0.9789221435785294]|  0.5953616499900818|     16.00000000|[822, 279, 0, 20]                                                          | | GPS sucess | actual_k=16
       5|[-2.577941209077835, 0.8148467987775803, 0.3143452778458595, 0.4317564591765404, 0.6174508705735207, -0.1523776724934578, -2.007813034579158, -1.0047930628061295, 1.0071879178285599, -1.7280502188950777, 0.8813129365444183, -2.1266998052597046, 0.1779410541057587, -1.736445590853691, 3.4968059062957764, 3.754884726833552, -0.6766875311732292, -2.6831334829330444, -1.0352319292724133, -1.652978040277958, -1.8184964121319354, 0.9789221435785294]|  0.5953616499900818|      8.00000000|[1028, 348, 0, 25]                                                         |  | used quadratic model with 276 points | actual_k=16
       6|[-3.496438056230545, -1.9156212359666824, -0.1937015876173973, -3.011164702475071, -1.9364624843001366, -0.4228736832737923, -1.1168422680348158, -1.2033654153347015, -0.0683300942182541, -3.2391440737992525, -0.2944882214069366, -3.9830907583236694, 1.2961667478084564, -1.6573806405067444, 4.188846945762634, 0.3240399430505931, -0.0476729795336723, -0.26665198802948, -0.0548055581748486, -0.0190247073769569, -2.318219727370888, 2.4554392248392105]|  0.4919694960117340|     16.00000000|[1234, 417, 0, 30]                                                         | | GPS sucess | actual_k=16
       7|[-3.496438056230545, -1.9156212359666824, -0.1937015876173973, -3.011164702475071, -1.9364624843001366, -0.4228736832737923, -1.1168422680348158, -1.2033654153347015, -0.0683300942182541, -3.2391440737992525, -0.2944882214069366, -3.9830907583236694, 1.2961667478084564, -1.6573806405067444, 4.188846945762634, 0.3240399430505931, -0.0476729795336723, -0.26665198802948, -0.0548055581748486, -0.0190247073769569, -2.318219727370888, 2.4554392248392105]|  0.4919694960117340|      8.00000000|[1441, 485, 0, 35]                                                         |  | used quadratic model with 276 points | actual_k=16
       8|[-3.496438056230545, -1.9156212359666824, -0.1937015876173973, -3.011164702475071, -1.9364624843001366, -0.4228736832737923, -1.1168422680348158, -1.2033654153347015, -0.0683300942182541, -3.2391440737992525, -0.2944882214069366, -3.9830907583236694, 1.2961667478084564, -1.6573806405067444, 4.188846945762634, 0.3240399430505931, -0.0476729795336723, -0.26665198802948, -0.0548055581748486, -0.0190247073769569, -2.318219727370888, 2.4554392248392105]|  0.4919694960117340|      4.00000000|[1648, 553, 0, 40]                                                         |  | used quadratic model with 276 points | actual_k=16
       9|[-3.309972047805786, -0.4556507617235184, -0.2099840063601732, -2.3544249907135963, -2.2799064740538597, 0.2222096249461174, -0.5905613880604506, -1.5517553091049194, 0.3239109665155411, -3.1501309145241976, -0.1421235650777817, -3.227996349334717, 1.468422994017601, -1.7928572744131088, 3.2528956532478333, -0.7902585198171437, -0.1325259506702423, -2.336021065711975, -0.6404634527862072, -0.2626969292759895, -0.4226326406933367, 1.4874720722436905]|  0.4677346646785736|      8.00000000|[1856, 620, 0, 45]                                                         | | GPS sucess | actual_k=16
      10|[-3.309972047805786, -0.4556507617235184, -0.2099840063601732, -2.3544249907135963, -2.2799064740538597, 0.2222096249461174, -0.5905613880604506, -1.5517553091049194, 0.3239109665155411, -3.1501309145241976, -0.1421235650777817, -3.227996349334717, 1.468422994017601, -1.7928572744131088, 3.2528956532478333, -0.7902585198171437, -0.1325259506702423, -2.336021065711975, -0.6404634527862072, -0.2626969292759895, -0.4226326406933367, 1.4874720722436905]|  0.4677346646785736|      4.00000000|[2064, 687, 0, 50]                                                         |  | used quadratic model with 276 points | actual_k=16
      11|[-3.702131897211075, -0.721897765994072, -0.8724560160189867, -2.746759779751301, -2.415458135306835, -1.119761772453785, -0.9402288775891066, -3.0003299713134766, -1.4223209470510483, -2.2639368046075106, -0.2945218533277512, -1.9608690738677979, 0.9225483387708664, -2.991654857993126, 4.042716681957245, -1.538808159995824, -0.4655233025550842, -3.287040650844574, -0.2265940420329571, 0.5253794118762016, -0.3084698007442057, 0.8182302266359329]|  0.4529479146003723|      8.00000000|[2269, 757, 0, 55]                                                         | | GPS sucess | actual_k=16
