k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, 1.0]                                                                      |  6.0000000000000000|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.0, 1.0]                                                                      |  6.0000000000000000|      0.50000000|[2, 1, 1, 2]                                                               |  | used linear model with 3 points | iterate failure | actual_k=1
       2|[0.9956463575363159, 0.500018984079361]                                         |  3.5109839439392090|      1.00000000|[5, 1, 1, 3]                                                               | | GPS sucess | actual_k=1
       3|[1.8933606147766113, 0.0594408810138702]                                        |  1.1338270902633667|      2.00000000|[7, 1, 1, 4]                                                               | | GPS sucess | actual_k=1
       4|[1.8933606147766113, 0.0594408810138702]                                        |  1.1338270902633667|      1.00000000|[8, 2, 2, 6]                                                               |  | used linear model with 3 points | iterate failure | actual_k=1
       5|[2.651949405670166, -0.5921287834644318]                                        |  0.7404223084449768|      2.00000000|[11, 2, 2, 7]                                                              | | GPS sucess | actual_k=1
       6|[2.651949405670166, -0.5921287834644318]                                        |  0.7404223084449768|      1.00000000|[13, 2, 3, 9]                                                              |  | used linear model with 3 points | iterate failure | actual_k=1
       7|[2.314998149871826, -1.53365096449852]                                          |  0.6173900961875916|      2.00000000|[16, 2, 3, 10]                                                             | | GPS sucess | actual_k=1
       8|[2.314998149871826, -1.53365096449852]                                          |  0.6173900961875916|      1.00000000|[18, 2, 3, 11]                                                             |  | used linear model with 3 points | actual_k=1
       9|[2.314998149871826, -1.53365096449852]                                          |  0.6173900961875916|      0.50000000|[19, 3, 4, 13]                                                             |  | used linear model with 3 points | iterate failure | actual_k=1
      10|[1.829925775527954, -1.654914140701294]                                         |  0.5370565056800842|      1.00000000|[21, 4, 4, 14]                                                             | | GPS sucess | actual_k=1
      11|[1.829925775527954, -1.654914140701294]                                         |  0.5370565056800842|      0.50000000|[23, 4, 5, 16]                                                             |  | used linear model with 3 points | iterate failure | actual_k=1
      12|[2.154770028859061, -1.2748138761949985]                                        |  0.1384048944604833|      1.00000000|[25, 5, 6, 18]                                                             |  | used linear model with 3 points | iterate success | actual_k=1
      13|[2.154770028859061, -1.2748138761949985]                                        |  0.1384048944604833|      0.50000000|[28, 5, 6, 19]                                                             |  | used linear model with 3 points | actual_k=1
      14|[2.154770028859061, -1.2748138761949985]                                        |  0.1384048944604833|      0.25000000|[30, 5, 7, 21]                                                             |  | used linear model with 3 points | iterate failure | actual_k=1
