k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]| 15.0000174966258228|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.2419157922267914, 0.2811915576457977, 0.1048589944839478, 0.2857368588447571, -0.0806298106908798, 0.1130976527929306, -0.0150102134793997, 0.2818030714988708, -0.042662251740694, 0.0929862186312675, 0.2381036132574081, 0.082550160586834, -0.3519386053085327, -0.1254981011152267, -0.1450326442718506, 0.0863217934966087, 0.18183334171772, 0.2922354340553284, 0.0409951396286488, 0.3443740010261536, 0.2086205333471298, -0.2571312785148621]| 14.1494359970092773|      2.00000000|[33, 0, 0, 2]                                                              | | GPS sucess | actual_k=0
       2|[0.3268776088953018, 0.3835530951619148, 0.844773530960083, 1.1495391130447388, -0.7440468519926071, 0.3797596544027328, 0.127332204952836, 0.2667026584967971, -0.1585926003754139, 0.3126426413655281, -0.338334396481514, -0.114469550549984, 0.3751252889633179, 0.0908642560243607, 0.0028812289237976, 0.1796951219439507, 0.3010923713445663, -0.2382965683937073, 0.2732349224388599, 0.0437090694904327, 0.7872298210859299, -0.0306714028120041]| 12.8595542907714844|      4.00000000|[65, 0, 0, 4]                                                              | | GPS sucess | actual_k=0
       3|[1.0763528496026993, -0.0203885063529015, 0.2212051153182983, 1.7314460277557373, -0.6513123065233231, -0.5268032103776932, -0.8400189932435751, 0.9492185181006789, 0.1488369219005108, -0.5831231996417046, -0.5006518959999084, 0.9268913045525551, 0.6492464244365692, -0.0681494772434235, -0.0631011724472046, 0.4418850168585777, 0.1811433434486389, 2.2432543635368347, 0.1969482935965061, 0.1570100411772728, -0.1151828914880753, 1.651429608464241]| 12.2301626205444336|      8.00000000|[97, 0, 0, 6]                                                              | | GPS sucess | actual_k=0
       4|[0.0756178051233292, 3.070047475397587, 1.0345891118049622, 2.8558766841888428, 1.1639309376478195, -3.3837582617998123, -0.9178193937987089, -0.3035111362114549, 2.468616556376219, 1.3550008609890938, 0.8469273447990417, 2.135957218706608, -0.0635756552219391, 0.4404655992984772, -1.0286313891410828, 0.7196378335356712, -1.963836133480072, 1.1781496405601501, -1.9976165257394314, -0.1126202121376991, -3.1646757274866104, 0.5081312209367752]| 12.1486282348632812|     16.00000000|[129, 0, 0, 8]                                                             | | GPS sucess | actual_k=0
       5|[0.0756178051233292, 3.070047475397587, 1.0345891118049622, 2.8558766841888428, 1.1639309376478195, -3.3837582617998123, -0.9178193937987089, -0.3035111362114549, 2.468616556376219, 1.3550008609890938, 0.8469273447990417, 2.135957218706608, -0.0635756552219391, 0.4404655992984772, -1.0286313891410828, 0.7196378335356712, -1.963836133480072, 1.1781496405601501, -1.9976165257394314, -0.1126202121376991, -3.1646757274866104, 0.5081312209367752]| 12.1486282348632812|      8.00000000|[161, 0, 0, 10]                                                            |  | used linear model with 33 points | actual_k=0
       6|[-0.5711550563573837, 2.153576947748661, 2.1707233786582947, 3.2020456790924072, 3.8538651913404465, -2.5850356370210648, -0.9363115653395653, -1.6628808910027146, 3.3244550339877605, -1.5387326404452324, 0.2503001689910889, -0.5377292856574059, -0.9432814419269562, 1.6047723591327667, 0.8578041195869446, 1.2532085999846458, -1.7863929718732834, -1.9297488331794739, -1.5283139906823635, 2.737390659749508, -2.1873682886362076, -1.4435563534498215]| 12.1444606781005859|     16.00000000|[193, 0, 0, 12]                                                            | | GPS sucess | actual_k=0
       7|[0.2534707337617874, -1.2597052082419395, -1.1334450840950012, 3.273976668715477, 0.9708126038312912, 4.272280380129814, 5.146936096251011, -2.814677351154387, 5.743673574179411, 1.3486572578549385, 5.781739950180054, -1.3347690925002098, -0.3498009145259857, -3.210038870573044, -4.972599685192108, 0.8833827897906303, 0.7343406230211258, -0.0808702111244202, -2.6100136004388332, 0.3595897182822227, 1.1186193078756332, 0.1868850737810135]| 12.1411075592041016|     32.00000000|[225, 0, 0, 14]                                                            | | GPS sucess | actual_k=0
       8|[0.2534707337617874, -1.2597052082419395, -1.1334450840950012, 3.273976668715477, 0.9708126038312912, 4.272280380129814, 5.146936096251011, -2.814677351154387, 5.743673574179411, 1.3486572578549385, 5.781739950180054, -1.3347690925002098, -0.3498009145259857, -3.210038870573044, -4.972599685192108, 0.8833827897906303, 0.7343406230211258, -0.0808702111244202, -2.6100136004388332, 0.3595897182822227, 1.1186193078756332, 0.1868850737810135]| 12.1411075592041016|     16.00000000|[257, 0, 0, 16]                                                            |  | used linear model with 33 points | actual_k=0
       9|[-1.7477032393217087, 3.980114795267582, 1.256143033504486, 4.0248023718595505, -4.244892790913582, 1.1652764528989792, 2.2480537071824074, 2.167557126842439, 4.859804403036833, 0.5803974345326424, 7.219727277755737, 0.6435784474015236, 7.321259170770645, -3.7881021201610565, -3.728766620159149, 2.71502672880888, 3.3646411448717117, -5.729947626590729, -3.4973198138177395, 0.29664696007967, -3.440880909562111, 1.3846863061189651]| 12.1395225524902344|     32.00000000|[289, 0, 0, 18]                                                            | | GPS sucess | actual_k=0
      10|[-9.80746428668499, 6.2378533855080605, 1.5112695097923279, 10.247345134615898, -14.017142966389656, 10.289264604449272, -4.3529756888747215, -11.111212366260588, 5.480135690420866, -0.4229682013392448, 7.722823858261108, 8.078260339796543, -3.1935132443904877, -4.072021633386612, -5.50544947385788, 12.398112170398235, 3.598798617720604, -8.906938374042511, 1.9933742322027683, 10.424001581966877, -9.885341301560402, 4.9153900891542435]| 12.1235532760620117|     64.00000000|[321, 0, 0, 20]                                                            | | GPS sucess | actual_k=0
      11|[-15.064524337649345, -3.44945015758276, 8.621161878108978, 13.928531095385551, -5.432625487446785, -24.73786933720112, 22.42763153463602, -12.155735366977751, -6.7552778609097, 13.612965293228626, 33.473615407943726, 15.089811243116856, -5.001197665929794, 6.273770183324814, 8.76950341463089, 11.872309498488903, 0.5655366033315659, -0.3371551632881165, 13.767020586878061, 14.907493956387043, -17.372722759842873, -7.399531289935112]| 12.1161336898803711|    128.00000000|[353, 0, 0, 22]                                                            | | GPS sucess | actual_k=0
