k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]| 15.0000174966258228|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.166834756731987, 0.157649353146553, -0.2823886871337891, 0.3805079162120819, -0.1505714952945709, 0.1168291643261909, -0.275102436542511, -0.0063561266288161, -0.1015815734863281, -0.1157577559351921, -0.1703028529882431, 0.2026741802692413, 0.1128134354948997, -0.1968705058097839, 0.1834356784820557, -0.4231224358081818, -0.0279195439070463, 0.3752683103084564, -0.014877749606967, 0.0421353541314602, -0.133919894695282, -0.2724983394145966]| 14.2095594406127930|      2.00000000|[61, 4, 0, 1]                                                              | | GPS sucess | actual_k=4
       2|[0.7591376155614853, 0.2088242471218109, -0.6877508461475372, 1.2610130608081818, -0.1492477358551696, 0.0396020039916039, -0.1959372460842133, 0.0048432191833854, 0.3153572082519531, -0.8147222921252251, -0.1777981636114419, 0.1989871494006366, 0.1772854328155518, -0.6551279723644257, -0.2459871172904968, -0.6000651717185974, -0.434204114601016, 0.9525679647922516, 0.5828250516206026, 0.0232299696654081, 0.3310737609863281, -0.7932011783123016]| 12.7129259109497070|      4.00000000|[121, 8, 0, 2]                                                             | | GPS sucess | actual_k=4
       3|[1.9596260637044907, 0.0491648614406586, -0.011345773935318, 1.6666704416275024, -0.4780499042244628, 1.132168136537075, -0.7605998814105988, -0.1092725628986955, 0.2375534027814865, -1.1654263958334923, -0.3071706709451973, 0.8485158912371844, 0.804688036441803, 0.5530588924884796, -0.9435293078422546, 1.1654401421546936, -0.6157929133623838, 1.4145862460136414, 0.7177477348595858, -0.6823662389069796, 0.7881872355937958, -1.224910318851471]| 12.1461963653564453|      8.00000000|[181, 12, 0, 3]                                                            | | GPS sucess | actual_k=4
       4|[1.9596260637044907, 0.0491648614406586, -0.011345773935318, 1.6666704416275024, -0.4780499042244628, 1.132168136537075, -0.7605998814105988, -0.1092725628986955, 0.2375534027814865, -1.1654263958334923, -0.3071706709451973, 0.8485158912371844, 0.804688036441803, 0.5530588924884796, -0.9435293078422546, 1.1654401421546936, -0.6157929133623838, 1.4145862460136414, 0.7177477348595858, -0.6823662389069796, 0.7881872355937958, -1.224910318851471]| 12.1461963653564453|      4.00000000|[241, 16, 0, 4]                                                            |  | used linear model with 65 points | actual_k=4
       5|[0.698050007224083, 0.3358015716075897, -1.2548162043094635, 2.706615686416626, 0.2151222525862977, 0.5428633317351341, -0.488065242767334, 0.893375433050096, 0.0959602743387222, -1.0707762464880943, -0.7205432173795998, 1.2748958996962756, 1.3578859567642212, 0.3390744924545288, 0.0594912171363831, 0.8303792476654053, 1.1262578535825014, 1.5870151221752167, 0.1876401770859957, -0.8936322499066591, 1.2001113891601562, -0.0953270792961121]| 12.1461658477783203|      8.00000000|[301, 20, 0, 5]                                                            | | GPS sucess | actual_k=4
       6|[0.698050007224083, 0.3358015716075897, -1.2548162043094635, 2.706615686416626, 0.2151222525862977, 0.5428633317351341, -0.488065242767334, 0.893375433050096, 0.0959602743387222, -1.0707762464880943, -0.7205432173795998, 1.2748958996962756, 1.3578859567642212, 0.3390744924545288, 0.0594912171363831, 0.8303792476654053, 1.1262578535825014, 1.5870151221752167, 0.1876401770859957, -0.8936322499066591, 1.2001113891601562, -0.0953270792961121]| 12.1461658477783203|      4.00000000|[361, 24, 0, 6]                                                            |  | used linear model with 65 points | actual_k=4
       7|[-0.4270278364419937, 0.0114088654518127, -1.4064983427524567, 3.6826775670051575, -0.1781579555245116, 0.6230659931898117, 0.7135756015777588, 0.2117628818377852, -0.3579573184251785, -1.456561617553234, -1.2357311365194619, 2.2467473081778735, 2.6108065843582153, 0.1856248378753662, -0.4697941541671753, 2.2064733505249023, 1.8585685063153505, 1.8792737126350403, -0.2404006253927946, -0.4313490558415651, 0.6093457341194153, 0.4946845769882202]| 12.1411094665527344|      8.00000000|[421, 28, 0, 7]                                                            | | GPS sucess | actual_k=4
       8|[-1.8539168983697891, -3.305006444454193, -0.4385904371738434, 4.895115673542023, 1.034627169254236, -2.448516085743904, 1.2452340722084045, 0.3899295246228576, -0.7676302343606949, -1.6441851779818535, -1.8338686940260231, 2.3527764088939875, -0.5404297113418579, 1.507058024406433, -3.2558335065841675, 2.5790472328662872, 0.3793394137173891, 3.0270329117774963, -0.6200717519968748, -2.1539306808263063, 1.6065005660057068, 1.0333561301231384]| 12.1343393325805664|     16.00000000|[481, 32, 0, 8]                                                            | | GPS sucess | actual_k=4
       9|[-1.8539168983697891, -3.305006444454193, -0.4385904371738434, 4.895115673542023, 1.034627169254236, -2.448516085743904, 1.2452340722084045, 0.3899295246228576, -0.7676302343606949, -1.6441851779818535, -1.8338686940260231, 2.3527764088939875, -0.5404297113418579, 1.507058024406433, -3.2558335065841675, 2.5790472328662872, 0.3793394137173891, 3.0270329117774963, -0.6200717519968748, -2.1539306808263063, 1.6065005660057068, 1.0333561301231384]| 12.1343393325805664|      8.00000000|[541, 36, 0, 9]                                                            |  | used linear model with 65 points | actual_k=4
      10|[-1.8539168983697891, -3.305006444454193, -0.4385904371738434, 4.895115673542023, 1.034627169254236, -2.448516085743904, 1.2452340722084045, 0.3899295246228576, -0.7676302343606949, -1.6441851779818535, -1.8338686940260231, 2.3527764088939875, -0.5404297113418579, 1.507058024406433, -3.2558335065841675, 2.5790472328662872, 0.3793394137173891, 3.0270329117774963, -0.6200717519968748, -2.1539306808263063, 1.6065005660057068, 1.0333561301231384]| 12.1343393325805664|      4.00000000|[601, 40, 0, 10]                                                           |  | used linear model with 65 points | actual_k=4
      11|[-2.74918295443058, -4.191062390804291, -1.2939954698085785, 5.835629522800446, 0.1943442522315308, -1.6721812039613724, 1.709769368171692, 0.6328770285472274, -0.4880834072828293, -3.4888818189501762, -0.6688514468260109, 1.7740156657528132, -1.9057883024215698, 1.480349075049162, -3.3635421246290207, 3.862061530351639, 0.6496007312089205, 2.8813737332820892, -1.1127259861677885, -2.8514058757573366, 0.7214316129684448, 1.5322272181510925]| 12.1316699981689453|      8.00000000|[661, 44, 0, 11]                                                           | | GPS sucess | actual_k=4
