k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[-1.2, 1.0]                                                                     | 24.1999999999999957|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[-1.3001633405685424, 1.9949710369110107]                                       | 14.5655975341796875|      2.00000000|[4, 1, 0, 1]                                                               | | GPS sucess | actual_k=1
       2|[-1.3001633405685424, 1.9949710369110107]                                       | 14.5655975341796875|      1.00000000|[8, 2, 1, 4]                                                               |  | used linear model with 5 points | iterate failure | actual_k=1
       3|[-1.3001633405685424, 1.9949710369110107]                                       | 14.5655975341796875|      0.50000000|[13, 3, 2, 7]                                                              |  | used linear model with 5 points | iterate failure | actual_k=1
       4|[-1.5960360288619995, 2.398033529520035]                                        |  8.9683771133422852|      1.00000000|[17, 4, 2, 8]                                                              | | GPS sucess | actual_k=1
       5|[-1.5960360288619995, 2.398033529520035]                                        |  8.9683771133422852|      0.50000000|[21, 5, 3, 11]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       6|[-1.5960360288619995, 2.398033529520035]                                        |  8.9683771133422852|      0.25000000|[25, 7, 4, 14]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       7|[-1.5960360288619995, 2.398033529520035]                                        |  8.9683771133422852|      0.12500000|[30, 8, 5, 17]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       8|[-1.6029466807842254, 2.647937998175621]                                        |  7.3915553092956543|      0.25000000|[34, 9, 5, 18]                                                             | | GPS sucess | actual_k=1
       9|[-1.6029466807842254, 2.647937998175621]                                        |  7.3915553092956543|      0.12500000|[38, 10, 6, 21]                                                            |  | used linear model with 5 points | iterate failure | actual_k=1
