k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, 1.0]                                                                      |186382.3816574575030245|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.8206274509429932, 1.5714635252952576]                                        |184669.6250000000000000|      2.00000000|[4, 1, 0, 1]                                                               | | GPS sucess | actual_k=1
       2|[3.8205515146255493, 1.554048778489232]                                         |180719.2968750000000000|      4.00000000|[7, 2, 0, 2]                                                               | | GPS sucess | actual_k=1
       3|[5.582863807678223, 5.144906045868993]                                          |176946.2656250000000000|      8.00000000|[10, 3, 0, 3]                                                              | | GPS sucess | actual_k=1
       4|[13.188119888305664, 2.6629581470042467]                                        |162248.8906250000000000|     16.00000000|[13, 4, 0, 4]                                                              | | GPS sucess | actual_k=1
       5|[13.188119888305664, 2.6629581470042467]                                        |162248.8906250000000000|      8.00000000|[16, 5, 1, 6]                                                              |  | used linear model with 5 points | iterate failure | actual_k=1
       6|[15.762970685958862, 10.23726606555283]                                         |157170.5781250000000000|     16.00000000|[20, 6, 1, 7]                                                              | | GPS sucess | actual_k=1
       7|[21.154188871383667, 25.301619054749608]                                        |147204.8281250000000000|     32.00000000|[23, 7, 1, 8]                                                              | | GPS sucess | actual_k=1
       8|[52.39866900444031, 32.214119436219335]                                         |96317.4765625000000000|     64.00000000|[26, 8, 1, 9]                                                              | | GPS sucess | actual_k=1
       9|[63.61295771598816, 95.22395754046738]                                          |80909.8281250000000000|    128.00000000|[29, 9, 1, 10]                                                             | | GPS sucess | actual_k=1
      10|[63.61295771598816, 95.22395754046738]                                          |80909.8281250000000000|     64.00000000|[32, 10, 2, 12]                                                            |  | used linear model with 5 points | iterate failure | actual_k=1
      11|[114.95674967765808, 133.4314847011119]                                         |29638.8535156250000000|    128.00000000|[36, 11, 2, 13]                                                            | | GPS sucess | actual_k=1
      12|[212.26241374015808, 50.27135133929551]                                         |19257.7968750000000000|    256.00000000|[39, 12, 2, 14]                                                            | | GPS sucess | actual_k=1
      13|[175.09886622428894, 303.55946779437363]                                        |9812.0244140625000000|    512.00000000|[42, 13, 2, 15]                                                            | | GPS sucess | actual_k=1
      14|[175.09886622428894, 303.55946779437363]                                        |9812.0244140625000000|    256.00000000|[45, 14, 3, 17]                                                            |  | used linear model with 5 points | iterate failure | actual_k=1
      15|[175.09886622428894, 303.55946779437363]                                        |9812.0244140625000000|    128.00000000|[49, 15, 4, 19]                                                            |  | used linear model with 5 points | iterate failure | actual_k=1
      16|[175.09886622428894, 303.55946779437363]                                        |9812.0244140625000000|     64.00000000|[53, 16, 5, 21]                                                            |  | used linear model with 5 points | iterate failure | actual_k=1
