k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, 0.1]                                                                      |  2.9803003000300001|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.0, 0.1]                                                                      |  2.9803003000300001|      0.50000000|[5, 0, 1, 2]                                                               |  | used linear model with 5 points | iterate failure | actual_k=0
       2|[0.9017838835716248, -0.030968451499939]                                        |  1.9823950529098511|      1.00000000|[10, 0, 1, 3]                                                              | | GPS sucess | actual_k=0
       3|[0.4465292990207672, -0.0081811245530844]                                       |  0.1192405521869659|      2.00000000|[14, 0, 1, 4]                                                              | | GPS sucess | actual_k=0
       4|[0.4465292990207672, -0.0081811245530844]                                       |  0.1192405521869659|      1.00000000|[18, 0, 2, 6]                                                              |  | used linear model with 5 points | iterate failure | actual_k=0
       5|[0.4465292990207672, -0.0081811245530844]                                       |  0.1192405521869659|      0.50000000|[23, 0, 3, 8]                                                              |  | used linear model with 5 points | iterate failure | actual_k=0
       6|[0.0640571117401123, 0.0077847693115473]                                        |  0.0000500252281199|      1.00000000|[28, 0, 3, 9]                                                              | | GPS sucess | actual_k=0
       7|[0.0640571117401123, 0.0077847693115473]                                        |  0.0000500252281199|      0.50000000|[32, 0, 4, 11]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
       8|[0.0640571117401123, 0.0077847693115473]                                        |  0.0000500252281199|      0.25000000|[37, 0, 4, 12]                                                             |  | used linear model with 5 points | actual_k=0
       9|[0.0640571117401123, 0.0077847693115473]                                        |  0.0000500252281199|      0.12500000|[41, 0, 4, 13]                                                             |  | used linear model with 5 points | actual_k=0
      10|[0.0223080590367317, -0.0161475330591202]                                       |  0.0000006874085443|      0.25000000|[45, 0, 4, 14]                                                             | | GPS sucess | actual_k=0
      11|[0.0223080590367317, -0.0161475330591202]                                       |  0.0000006874085443|      0.12500000|[49, 0, 4, 15]                                                             |  | used linear model with 5 points | actual_k=0
      12|[0.0223080590367317, -0.0161475330591202]                                       |  0.0000006874085443|      0.06250000|[53, 0, 4, 16]                                                             |  | used linear model with 5 points | actual_k=0
      13|[0.0215416150167584, -0.0154092688811943]                                       |  0.0000005947748605|      0.12500000|[57, 0, 4, 17]                                                             | | GPS sucess | actual_k=0
      14|[0.0215416150167584, -0.0154092688811943]                                       |  0.0000005947748605|      0.06250000|[61, 0, 4, 18]                                                             |  | used linear model with 5 points | actual_k=0
      15|[0.0215416150167584, -0.0154092688811943]                                       |  0.0000005947748605|      0.03125000|[65, 0, 4, 19]                                                             |  | used linear model with 5 points | actual_k=0
      16|[-0.0001903017982841, -0.0203383196843788]                                      |  0.0000005132822594|      0.06250000|[69, 0, 4, 20]                                                             | | GPS sucess | actual_k=0
