k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]| 15.0000174966258228|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.4980489015579224, -0.1634763479232788, 0.1542831510305405, 0.2878636717796326, -0.3090364933013916, 0.0797048285603523, 0.0148572036996484, -0.0057681859470904, 0.0893535912036896, -0.0092747220769525, 0.163346990942955, -0.1138375550508499, 0.1604602783918381, 0.1573998630046844, -0.1425956189632416, -0.0077987844124436, -0.2587692737579346, 0.4246894717216492, -0.0020801825448871, -0.0858412906527519, 0.0027032406069338, 0.0007518853526562]| 13.8840665817260742|      2.00000000|[207, 69, 0, 18]                                                           | | GPS sucess | actual_k=4
       2|[1.1255759596824646, -0.9382078647613525, 0.6693316549062729, 1.1658709049224854, -0.1747576892375946, -0.1849952861666679, -0.3755465736612678, -1.0823572934605181, -0.1926825344562531, -0.4384267935529351, 0.166932875989005, -0.0293809995055199, 0.0348978489637375, 0.1905813552439213, -0.3049248456954956, 0.0533517664298415, 0.0306622982025146, 0.3334068953990936, -0.1077734036371112, -0.2950051203370094, 0.0405610636807978, 0.3226802970748395]| 12.4649801254272461|      4.00000000|[413, 138, 0, 36]                                                          | | GPS sucess | actual_k=4
       3|[-0.15250164270401, -0.1459938287734985, 1.083275392651558, 3.05789053440094, 0.4862060844898224, 0.459107406437397, 0.2345231780782342, -0.4810395301319659, -0.19925034372136, 1.1347427954897285, -0.0965926696080714, 0.0212330371141434, 0.4183505028486252, 1.3141010142862797, 0.4292014837265015, -0.0757705653086305, -0.2443403303623199, 1.0506452023983002, -1.3831400675699115, -0.681582398712635, -0.8472874923609197, -0.4445167754311115]| 12.1409292221069336|      8.00000000|[619, 207, 0, 54]                                                          | | GPS sucess | actual_k=4
       4|[-1.9927818179130554, 2.68838632106781, 0.6881637424230576, 4.378965258598328, -0.8373442590236664, 2.46588946133852, 0.416953326202929, -2.829453951213509, 0.7980325189419091, 2.2484281649813056, 2.2082869957666844, -1.1817313879728317, 0.9360231012105942, 0.2076653577387333, 1.4313715696334839, -1.4049318516626954, -0.0203237384557724, 1.1781564056873322, 1.7568340497091413, -0.4513219073414803, -1.5143850608728826, -2.6567434046883136]| 12.1385478973388672|     16.00000000|[825, 276, 0, 72]                                                          | | GPS sucess | actual_k=4
       5|[-5.794886291027069, 4.1967058181762695, 3.339637503027916, 6.874392628669739, 0.4609279930591583, 2.830918826162815, 4.234102965332568, -5.4471781314350665, -3.1015400919131935, 4.52147966530174, 6.566982979653403, 4.56267674267292, 3.0744796842336655, 1.0012433268129826, 6.27242124080658, 0.0948344981297851, 6.079520717263222, 3.248522788286209, 3.3118845419958234, 1.0230376049876213, 3.428302450571209, -0.9410721038002521]| 12.1298246383666992|     32.00000000|[1032, 344, 0, 90]                                                         | | GPS sucess | actual_k=4
       6|[-15.66810005903244, 8.053030490875244, 10.647604689002037, 13.16644537448883, 5.768406897783279, -2.156938038766384, 9.359623671509326, -3.517310863826424, -9.97412062017247, -0.2322306046262383, 5.395766134141013, -4.11115138232708, 4.142209395766258, 12.630207750946283, 10.51286256313324, -1.0038858139887452, 11.202113166451454, 6.949251681566238, 10.390380521304905, -15.768491096794605, 5.348082824144512, -7.459413645090535]| 12.1113891601562500|     64.00000000|[1238, 413, 0, 108]                                                        | | GPS sucess | actual_k=4
       7|[-25.529687583446503, 16.74003553390503, 26.875195249915123, 17.36964190006256, 34.73449042439461, -11.743865452706814, 1.7708628186956048, -8.525196796748787, -20.81155538884923, -15.449431837536395, 10.550396795151755, 9.497219398617744, -7.90057148039341, 9.114045832306147, 4.6629661321640015, -4.088916131295264, 4.693884387612343, 25.52176335453987, 40.93412556219846, -13.434761829674244, 2.8667645887471735, -10.99987613898702]| 12.0876131057739258|    128.00000000|[1445, 481, 0, 126]                                                        | | GPS sucess | actual_k=4
       8|[-63.572740256786346, 39.45141935348511, 15.68487237393856, 47.50542604923248, -0.104758232831955, -49.81691309064627, -1.9766018381342292, -3.0120279849506915, -29.64867830602452, -39.99894851539284, 52.74740302073769, -14.776216194033623, -32.320178642868996, -19.508589055389166, 13.8535875082016, 13.227860144339502, 17.973964229226112, -2.7108263671398163, 31.70598949957639, -16.847464628517628, -8.856714682187885, 23.34644496697001]| 12.0178155899047852|    256.00000000|[1651, 550, 0, 144]                                                        | | GPS sucess | actual_k=4
       9|[-63.572740256786346, 39.45141935348511, 15.68487237393856, 47.50542604923248, -0.104758232831955, -49.81691309064627, -1.9766018381342292, -3.0120279849506915, -29.64867830602452, -39.99894851539284, 52.74740302073769, -14.776216194033623, -32.320178642868996, -19.508589055389166, 13.8535875082016, 13.227860144339502, 17.973964229226112, -2.7108263671398163, 31.70598949957639, -16.847464628517628, -8.856714682187885, 23.34644496697001]| 12.0178155899047852|    128.00000000|[1857, 619, 0, 162]                                                        |  | used quadratic model with 276 points | actual_k=4
      10|[-63.572740256786346, 39.45141935348511, 15.68487237393856, 47.50542604923248, -0.104758232831955, -49.81691309064627, -1.9766018381342292, -3.0120279849506915, -29.64867830602452, -39.99894851539284, 52.74740302073769, -14.776216194033623, -32.320178642868996, -19.508589055389166, 13.8535875082016, 13.227860144339502, 17.973964229226112, -2.7108263671398163, 31.70598949957639, -16.847464628517628, -8.856714682187885, 23.34644496697001]| 12.0178155899047852|     64.00000000|[2064, 687, 0, 180]                                                        |  | used quadratic model with 276 points | actual_k=4
      11|[-55.07752102613449, 14.449704647064209, 23.31505559384823, 41.30316936969757, 5.69396498799324, -39.34346529096365, -22.145598649047315, -11.875369316432625, -22.282781604211777, -47.22419303748757, 50.54202520358376, -5.1794020384550095, -34.433399334549904, -44.9988196156919, -7.143372178077698, -13.3382962429896, 8.851134791970253, -15.072548359632492, 44.6495005087927, -17.912197418510914, -7.415754274930805, 15.978941323934123]| 12.0168371200561523|    128.00000000|[2270, 756, 0, 198]                                                        | | GPS sucess | actual_k=4
