k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]|  1.5280136783814451|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.8628432154655457, 1.0893438532948494, 0.7565061897039413, 0.6265767812728882, 0.5370511114597321, 0.9348149225115776, 1.0131752472370863, 0.9607588797807693, 0.6566534042358398, 0.9098649248480797, 0.9037771746516228, 0.9078018665313721, 1.170381173491478, 1.0342437252402306, 0.9808175675570965, 0.8962885960936546, 0.8244083821773529, 0.5630406141281128, 1.1376708149909973, 1.290412425994873, 1.1657932698726654, 1.090740330517292]|  1.3892731666564941|      2.00000000|[25, 8, 0, 2]                                                              | | GPS sucess | actual_k=4
       2|[0.7407874017953873, 0.7067344859242439, 0.3156313747167587, 1.0104459822177887, -0.0296258628368378, 0.9455284485593438, 0.604514179751277, 0.0900786072015762, 0.4034222960472107, 0.1157945618033409, 1.2296898290514946, 0.7142835408449173, 1.6528723686933517, 0.9679549559950829, 0.7535572163760662, 0.6477540954947472, 0.2404475510120392, 0.5532091129571199, 0.5365338921546936, 1.2557837218046188, 1.2585648521780968, 0.7658706083893776]|  1.1156271696090698|      4.00000000|[49, 16, 0, 4]                                                             | | GPS sucess | actual_k=4
       3|[-0.7351717799901962, 1.4885715916752815, 0.4744940102100372, 0.6219451129436493, -1.072154849767685, 1.6759268650785089, 0.5806956421583891, -0.078022763133049, -1.2326722741127014, 0.0276812389492989, 1.0721375718712807, 0.3443614095449448, 1.4339454174041748, 0.3749677166342735, 0.9193800650537014, 0.9647229239344597, 1.6840294897556305, 0.0487326253205538, 0.5983425751328468, 2.627489134669304, 1.581201694905758, 0.7438459526747465]|  1.0470720529556274|      8.00000000|[73, 24, 0, 6]                                                             | | GPS sucess | actual_k=4
       4|[1.1342352777719498, 1.1976552084088326, -0.3336933553218842, 0.6776901967823505, -0.7756410241127014, 0.2843797812238336, -1.6793639529496431, -0.9386855810880661, -1.258258668705821, -0.379526786506176, -0.6016539558768272, -2.137766972184181, 2.794432759284973, -0.8987124934792519, 4.123172875493765, 1.6133945509791374, 1.5006157159805298, -2.6690746676176786, 0.1203567162156105, 4.132466480135918, 0.791986308991909, -1.405219303444028]|  0.7309986352920532|     16.00000000|[97, 32, 0, 8]                                                             | | GPS sucess | actual_k=4
       5|[1.1342352777719498, 1.1976552084088326, -0.3336933553218842, 0.6776901967823505, -0.7756410241127014, 0.2843797812238336, -1.6793639529496431, -0.9386855810880661, -1.258258668705821, -0.379526786506176, -0.6016539558768272, -2.137766972184181, 2.794432759284973, -0.8987124934792519, 4.123172875493765, 1.6133945509791374, 1.5006157159805298, -2.6690746676176786, 0.1203567162156105, 4.132466480135918, 0.791986308991909, -1.405219303444028]|  0.7309986352920532|      8.00000000|[121, 40, 0, 10]                                                           |  | used linear model with 33 points | actual_k=4
       6|[-0.1384839862585068, 1.7245504334568977, -1.896220177412033, 0.0130566246807575, -0.4927879571914673, 0.2287172311916947, -3.621663438156247, 0.1675954610109329, 2.0325726587325335, -1.688407950103283, -0.2043230459094048, -6.216936245560646, 1.0227041244506836, 1.1927894577383995, 4.362581890076399, 2.4826298877596855, -0.6487354040145874, -2.2190503906458616, -0.1332292780280113, 2.35223750770092, 1.517808698117733, -0.5096943248063326]|  0.5552444458007812|     16.00000000|[145, 48, 0, 12]                                                           | | GPS sucess | actual_k=4
       7|[-0.1384839862585068, 1.7245504334568977, -1.896220177412033, 0.0130566246807575, -0.4927879571914673, 0.2287172311916947, -3.621663438156247, 0.1675954610109329, 2.0325726587325335, -1.688407950103283, -0.2043230459094048, -6.216936245560646, 1.0227041244506836, 1.1927894577383995, 4.362581890076399, 2.4826298877596855, -0.6487354040145874, -2.2190503906458616, -0.1332292780280113, 2.35223750770092, 1.517808698117733, -0.5096943248063326]|  0.5552444458007812|      8.00000000|[169, 56, 0, 14]                                                           |  | used linear model with 33 points | actual_k=4
       8|[-0.1384839862585068, 1.7245504334568977, -1.896220177412033, 0.0130566246807575, -0.4927879571914673, 0.2287172311916947, -3.621663438156247, 0.1675954610109329, 2.0325726587325335, -1.688407950103283, -0.2043230459094048, -6.216936245560646, 1.0227041244506836, 1.1927894577383995, 4.362581890076399, 2.4826298877596855, -0.6487354040145874, -2.2190503906458616, -0.1332292780280113, 2.35223750770092, 1.517808698117733, -0.5096943248063326]|  0.5552444458007812|      4.00000000|[193, 64, 0, 16]                                                           |  | used linear model with 33 points | actual_k=4
       9|[-1.0923093408346176, 0.9500733092427254, -0.4317342936992645, 1.1611615307629108, -0.1685848236083984, -0.8038006788119674, -3.1573389042168856, 0.0257995575666428, 1.273598225787282, -2.4410527870059013, -0.7607970759272575, -7.084842696785927, 2.0276960134506226, 1.1944659758592024, 3.3747908882796764, 2.4550151098519564, -0.7155498266220093, -3.8561847042292356, -0.4676406905055046, 3.1864053457975388, 1.9158115908503532, 0.2633695732802153]|  0.4870018064975739|      8.00000000|[217, 72, 0, 18]                                                           | | GPS sucess | actual_k=4
      10|[-1.0923093408346176, 0.9500733092427254, -0.4317342936992645, 1.1611615307629108, -0.1685848236083984, -0.8038006788119674, -3.1573389042168856, 0.0257995575666428, 1.273598225787282, -2.4410527870059013, -0.7607970759272575, -7.084842696785927, 2.0276960134506226, 1.1944659758592024, 3.3747908882796764, 2.4550151098519564, -0.7155498266220093, -3.8561847042292356, -0.4676406905055046, 3.1864053457975388, 1.9158115908503532, 0.2633695732802153]|  0.4870018064975739|      4.00000000|[241, 80, 0, 20]                                                           |  | used linear model with 33 points | actual_k=4
      11|[-1.2040447369217873, 0.2479302361607552, -0.7949234247207642, 0.8393665142357349, -0.1146533600986004, 0.0405296320095658, -2.6806911695748568, -0.1294859349727631, 1.6970485467463732, -3.1018515154719353, -0.0290649458765984, -8.464522495865822, 2.920445740222931, 2.3659100342774764, 3.2998593412339687, 4.05282430537045, -1.3204251527786255, -4.2727285753935575, 0.9165517762303352, 4.7400993555784225, 1.1864722296595573, 0.0739163439720869]|  0.4786781370639801|      8.00000000|[265, 88, 0, 22]                                                           | | GPS sucess | actual_k=4
