k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0]                                                                      | 14.5560907917588516|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.0, 0.0]                                                                      | 14.5560907917588516|      0.50000000|[5, 0, 1, 2]                                                               |  | used linear model with 5 points | iterate failure | actual_k=0
       2|[-0.0043536424636841, -0.499981015920639]                                       | 13.1273937225341797|      1.00000000|[10, 0, 1, 3]                                                              | | GPS sucess | actual_k=0
       3|[-0.0043536424636841, -0.499981015920639]                                       | 13.1273937225341797|      0.50000000|[14, 0, 2, 5]                                                              |  | used linear model with 5 points | iterate failure | actual_k=0
       4|[-0.1594753861427307, -0.9753095805644989]                                      | 11.1720914840698242|      1.00000000|[19, 0, 2, 6]                                                              | | GPS sucess | actual_k=0
       5|[-0.1594753861427307, -0.9753095805644989]                                      | 11.1720914840698242|      0.50000000|[23, 0, 3, 8]                                                              |  | used linear model with 5 points | iterate failure | actual_k=0
       6|[-0.1594753861427307, -0.9753095805644989]                                      | 11.1720914840698242|      0.25000000|[28, 0, 4, 10]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
       7|[-0.0752376019954681, -0.7399290651082993]                                      |  6.6698393821716309|      0.50000000|[33, 0, 4, 11]                                                             | | GPS sucess | actual_k=0
       8|[-0.0752376019954681, -0.7399290651082993]                                      |  6.6698393821716309|      0.25000000|[37, 0, 5, 13]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
       9|[-0.0752376019954681, -0.7399290651082993]                                      |  6.6698393821716309|      0.12500000|[42, 0, 6, 15]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
      10|[-0.0752376019954681, -0.7399290651082993]                                      |  6.6698393821716309|      0.06250000|[47, 0, 7, 17]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
      11|[-0.0752376019954681, -0.7399290651082993]                                      |  6.6698393821716309|      0.03125000|[52, 0, 8, 19]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
      12|[-0.0549348369240761, -0.7161727994680405]                                      |  6.3629884719848633|      0.06250000|[57, 0, 8, 20]                                                             | | GPS sucess | actual_k=0
