k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, 2.0]                                                                      | 43.3723807176344280|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.4285364747047424, 2.820627450942993]                                         | 14.9446535110473633|      2.00000000|[5, 0, 0, 1]                                                               | | GPS sucess | actual_k=0
       2|[0.4285364747047424, 2.820627450942993]                                         | 14.9446535110473633|      1.00000000|[9, 0, 1, 3]                                                               |  | used linear model with 5 points | iterate failure | actual_k=0
       3|[0.4285364747047424, 2.820627450942993]                                         | 14.9446535110473633|      0.50000000|[14, 0, 2, 5]                                                              |  | used linear model with 5 points | iterate failure | actual_k=0
       4|[-0.0467920303344727, 2.97574919462204]                                         |  9.5932903289794922|      1.00000000|[19, 0, 2, 6]                                                              | | GPS sucess | actual_k=0
       5|[-0.0467920303344727, 2.97574919462204]                                         |  9.5932903289794922|      0.50000000|[23, 0, 3, 8]                                                              |  | used linear model with 5 points | iterate failure | actual_k=0
       6|[-0.0467920303344727, 2.97574919462204]                                         |  9.5932903289794922|      0.25000000|[28, 0, 4, 10]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
       7|[-0.0467920303344727, 2.97574919462204]                                         |  9.5932903289794922|      0.12500000|[33, 0, 5, 12]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
       8|[-0.0467920303344727, 2.97574919462204]                                         |  9.5932903289794922|      0.06250000|[38, 0, 6, 14]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
       9|[-0.0358405765146017, 3.0372822396457195]                                       |  9.5294990539550781|      0.12500000|[43, 0, 6, 15]                                                             | | GPS sucess | actual_k=0
      10|[-0.0358405765146017, 3.0372822396457195]                                       |  9.5294990539550781|      0.06250000|[47, 0, 7, 17]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
      11|[0.0014714617282152, 2.9871418178081512]                                        |  9.5147218704223633|      0.12500000|[52, 0, 7, 18]                                                             | | GPS sucess | actual_k=0
      12|[0.0014714617282152, 2.9871418178081512]                                        |  9.5147218704223633|      0.06250000|[56, 0, 8, 20]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
