k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[20.0, 2.0, 2.0, 2.0, 0.2]                                                      |10940.0863686848952057|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[20.403847604990005, 2.4964714646339417, 2.213611364364624, 2.7374494075775146, 0.231012773513794]|8683.3115234375000000|      2.00000000|[4, 1, 0, 1]                                                               | | GPS sucess | actual_k=1
       2|[19.77659460902214, 1.4887012839317322, 3.5856159925460815, 3.3067522644996643, 0.8510535478591919]|7534.5390625000000000|      4.00000000|[7, 2, 0, 2]                                                               | | GPS sucess | actual_k=1
       3|[18.417274326086044, -1.4508605599403381, 1.6668264865875244, 2.1409587264060974, 1.5369075059890747]|-100000002004087734272.0000000000000000|      8.00000000|[10, 3, 0, 3]                                                              | | GPS sucess | actual_k=1
       4|[18.417274326086044, -1.4508605599403381, 1.6668264865875244, 2.1409587264060974, 1.5369075059890747]|-100000002004087734272.0000000000000000|      4.00000000|[19, 7, 0, 7]                                                              |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 6 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 8 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       5|[18.417274326086044, -1.4508605599403381, 1.6668264865875244, 2.1409587264060974, 1.5369075059890747]|-100000002004087734272.0000000000000000|      2.00000000|[28, 11, 0, 11]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 6 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 8 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       6|[18.417274326086044, -1.4508605599403381, 1.6668264865875244, 2.1409587264060974, 1.5369075059890747]|-100000002004087734272.0000000000000000|      1.00000000|[36, 15, 0, 15]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 6 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       7|[18.417274326086044, -1.4508605599403381, 1.6668264865875244, 2.1409587264060974, 1.5369075059890747]|-100000002004087734272.0000000000000000|      0.50000000|[41, 19, 0, 19]                                                            |  | trying linear partial model with 4 points | trying linear partial model with 6 points | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
       8|[18.417274326086044, -1.4508605599403381, 1.6668264865875244, 2.1409587264060974, 1.5369075059890747]|-100000002004087734272.0000000000000000|      0.25000000|[46, 23, 0, 23]                                                            |  | trying linear partial model with 4 points | trying linear partial model with 5 points | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=1
       9|[18.417274326086044, -1.4508605599403381, 1.6668264865875244, 2.1409587264060974, 1.5369075059890747]|-100000002004087734272.0000000000000000|      0.12500000|[52, 27, 0, 27]                                                            |  | trying linear partial model with 4 points | trying linear partial model with 6 points | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      10|[18.417274326086044, -1.4508605599403381, 1.6668264865875244, 2.1409587264060974, 1.5369075059890747]|-100000002004087734272.0000000000000000|      0.06250000|[57, 32, 0, 32]                                                            |  | trying linear partial model with 4 points | trying linear partial model with 6 points | trying linear partial model with 7 points | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      11|[18.417274326086044, -1.4508605599403381, 1.6668264865875244, 2.1409587264060974, 1.5369075059890747]|-100000002004087734272.0000000000000000|      0.03125000|[62, 36, 0, 36]                                                            |  | trying linear partial model with 4 points | trying linear partial model with 6 points | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      12|[18.417274326086044, -1.4508605599403381, 1.6668264865875244, 2.1409587264060974, 1.5369075059890747]|-100000002004087734272.0000000000000000|      0.01562500|[67, 40, 0, 40]                                                            |  | trying linear partial model with 4 points | trying linear partial model with 5 points | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=1
      13|[18.417274326086044, -1.4508605599403381, 1.6668264865875244, 2.1409587264060974, 1.5369075059890747]|-100000002004087734272.0000000000000000|      0.00781250|[72, 44, 0, 44]                                                            |  | trying linear partial model with 4 points | trying linear partial model with 6 points | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      14|[18.417274326086044, -1.4508605599403381, 1.6668264865875244, 2.1409587264060974, 1.5369075059890747]|-100000002004087734272.0000000000000000|      0.00390625|[78, 48, 0, 48]                                                            |  | trying linear partial model with 4 points | trying linear partial model with 6 points | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      15|[18.417274326086044, -1.4508605599403381, 1.6668264865875244, 2.1409587264060974, 1.5369075059890747]|-100000002004087734272.0000000000000000|      0.00195312|[83, 52, 0, 52]                                                            |  | trying linear partial model with 4 points | trying linear partial model with 6 points | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
