k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]|32160.0000000000000000|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[-0.9667588323354721, -0.9954119180329144, -0.8975330963730812, -0.9342597872018814, -0.9688658192753792, -0.9402261562645435, -0.9960381290875375, -0.976328844204545, -1.0916258692741394, -0.9529539979994297, -0.9378407336771488, -0.9692413806915283, -0.9659313522279263, -0.9824124053120613, -0.886102132499218, -0.9532025568187237, -0.8871380388736725, -1.0088712498545647, -0.9751572944223881, -0.9975891564972699, -0.990609573200345, -1.0466747879981995, -1.0463381558656693, -0.9365772381424904, -0.9887613970786333, -0.9348937794566154, -0.8522481173276901, -1.0397538766264915, -0.9824777022004128, -1.058053620159626, -0.9754290375858545, -0.9661610946059227, -1.0675673931837082, -0.9938660282641649, -1.0742258429527283, -0.9704843256622553, -1.0021432428620756, -1.0265487097203732, -1.078254796564579, -0.9499206207692623, -1.069368027150631, -1.0847187042236328, -0.9901495138183236, -0.9445806555449963, -0.9442273080348969, -1.0512170009315014, -1.020463403314352, -0.985772049985826, -1.060800727456808, -0.9838183652609587, -0.9995825904770754, -0.9284292012453079, -0.9253454878926277, -1.069738358259201, -0.9609788954257965, -0.9778706002980471, -1.0024007074534893, -1.0360639803111553, -0.9593149460852146, -1.0176747236400843, -1.0381989181041718, -0.8838525786995888, -1.0134685449302197, -1.014686287380755, -0.978551410138607, -0.985906332731247, -1.054213996976614, -1.0682156682014465, -0.9624750688672066, -1.0195639822632074, -1.0209965240210295, -1.0059356996789575, -1.023120941594243, -1.0057301316410303, -0.9540067799389362, -0.9134172946214676, -1.019039086997509, -0.981856083497405, -1.0463502407073975, -1.0006374141084962, -0.9893203638494015, -1.0105391824617982, -0.9607450403273106, -0.9785930663347244, -1.0126961702480912, -1.0415228456258774, -1.0598166808485985, -1.0193023066967726, -1.0860806703567505, -1.0816046819090843, -1.0793480947613716, -0.968712143599987, -0.9711301755160093, -1.0000803077491582, -0.9676849395036697, -0.9345061555504799, -1.00079688441474, -0.9734133705496788]|32036.8359375000000000|      2.00000000|[15, 2, 0, 1]                                                              | | GPS sucess | actual_k=2
       2|[-1.0038338898091048, -0.8229260162509535, -1.074560063109305, -0.575505030494813, -1.0862304885033471, -0.7717827659866211, -0.801005875818425, -1.0334438211819312, -1.3206337251348872, -0.9530695096711291, -0.8948419478215661, -0.9335630306601831, -1.2356106745577191, -1.0675646827852545, -0.5194216198372251, -0.8175640665817483, -0.9776955948139462, -1.373724309853849, -0.9727516044895258, -0.6723280165925448, -1.095971977207676, -1.3356552554309373, -1.1606825623666868, -1.165571823756906, -0.8930430829110162, -1.0064658897127896, -0.9196141711472061, -0.8146446426697602, -0.7439202262932594, -1.1759409863558856, -1.232017214972895, -1.0774157970155953, -1.4727831308540242, -0.6036688654962621, -0.8236997935184324, -0.7150792726095432, -1.1188641000839912, -1.1034120486433625, -0.6697932165034453, -0.7483315144253007, -0.7275058183647463, -1.4709568510013815, -0.6947943082425109, -1.0402067982348315, -0.5987246256970604, -1.1391877436200482, -0.9812776399845886, -1.1156601596310012, -1.0491287105430418, -0.9699978980638045, -0.684894037767906, -0.7361680836992367, -1.0450315790093883, -0.8477421430796227, -1.2755134390544265, -0.993769625923549, -1.0490079004563861, -1.0025719669195279, -0.6675895320153502, -1.1055578610933114, -1.2049076632342897, -1.0313043953096703, -0.5798194906884461, -0.8059416395811831, -1.0768397702082073, -0.9179544421720608, -0.8513266500477817, -1.1666776483274652, -0.6390258239978834, -0.8996763362062387, -1.0324041517425324, -0.8993989722566358, -1.202239186903502, -0.8994812340626592, -0.959093381723107, -0.7129880038237926, -0.9661121615049064, -1.3007852077218902, -1.3762757139516864, -1.089763324657375, -1.148175492148376, -0.9310647547349986, -1.197932606071518, -1.0678930364196408, -0.7979565648223842, -0.9301233787632821, -0.9479292022211449, -0.9275079880180449, -0.7862256297798467, -0.8903086744924515, -1.1052167682345466, -1.0268452372380477, -1.0452449346841828, -0.8588229425838902, -1.0598104075689825, -0.9943306714663837, -1.2630810069349718, -1.1803494903476568]|31750.6640625000000000|      4.00000000|[41, 6, 0, 3]                                                              |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta| GPS sucess | actual_k=2
       3|[-1.0208168273042275, -0.8372738296842842, -1.0850174644455632, -0.5809226658770815, -1.0855610968850815, -0.7640773562560736, -0.7854099893864515, -1.0091938416241995, -1.2870532264309298, -0.9095656843759867, -0.8409020666353364, -0.868750971744602, -1.159563510599565, -1.3222294041282738, -0.4200913998611222, -0.7063156778653361, -0.8544257336491033, -1.2383865903837115, -0.8253534434657123, -0.5129276118867461, -0.9246753182125828, -1.1526131936442903, -1.110782829083663, -0.9596566565719253, -0.6760757973696079, -1.0286022717753152, -0.6814800498067167, -0.5664552906659304, -0.7955539627338235, -0.9088270932486736, -0.9560783998723656, -0.7931025463807453, -1.1805621776041106, -1.835536137477492, -0.5171174215614922, -2.2662111770969458, -0.7999266834891405, -0.7790670103318563, -0.3405590906224037, -0.4147283567492962, -0.3900532894963517, -1.1301724053154902, -0.3511914363477599, -0.6942932190283736, -2.77975742734972, -0.7901448679412972, -0.6313965880803305, -0.765409671766837, -0.6989640098088015, -0.6203592633839495, -0.3362055162456286, -0.3888361701823129, -0.6994439928905705, -0.5042666312573403, -0.9344967015534131, -0.6555361955068688, -0.7138591506149881, -0.6707851895739526, -0.6393087613953988, -1.7068932812451023, -0.8846158618603477, -0.7152251452183818, -0.2680969771721096, -1.5679583343306778, -0.7741478752481784, -0.6198772884995238, -0.5578903329513256, -0.8778775145396773, -0.3548262145631565, -0.6200101719451186, -0.757172801692527, -0.6284719716860241, -0.9354541818062423, -0.6366437944649397, -0.699977083399814, -1.5189556654148224, -0.7136306895578506, -1.0511537048039075, -1.1291402958733379, -0.9050498570668994, -0.9048455438348925, -0.6889823899406, -0.9566204574283204, -0.8268439215551798, -0.5566339639921849, -0.8919466371351357, -0.704335672246457, -0.6818614448292345, -0.6468687259878422, -0.6385874669521798, -0.8494229106785056, -0.7662560105623583, -0.7791143868913748, -0.5863829119821671, -0.7802716304035291, -0.7068837884120618, -1.2037546112059738, -0.8745842857104015]|27742.3964843750000000|      8.00000000|[69, 10, 0, 5]                                                             |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta| GPS sucess | actual_k=2
       4|[-1.0208168273042275, -0.8372738296842842, -1.0850174644455632, -0.5809226658770815, -1.0855610968850815, -0.7640773562560736, -0.7854099893864515, -1.0091938416241995, -1.2870532264309298, -0.9095656843759867, -0.8409020666353364, -0.868750971744602, -1.159563510599565, -1.3222294041282738, -0.4200913998611222, -0.7063156778653361, -0.8544257336491033, -1.2383865903837115, -0.8253534434657123, -0.5129276118867461, -0.9246753182125828, -1.1526131936442903, -1.110782829083663, -0.9596566565719253, -0.6760757973696079, -1.0286022717753152, -0.6814800498067167, -0.5664552906659304, -0.7955539627338235, -0.9088270932486736, -0.9560783998723656, -0.7931025463807453, -1.1805621776041106, -1.835536137477492, -0.5171174215614922, -2.2662111770969458, -0.7999266834891405, -0.7790670103318563, -0.3405590906224037, -0.4147283567492962, -0.3900532894963517, -1.1301724053154902, -0.3511914363477599, -0.6942932190283736, -2.77975742734972, -0.7901448679412972, -0.6313965880803305, -0.765409671766837, -0.6989640098088015, -0.6203592633839495, -0.3362055162456286, -0.3888361701823129, -0.6994439928905705, -0.5042666312573403, -0.9344967015534131, -0.6555361955068688, -0.7138591506149881, -0.6707851895739526, -0.6393087613953988, -1.7068932812451023, -0.8846158618603477, -0.7152251452183818, -0.2680969771721096, -1.5679583343306778, -0.7741478752481784, -0.6198772884995238, -0.5578903329513256, -0.8778775145396773, -0.3548262145631565, -0.6200101719451186, -0.757172801692527, -0.6284719716860241, -0.9354541818062423, -0.6366437944649397, -0.699977083399814, -1.5189556654148224, -0.7136306895578506, -1.0511537048039075, -1.1291402958733379, -0.9050498570668994, -0.9048455438348925, -0.6889823899406, -0.9566204574283204, -0.8268439215551798, -0.5566339639921849, -0.8919466371351357, -0.704335672246457, -0.6818614448292345, -0.6468687259878422, -0.6385874669521798, -0.8494229106785056, -0.7662560105623583, -0.7791143868913748, -0.5863829119821671, -0.7802716304035291, -0.7068837884120618, -1.2037546112059738, -0.8745842857104015]|27742.3964843750000000|      4.00000000|[185, 28, 0, 14]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 27 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 40 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 53 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 66 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 79 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 92 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 104 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       5|[-1.0122717742037168, -0.8382440693702998, -1.0878671953052723, -0.5823685668712687, -1.084983018218505, -0.7656797857282, -0.7888377768238723, -1.0096516352887155, -1.2878723269549945, -0.9128592978930835, -0.8447691648038249, -0.871872167975501, -1.161103262852009, -1.3230531100691052, -0.4243935439785126, -0.6663054002351224, -0.8586641033024628, -1.2431490558937779, -0.83221948676871, -0.5178044502514423, -0.9289015462173971, -1.1574728968173766, -1.09627059053665, -0.9639870638777609, -0.6762394280995977, -1.0345314831722074, -0.6909165754096779, -0.5713426014325226, -0.7876977427462565, -0.892636816807996, -0.9611467902175802, -0.8004100962250307, -1.1138248097324923, -1.8424338168021703, -0.5238752302576034, -2.2745678807229903, -0.8074213509347368, -0.7647450425701713, -0.3263365252430894, -0.4215975279556927, -0.3986560581889355, -1.135882579597924, -0.3584444206922883, -0.7027508675538484, -2.7859346602571864, -0.7993452241145679, -0.6247053675922516, -0.772479909527731, -0.7052035185246714, -0.6267497815705064, -0.343201080848278, -0.3915796462412215, -0.7055063492668214, -0.5065252961809525, -0.9376434487320767, -0.6582182183547527, -0.7176319906337788, -0.6694655920575926, -0.6428959855177813, -1.7465184816695722, -0.8828632996855927, -0.7146450077571666, -0.2650147909225142, -1.5023098141563185, -0.7691712424149525, -0.6156731475799684, -0.4480783107503238, -0.9597538671407922, -0.3464242571971317, -0.4867574696311674, -0.7495151810770072, -0.6199621456630734, -0.9248653585665108, -0.6251479056229339, -0.8333497185673193, -1.5070739348751283, -0.5602970549236234, -0.8780168021043548, -1.114552412323539, -1.0217653557520956, 2.8954864009266412, -0.6722761087157118, -0.9395576214522906, -0.8080594142992922, -0.5403308933350821, -0.8762248802945326, -1.4903327833403628, -0.6659271362782695, -0.6285292201827826, -0.6221187145689265, -0.8720352203110161, -0.750051901996952, 0.1111346639066773, -0.5712807973099323, -0.8633855160474955, -0.6951595663698951, -1.1932171469923767, -0.8680239710962876]|27187.7792968750000000|      8.00000000|[225, 34, 0, 17]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 27 points | (iterate failure) trying more points before decreasing delta| GPS sucess | actual_k=2
       6|[-1.0122717742037168, -0.8382440693702998, -1.0878671953052723, -0.5823685668712687, -1.084983018218505, -0.7656797857282, -0.7888377768238723, -1.0096516352887155, -1.2878723269549945, -0.9128592978930835, -0.8447691648038249, -0.871872167975501, -1.161103262852009, -1.3230531100691052, -0.4243935439785126, -0.6663054002351224, -0.8586641033024628, -1.2431490558937779, -0.83221948676871, -0.5178044502514423, -0.9289015462173971, -1.1574728968173766, -1.09627059053665, -0.9639870638777609, -0.6762394280995977, -1.0345314831722074, -0.6909165754096779, -0.5713426014325226, -0.7876977427462565, -0.892636816807996, -0.9611467902175802, -0.8004100962250307, -1.1138248097324923, -1.8424338168021703, -0.5238752302576034, -2.2745678807229903, -0.8074213509347368, -0.7647450425701713, -0.3263365252430894, -0.4215975279556927, -0.3986560581889355, -1.135882579597924, -0.3584444206922883, -0.7027508675538484, -2.7859346602571864, -0.7993452241145679, -0.6247053675922516, -0.772479909527731, -0.7052035185246714, -0.6267497815705064, -0.343201080848278, -0.3915796462412215, -0.7055063492668214, -0.5065252961809525, -0.9376434487320767, -0.6582182183547527, -0.7176319906337788, -0.6694655920575926, -0.6428959855177813, -1.7465184816695722, -0.8828632996855927, -0.7146450077571666, -0.2650147909225142, -1.5023098141563185, -0.7691712424149525, -0.6156731475799684, -0.4480783107503238, -0.9597538671407922, -0.3464242571971317, -0.4867574696311674, -0.7495151810770072, -0.6199621456630734, -0.9248653585665108, -0.6251479056229339, -0.8333497185673193, -1.5070739348751283, -0.5602970549236234, -0.8780168021043548, -1.114552412323539, -1.0217653557520956, 2.8954864009266412, -0.6722761087157118, -0.9395576214522906, -0.8080594142992922, -0.5403308933350821, -0.8762248802945326, -1.4903327833403628, -0.6659271362782695, -0.6285292201827826, -0.6221187145689265, -0.8720352203110161, -0.750051901996952, 0.1111346639066773, -0.5712807973099323, -0.8633855160474955, -0.6951595663698951, -1.1932171469923767, -0.8680239710962876]|27187.7792968750000000|      4.00000000|[338, 52, 0, 26]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 28 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 40 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 53 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 65 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 77 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 89 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 102 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       7|[-1.062658391766467, -0.8348641897769865, -1.0846114163705463, -0.608782232231194, -1.1201313081513653, -0.8075589667020941, -0.8251945514661265, -1.0094840328202732, -1.2546705813360615, -0.8317265652520737, -0.7739101712750144, -0.8842263823709575, -1.163859438208758, -1.3159103208951566, -0.3885847809661006, -0.6559723868456694, -0.7749282929597966, -1.2588473285884845, -0.8424945620171314, -0.5152203718181484, -0.9211374091691567, -1.0917578635596479, -1.0610175293680422, -0.9598137177720417, -0.6377691702387405, -1.0226192137770411, -0.6601218597776124, -0.5404131126640699, -0.8271707544171774, -0.8840408394695123, -0.9485571062221138, -0.8177074534787359, -1.1154007936350148, -1.8108354538895521, -0.572638154075577, -2.3029308820207737, -0.7983347273829917, -0.7559478093005667, -0.3406646068809137, -0.4125197554279372, -0.4622650748459199, -1.156238957249662, -0.4252013018498724, -0.6900815150089037, -2.8082165964205443, -0.8028471311034058, -0.6965781882957125, -0.8245975076329148, -0.7241562612045602, -0.5833428140494222, -0.3702043985589333, -0.4162576945951612, -0.7092553855679355, -0.5221739253933407, -0.9563938393680945, -0.630790614066802, -0.7699284649295833, -0.6924507333890594, -0.6463375185588235, -1.7283834630170056, -0.8313918647078056, -0.7211284481745143, -0.2012991183512711, -1.440924687665, -0.7268347003262795, -0.5592104008093598, -0.3273603725003514, -0.8224119192472983, -0.2707336863449039, -0.3767020710838195, -0.6278549744359636, -0.6459945809942268, -0.7540658979009291, -0.4060811674519169, -0.6024019978483044, -1.3207010764458929, -0.5645489548520566, -0.9038724645015263, -1.1288959278924842, -0.7354448615466309, -0.9611502137855772, -0.4012859581031718, -0.6284766950687785, -0.4859890090682313, -0.8267044946296025, -0.6668311319220628, -1.256683143631312, -0.4498035775372463, -0.4404996773336005, -0.3943185086819105, -0.6983369869890488, -0.5763676534934347, 0.2465361430598325, -0.5170768390214652, -0.7869043410932108, -0.8016592703187327, -1.2624522964642193, -1.0494296663065343]|26211.7382812500000000|      8.00000000|[364, 56, 0, 28]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta| GPS sucess | actual_k=2
       8|[-0.2927163465546749, -1.4331745411487518, -0.984332174570238, -0.5680161197248044, -0.7327285054456005, -0.6207515428720618, -0.1878078122121287, -0.7798185299144276, -1.0866136760664387, -1.2122678004605851, -0.5660100345658011, -0.9755318096242038, -1.0219631009380212, -0.9656384104661557, -0.9477119329321956, -0.3113602950659605, -0.1693849775491826, -1.322833548054217, -1.264320716010738, -0.0428507009502285, -1.0508065688199593, -1.2744196204327787, -1.3857851487394564, -1.0933852829232564, -0.1519804672739578, -0.3722865840964076, -0.4730024801379868, -0.4199762803553007, -0.7628223994815313, -0.3893773029208978, -0.5854690646781532, -0.4434949500455083, -0.420113983236913, -1.3541271716572676, -0.5670449473421119, -2.288606557815256, -1.0105435199502448, -0.4004476476527701, -0.2412171926019296, -0.1648158306528136, 0.2630285018714568, -1.0207915296192376, -0.6019341549048727, -0.8014091780729067, -2.1485286601145446, -0.7632669424117897, -0.7794943512037897, -0.4764689504277146, -1.049322427033265, -0.3738114770266409, 0.1383776570097618, -0.2664731594255598, -1.0594552637837253, -0.4952810621793248, -0.7832683339207068, -0.4084132094962225, -0.07652086977196, -0.6996738659211493, -0.9988934491732949, -1.6439213865914533, -0.2207305964735526, -0.5899829261761088, -0.630081074785521, -1.599994002264037, -1.3104743816655433, -0.7030373325243714, -0.6211709487008367, -1.2357303446642447, -0.5039951523712101, -0.5576647081506606, -1.0709424032441759, -0.4717801284891151, -0.97646815760838, 1.0307544791774166, -0.4351154081065975, -0.9385886926034246, -0.0692810272054196, -0.7574920251008533, -1.3355568393333335, -1.2058488010321808, -1.752347156114984, -0.3994116903974556, -0.2088895895561594, -1.2293072091796204, -0.6515947207553197, -0.3599880001414384, -1.35550240691075, -0.0554623173424679, -0.4863482741746974, -0.1265834148498945, -0.4454826695623673, -1.04451522934869, 0.7091429009390897, -0.4993490672475308, -0.8303282284354254, -0.9963456384265285, -1.998401276318803, -0.080337952878037]|25236.9726562500000000|     16.00000000|[439, 68, 0, 34]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 28 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 40 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 52 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 64 points | (iterate failure) trying more points before decreasing delta| GPS sucess | actual_k=2
       9|[-0.2927163465546749, -1.4331745411487518, -0.984332174570238, -0.5680161197248044, -0.7327285054456005, -0.6207515428720618, -0.1878078122121287, -0.7798185299144276, -1.0866136760664387, -1.2122678004605851, -0.5660100345658011, -0.9755318096242038, -1.0219631009380212, -0.9656384104661557, -0.9477119329321956, -0.3113602950659605, -0.1693849775491826, -1.322833548054217, -1.264320716010738, -0.0428507009502285, -1.0508065688199593, -1.2744196204327787, -1.3857851487394564, -1.0933852829232564, -0.1519804672739578, -0.3722865840964076, -0.4730024801379868, -0.4199762803553007, -0.7628223994815313, -0.3893773029208978, -0.5854690646781532, -0.4434949500455083, -0.420113983236913, -1.3541271716572676, -0.5670449473421119, -2.288606557815256, -1.0105435199502448, -0.4004476476527701, -0.2412171926019296, -0.1648158306528136, 0.2630285018714568, -1.0207915296192376, -0.6019341549048727, -0.8014091780729067, -2.1485286601145446, -0.7632669424117897, -0.7794943512037897, -0.4764689504277146, -1.049322427033265, -0.3738114770266409, 0.1383776570097618, -0.2664731594255598, -1.0594552637837253, -0.4952810621793248, -0.7832683339207068, -0.4084132094962225, -0.07652086977196, -0.6996738659211493, -0.9988934491732949, -1.6439213865914533, -0.2207305964735526, -0.5899829261761088, -0.630081074785521, -1.599994002264037, -1.3104743816655433, -0.7030373325243714, -0.6211709487008367, -1.2357303446642447, -0.5039951523712101, -0.5576647081506606, -1.0709424032441759, -0.4717801284891151, -0.97646815760838, 1.0307544791774166, -0.4351154081065975, -0.9385886926034246, -0.0692810272054196, -0.7574920251008533, -1.3355568393333335, -1.2058488010321808, -1.752347156114984, -0.3994116903974556, -0.2088895895561594, -1.2293072091796204, -0.6515947207553197, -0.3599880001414384, -1.35550240691075, -0.0554623173424679, -0.4863482741746974, -0.1265834148498945, -0.4454826695623673, -1.04451522934869, 0.7091429009390897, -0.4993490672475308, -0.8303282284354254, -0.9963456384265285, -1.998401276318803, -0.080337952878037]|25236.9726562500000000|      8.00000000|[564, 88, 0, 44]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 28 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 40 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 52 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 64 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 76 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 88 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 100 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 112 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      10|[-0.2927163465546749, -1.4331745411487518, -0.984332174570238, -0.5680161197248044, -0.7327285054456005, -0.6207515428720618, -0.1878078122121287, -0.7798185299144276, -1.0866136760664387, -1.2122678004605851, -0.5660100345658011, -0.9755318096242038, -1.0219631009380212, -0.9656384104661557, -0.9477119329321956, -0.3113602950659605, -0.1693849775491826, -1.322833548054217, -1.264320716010738, -0.0428507009502285, -1.0508065688199593, -1.2744196204327787, -1.3857851487394564, -1.0933852829232564, -0.1519804672739578, -0.3722865840964076, -0.4730024801379868, -0.4199762803553007, -0.7628223994815313, -0.3893773029208978, -0.5854690646781532, -0.4434949500455083, -0.420113983236913, -1.3541271716572676, -0.5670449473421119, -2.288606557815256, -1.0105435199502448, -0.4004476476527701, -0.2412171926019296, -0.1648158306528136, 0.2630285018714568, -1.0207915296192376, -0.6019341549048727, -0.8014091780729067, -2.1485286601145446, -0.7632669424117897, -0.7794943512037897, -0.4764689504277146, -1.049322427033265, -0.3738114770266409, 0.1383776570097618, -0.2664731594255598, -1.0594552637837253, -0.4952810621793248, -0.7832683339207068, -0.4084132094962225, -0.07652086977196, -0.6996738659211493, -0.9988934491732949, -1.6439213865914533, -0.2207305964735526, -0.5899829261761088, -0.630081074785521, -1.599994002264037, -1.3104743816655433, -0.7030373325243714, -0.6211709487008367, -1.2357303446642447, -0.5039951523712101, -0.5576647081506606, -1.0709424032441759, -0.4717801284891151, -0.97646815760838, 1.0307544791774166, -0.4351154081065975, -0.9385886926034246, -0.0692810272054196, -0.7574920251008533, -1.3355568393333335, -1.2058488010321808, -1.752347156114984, -0.3994116903974556, -0.2088895895561594, -1.2293072091796204, -0.6515947207553197, -0.3599880001414384, -1.35550240691075, -0.0554623173424679, -0.4863482741746974, -0.1265834148498945, -0.4454826695623673, -1.04451522934869, 0.7091429009390897, -0.4993490672475308, -0.8303282284354254, -0.9963456384265285, -1.998401276318803, -0.080337952878037]|25236.9726562500000000|      4.00000000|[676, 106, 0, 53]                                                          |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 27 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 39 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 52 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 64 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 76 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 88 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 100 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      11|[-0.3304511232899807, -1.4707564692231117, -1.0204790388652438, -0.6016295519235673, -0.7628831583391438, -0.6466844956337119, -0.2089082513433886, -0.8080760917619951, -1.09677495390449, -1.2165772856613777, -0.5643671373063571, -0.9679402188732413, -1.0085219825263014, -0.9465338589422319, -0.923208681394515, -0.2817936680701586, -0.1351531173585526, -1.2843898783774363, -1.22216666837256, 0.0024713149313099, -1.0028932223803593, -1.224519278653785, -1.3345235970612757, -1.041403744389092, -0.0999298693082404, -0.3208220376245734, -0.4227780604547688, -0.3716400389610193, -0.7170116180622541, -0.3467140230000814, -0.5465558705880252, -0.4089109903170289, -0.3904112583479922, -1.3298270788260136, -0.5486350656013034, -2.276537704101684, -1.0052270496662299, -0.4022530102936501, -0.2504697436136708, -0.1817948991704985, 0.2380912949921986, -1.0538693619306294, -0.6432847915361231, -0.8511135882086527, -2.2066159196455657, -0.8297138427795265, -0.8542252317622805, -0.5593558102023042, -1.140185274897893, -0.4724189501020307, 0.0323074439899139, -0.379674829774204, -1.179409074952396, -0.6215613252456166, -0.9154048129408255, -0.5458932896239386, -0.2187919861478832, -0.846146066672454, -1.1489423458436363, -1.7968912833848187, -0.3759379473236579, -0.7467199259262461, -0.7876196079962754, -1.7575898304395818, 2.61359430768077, -0.8584728499546769, -0.7743797111081395, -1.3859503513685751, -0.6504729261568012, -0.6996610024106856, -1.2077381475440645, -0.6026826423507713, -1.1008175878118178, 0.913578430719794, -0.5445443205077969, -1.0397504556754384, -0.1617168490962506, -0.8408120690819286, -1.4094482257230658, -1.270083825186367, -1.806791789539266, -0.4440343389048123, -0.2437700861176867, -1.2389602670826718, -0.6677226889623213, -0.3673757602367367, -1.3547706413271268, -0.047391973237105, -0.4718910921472979, -0.1068727138909273, -0.4218443857285059, -1.0184792071177071, 0.7358313593370742, -0.4739807306593865, -0.8084918880080267, -0.9805047913813453, -1.991283609083369, -0.0849481579472213]|24348.4628906250000000|      8.00000000|[779, 122, 0, 61]                                                          |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 27 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 39 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 52 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 65 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 78 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 90 points | (iterate failure) trying more points before decreasing delta| GPS sucess | actual_k=2
