k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[50.0, 150.0, -100.0, 1.0, 2.0]                                                 |87848.8533334838575684|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[49.3401004076004, 149.67756697535515, -100.41829559206963, 0.6769550144672394, 1.7718468457460403]|85517.6953125000000000|      2.00000000|[15, 2, 0, 1]                                                              | | GPS sucess | actual_k=2
       2|[48.39539498090744, 148.49625965952873, -100.32411131262779, 0.7382227033376694, 1.215094044804573]|82199.7578125000000000|      4.00000000|[29, 4, 0, 2]                                                              | | GPS sucess | actual_k=2
       3|[45.87835639715195, 150.0419245660305, -101.21006181836128, 2.0385910123586655, 0.0998222380876541]|70644.3984375000000000|      8.00000000|[43, 6, 0, 3]                                                              | | GPS sucess | actual_k=2
       4|[39.85429900884628, 149.67085069417953, -103.70575860142708, 0.8044320195913315, 1.159344032406807]|56473.7226562500000000|     16.00000000|[57, 8, 0, 4]                                                              | | GPS sucess | actual_k=2
       5|[43.73342722654343, 152.1612805724144, -109.69166710972786, -11.429803743958473, -5.352177307009697]|-100000002004087734272.0000000000000000|     32.00000000|[71, 10, 0, 5]                                                             | | GPS sucess | actual_k=2
       6|[43.73342722654343, 152.1612805724144, -109.69166710972786, -11.429803743958473, -5.352177307009697]|-100000002004087734272.0000000000000000|     16.00000000|[97, 14, 0, 7]                                                             |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       7|[43.73342722654343, 152.1612805724144, -109.69166710972786, -11.429803743958473, -5.352177307009697]|-100000002004087734272.0000000000000000|      8.00000000|[124, 18, 0, 9]                                                            |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       8|[43.73342722654343, 152.1612805724144, -109.69166710972786, -11.429803743958473, -5.352177307009697]|-100000002004087734272.0000000000000000|      4.00000000|[151, 22, 0, 11]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       9|[43.73342722654343, 152.1612805724144, -109.69166710972786, -11.429803743958473, -5.352177307009697]|-100000002004087734272.0000000000000000|      2.00000000|[177, 26, 0, 13]                                                           |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      10|[43.73342722654343, 152.1612805724144, -109.69166710972786, -11.429803743958473, -5.352177307009697]|-100000002004087734272.0000000000000000|      1.00000000|[202, 30, 0, 15]                                                           |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      11|[43.73342722654343, 152.1612805724144, -109.69166710972786, -11.429803743958473, -5.352177307009697]|-100000002004087734272.0000000000000000|      0.50000000|[228, 34, 0, 17]                                                           |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      12|[43.73342722654343, 152.1612805724144, -109.69166710972786, -11.429803743958473, -5.352177307009697]|-100000002004087734272.0000000000000000|      0.25000000|[253, 38, 0, 19]                                                           |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      13|[43.73342722654343, 152.1612805724144, -109.69166710972786, -11.429803743958473, -5.352177307009697]|-100000002004087734272.0000000000000000|      0.12500000|[278, 42, 0, 21]                                                           |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      14|[43.73342722654343, 152.1612805724144, -109.69166710972786, -11.429803743958473, -5.352177307009697]|-100000002004087734272.0000000000000000|      0.06250000|[303, 46, 0, 23]                                                           |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      15|[43.73342722654343, 152.1612805724144, -109.69166710972786, -11.429803743958473, -5.352177307009697]|-100000002004087734272.0000000000000000|      0.03125000|[328, 50, 0, 25]                                                           |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      16|[43.73342722654343, 152.1612805724144, -109.69166710972786, -11.429803743958473, -5.352177307009697]|-100000002004087734272.0000000000000000|      0.01562500|[353, 54, 0, 27]                                                           |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      17|[43.73342722654343, 152.1612805724144, -109.69166710972786, -11.429803743958473, -5.352177307009697]|-100000002004087734272.0000000000000000|      0.00781250|[378, 58, 0, 29]                                                           |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      18|[43.73342722654343, 152.1612805724144, -109.69166710972786, -11.429803743958473, -5.352177307009697]|-100000002004087734272.0000000000000000|      0.00390625|[403, 62, 0, 31]                                                           |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      19|[43.73342722654343, 152.1612805724144, -109.69166710972786, -11.429803743958473, -5.352177307009697]|-100000002004087734272.0000000000000000|      0.00195312|[429, 66, 0, 33]                                                           |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      20|[43.73342722654343, 152.1612805724144, -109.69166710972786, -11.429803743958473, -5.352177307009697]|-100000002004087734272.0000000000000000|      0.00097656|[454, 70, 0, 35]                                                           |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      21|[43.73342722654343, 152.1612805724144, -109.69166710972786, -11.429803743958473, -5.352177307009697]|-100000002004087734272.0000000000000000|      0.00048828|[480, 74, 0, 37]                                                           |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      22|[43.73342722654343, 152.1612805724144, -109.69166710972786, -11.429803743958473, -5.352177307009697]|-100000002004087734272.0000000000000000|      0.00024414|[505, 78, 0, 39]                                                           |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      23|[43.73342722654343, 152.1612805724144, -109.69166710972786, -11.429803743958473, -5.352177307009697]|-100000002004087734272.0000000000000000|      0.00012207|[530, 82, 0, 41]                                                           |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      24|[43.73342722654343, 152.1612805724144, -109.69166710972786, -11.429803743958473, -5.352177307009697]|-100000002004087734272.0000000000000000|      0.00006104|[555, 86, 0, 43]                                                           |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      25|[43.73342722654343, 152.1612805724144, -109.69166710972786, -11.429803743958473, -5.352177307009697]|-100000002004087734272.0000000000000000|      0.00003052|[580, 90, 0, 45]                                                           |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      26|[43.73342722654343, 152.1612805724144, -109.69166710972786, -11.429803743958473, -5.352177307009697]|-100000002004087734272.0000000000000000|      0.00001526|[605, 94, 0, 47]                                                           |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
