k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, 5.0]                                                                      |149.7192190771219771|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.1218428686261177, 4.425019383430481]                                         | 82.4078292846679688|      2.00000000|[5, 0, 0, 1]                                                               | | GPS sucess | actual_k=0
       2|[1.2546051815152168, 2.78726327419281]                                          |  0.5146235823631287|      4.00000000|[9, 0, 0, 2]                                                               | | GPS sucess | actual_k=0
       3|[1.2546051815152168, 2.78726327419281]                                          |  0.5146235823631287|      2.00000000|[13, 0, 1, 4]                                                              |  | used linear model with 5 points | iterate failure | actual_k=0
       4|[1.2546051815152168, 2.78726327419281]                                          |  0.5146235823631287|      1.00000000|[18, 0, 2, 6]                                                              |  | used linear model with 5 points | iterate failure | actual_k=0
       5|[1.2546051815152168, 2.78726327419281]                                          |  0.5146235823631287|      0.50000000|[23, 0, 3, 8]                                                              |  | used linear model with 5 points | iterate failure | actual_k=0
       6|[1.2546051815152168, 2.78726327419281]                                          |  0.5146235823631287|      0.25000000|[28, 0, 4, 10]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
       7|[1.2189884781837463, 2.840889845043421]                                         |  0.4581215381622314|      0.50000000|[33, 0, 4, 11]                                                             | | GPS sucess | actual_k=0
       8|[1.2189884781837463, 2.840889845043421]                                         |  0.4581215381622314|      0.25000000|[37, 0, 5, 13]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
       9|[1.2189884781837463, 2.840889845043421]                                         |  0.4581215381622314|      0.12500000|[42, 0, 6, 15]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
      10|[1.2189884781837463, 2.840889845043421]                                         |  0.4581215381622314|      0.06250000|[47, 0, 7, 17]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
      11|[1.1968665439635515, 2.852582475170493]                                         |  0.4571810364723206|      0.12500000|[52, 0, 7, 18]                                                             | | GPS sucess | actual_k=0
      12|[1.1993095157667994, 2.8536693203495815]                                        |  0.4516021311283112|      0.25000000|[56, 0, 7, 19]                                                             | | GPS sucess | actual_k=0
      13|[1.1993095157667994, 2.8536693203495815]                                        |  0.4516021311283112|      0.12500000|[60, 0, 8, 21]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
