k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[-0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8]|626.0639857227841958|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[-0.8159559063613415, -0.8179331842809916, -0.8197617784142495, -0.8214571319520474, -0.8230339039117098, -0.824505963549018, -0.8258864182978869, -0.8660201907157898, -0.8284212660044432, -0.829598230496049, -0.8307287741452456, -0.8318224653601647, -0.8328882150352002, -0.8339342951774598, -0.8349683687090874, -0.8359974689781666, -0.8370280742645264, -0.8380660779774189, -0.8391168221831322, -0.8401851236820221, -0.8412752851843834, -0.8423910990357399, -0.8435358993709088, -0.844712532311678, -0.8459234155714512, -0.8471705421805382, -0.8484554842114449, -0.8497794300317765, -0.8511431880295277, -0.8525472164154053, -0.8539916269481183, -0.8554762184619904, -0.8570004768669606, -0.8585636049509049, -0.8005234304699116, -0.8618019662797451, -0.863474327325821, -0.8651798695325852, -0.8669166222214699, -0.8686824247241021, -0.870474997162819, -0.8722918659448624, -0.8741304531693459, -0.8759880691766739, -0.8778619199991227, -0.8797491520643235, -0.881646852195263, -0.8835520476102829, -0.8854617729783059, -0.8873730331659317, -0.8892828553915024, -0.8911882892251015, -0.8930864587426186, -0.8949745178222657, -0.896849724650383, -0.8987094417214394, -0.9005511209368706, -0.9023723930120469, -0.9041710078716279, -0.9059449017047883, -0.9076921969652176, -0.9094112098217011, -0.911100509762764, -0.9127588748931885, -0.9143853664398194, -0.9159793063998223, -0.9175403147935868, -0.9190683394670487, -0.9205636262893677, -0.922026801109314, -0.9234588325023652, -0.9248610764741898, -0.9262352913618088, -0.9275836527347565, -0.9289087533950806, -0.9302136927843094, -0.9315019726753235, -0.9327776163816452, -0.9340451538562775, -0.935309636592865, -0.9365766376256943, -0.9378523260354996, -0.9391434073448182, -0.9404571831226349, -0.9418016105890274, -0.9431852281093598, -0.9446172595024109, -0.9461075246334076, -0.9476666033267975, -0.9493057161569596, -0.9510368436574936, -0.9528726667165757, -0.9548266410827637, -0.9569129824638367, -0.9591466814279557, -0.9615435630083085, -0.964120227098465, -0.9668941825628281, -0.9698837131261826, -0.9731080412864686]|471.5244750976562500|      2.00000000|[15, 2, 0, 1]                                                              | | GPS sucess | actual_k=2
       2|[-0.8159559063613415, -0.8179331842809916, -0.8197617784142495, -0.8214571319520474, -0.8230339039117098, -0.824505963549018, -0.8258864182978869, -0.8660201907157898, -0.8284212660044432, -0.829598230496049, -0.8307287741452456, -0.8318224653601647, -0.8328882150352002, -0.8339342951774598, -0.8349683687090874, -0.8359974689781666, -0.8370280742645264, -0.8380660779774189, -0.8391168221831322, -0.8401851236820221, -0.8412752851843834, -0.8423910990357399, -0.8435358993709088, -0.844712532311678, -0.8459234155714512, -0.8471705421805382, -0.8484554842114449, -0.8497794300317765, -0.8511431880295277, -0.8525472164154053, -0.8539916269481183, -0.8554762184619904, -0.8570004768669606, -0.8585636049509049, -0.8005234304699116, -0.8618019662797451, -0.863474327325821, -0.8651798695325852, -0.8669166222214699, -0.8686824247241021, -0.870474997162819, -0.8722918659448624, -0.8741304531693459, -0.8759880691766739, -0.8778619199991227, -0.8797491520643235, -0.881646852195263, -0.8835520476102829, -0.8854617729783059, -0.8873730331659317, -0.8892828553915024, -0.8911882892251015, -0.8930864587426186, -0.8949745178222657, -0.896849724650383, -0.8987094417214394, -0.9005511209368706, -0.9023723930120469, -0.9041710078716279, -0.9059449017047883, -0.9076921969652176, -0.9094112098217011, -0.911100509762764, -0.9127588748931885, -0.9143853664398194, -0.9159793063998223, -0.9175403147935868, -0.9190683394670487, -0.9205636262893677, -0.922026801109314, -0.9234588325023652, -0.9248610764741898, -0.9262352913618088, -0.9275836527347565, -0.9289087533950806, -0.9302136927843094, -0.9315019726753235, -0.9327776163816452, -0.9340451538562775, -0.935309636592865, -0.9365766376256943, -0.9378523260354996, -0.9391434073448182, -0.9404571831226349, -0.9418016105890274, -0.9431852281093598, -0.9446172595024109, -0.9461075246334076, -0.9476666033267975, -0.9493057161569596, -0.9510368436574936, -0.9528726667165757, -0.9548266410827637, -0.9569129824638367, -0.9591466814279557, -0.9615435630083085, -0.964120227098465, -0.9668941825628281, -0.9698837131261826, -0.9731080412864686]|471.5244750976562500|      1.00000000|[138, 22, 0, 11]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 27 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 39 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 51 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 63 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 75 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 87 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 99 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 112 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       3|[-0.831911812722683, -0.8358663685619832, -0.8395235568284989, -0.8429142639040947, -0.8460678078234196, -0.8490119270980359, -0.8517728365957737, -0.8932078305631876, -0.8568425320088864, -0.8591964609920979, -0.8614575482904911, -0.8636449307203293, -0.8657764300704003, -0.8678685903549195, -0.8699367374181748, -0.8719949379563332, -0.8740561485290528, -0.8761321559548378, -0.8782336443662644, -0.8803702473640442, -0.8825505703687668, -0.8847821980714798, -0.8870717987418175, -0.8894250646233559, -0.8918468311429024, -0.8943410843610764, -0.8969109684228898, -0.8995588600635529, -0.9022863760590554, -0.9050944328308106, -0.9240387372672558, -0.9109524369239808, -0.9140009537339211, -0.9171272099018097, -0.8606879714759998, -0.9236039325594902, -0.9269486546516419, -0.9303597390651703, -0.9338332444429398, -0.9373648494482041, -0.9409499943256379, -0.9445837318897248, -0.9482609063386918, -0.9519761383533478, -0.9557238399982453, -0.9594983041286469, -0.9632937043905259, -0.8129160583019257, -0.9709235459566117, -0.9747460663318634, -0.9785657107830048, -0.982376578450203, -0.9861729174852372, -0.9899490356445313, -0.993699449300766, -0.9974188834428788, -1.0011022418737412, -1.0047447860240937, -1.0083420157432557, -1.0118898034095765, -1.0153843939304352, -1.0188224196434021, -1.022201019525528, -1.025517749786377, -1.0287707328796387, -1.0319586127996445, -1.0350806295871735, -1.0381366789340973, -1.0411272525787354, -1.044053602218628, -1.0469176650047303, -1.0497221529483796, -1.0524705827236176, -1.055167305469513, -1.0578175067901612, -1.0604273855686188, -1.063003945350647, -1.0655552327632904, -1.068090307712555, -1.07061927318573, -1.0731532752513886, -1.0757046520709992, -1.0782868146896363, -1.0809143662452698, -1.0836032211780549, -1.0863704562187195, -1.0892345190048218, -1.0922150492668152, -1.095333206653595, -1.0986114323139191, -1.1020736873149872, -1.1057453334331513, -1.1096532821655274, -1.1138259649276734, -1.1182933628559113, -1.1230871260166169, -1.12824045419693, -1.1337883651256562, -1.1397674262523652, -1.146216082572937]|468.6520690917968750|      2.00000000|[165, 26, 0, 13]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta| GPS sucess | actual_k=2
       4|[-0.831911812722683, -0.8358663685619832, -0.8395235568284989, -0.8429142639040947, -0.8460678078234196, -0.8490119270980359, -0.8517728365957737, -0.8932078305631876, -0.8568425320088864, -0.8591964609920979, -0.8614575482904911, -0.8636449307203293, -0.8657764300704003, -0.8678685903549195, -0.8699367374181748, -0.8719949379563332, -0.8740561485290528, -0.8761321559548378, -0.8782336443662644, -0.8803702473640442, -0.8825505703687668, -0.8847821980714798, -0.8870717987418175, -0.8894250646233559, -0.8918468311429024, -0.8943410843610764, -0.8969109684228898, -0.8995588600635529, -0.9022863760590554, -0.9050944328308106, -0.9240387372672558, -0.9109524369239808, -0.9140009537339211, -0.9171272099018097, -0.8606879714759998, -0.9236039325594902, -0.9269486546516419, -0.9303597390651703, -0.9338332444429398, -0.9373648494482041, -0.9409499943256379, -0.9445837318897248, -0.9482609063386918, -0.9519761383533478, -0.9557238399982453, -0.9594983041286469, -0.9632937043905259, -0.8129160583019257, -0.9709235459566117, -0.9747460663318634, -0.9785657107830048, -0.982376578450203, -0.9861729174852372, -0.9899490356445313, -0.993699449300766, -0.9974188834428788, -1.0011022418737412, -1.0047447860240937, -1.0083420157432557, -1.0118898034095765, -1.0153843939304352, -1.0188224196434021, -1.022201019525528, -1.025517749786377, -1.0287707328796387, -1.0319586127996445, -1.0350806295871735, -1.0381366789340973, -1.0411272525787354, -1.044053602218628, -1.0469176650047303, -1.0497221529483796, -1.0524705827236176, -1.055167305469513, -1.0578175067901612, -1.0604273855686188, -1.063003945350647, -1.0655552327632904, -1.068090307712555, -1.07061927318573, -1.0731532752513886, -1.0757046520709992, -1.0782868146896363, -1.0809143662452698, -1.0836032211780549, -1.0863704562187195, -1.0892345190048218, -1.0922150492668152, -1.095333206653595, -1.0986114323139191, -1.1020736873149872, -1.1057453334331513, -1.1096532821655274, -1.1138259649276734, -1.1182933628559113, -1.1230871260166169, -1.12824045419693, -1.1337883651256562, -1.1397674262523652, -1.146216082572937]|468.6520690917968750|      1.00000000|[280, 44, 0, 22]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 28 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 41 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 53 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 66 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 78 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 90 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 103 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       5|[-0.8748070701956749, -0.8844206660985947, -0.893375787138939, -0.9017249263823033, -0.9095178835093976, -0.916801779717207, -0.9236211471259594, -0.9688505280762911, -0.9360317878425122, -0.9416996829211712, -0.947056419402361, -0.9521344184875489, -0.9569639220833779, -0.9615729406476021, -0.9659874320030213, -0.9702312231063843, -0.9743262112140656, -0.9782923191785813, -0.9821476146578789, -0.9859083324670792, -0.9895889788866044, -0.9932023391127587, -0.996759581565857, -0.9527645215392113, -1.0037424966692925, -1.0071828842163086, -1.0105966433882714, -1.013987670838833, -1.017358559370041, -1.0207107469439507, -1.0400999329984189, -1.0273588478565217, -1.0306520342826844, -1.0339211702346802, -0.9775213900837116, -1.0403713911771775, -1.0435424253344536, -1.0466694861650467, -1.0497457340359688, -1.052763718366623, -1.0557155042886734, -1.0585925832390786, -1.0613860592246056, -1.0640866562724114, -1.0666847705841065, -1.069170567393303, -1.071534025669098, -0.9195769086480141, -1.0758531272411347, -1.0777883037924767, -1.079560275375843, -1.0811589315533638, -1.0825743854045868, -1.0837969213724137, -1.0848171442747117, -1.085626009106636, -1.086214828491211, -1.086575473845005, -1.0867002934217453, -1.0865822166204453, -1.0862148508429528, -1.0855924740433693, -1.0847101986408234, -1.0835639044642449, -1.0821504026651383, -1.0804674282670022, -1.0785137332975865, -1.07628917619586, -0.9444735676050187, -1.0710324209183455, -1.0680057920515538, -1.0647195039317012, -1.0611796446144581, -1.0573937317356468, -1.0533707418479026, -1.0491213101893664, -1.0446575481444598, -1.0399933077394963, -1.035144179314375, -1.0301275357604027, -1.024962566047907, -1.019670455902815, -1.0142742797732354, -1.00879914611578, -1.0032723501324654, -0.9977232471108437, -0.9921834871172905, -0.9866868510842324, -0.9812696158885956, -0.9759703308343888, -0.9708300858736039, -0.9658924371004105, -0.9612035483121872, -0.9568121612071991, -0.9527697741985321, -0.9491305977106095, -0.9459516435861588, -0.9432929039001465, -0.9412171572446824, -0.9397902518510819]|434.9241638183593750|      2.00000000|[331, 52, 0, 26]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 28 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 40 points | (iterate failure) trying more points before decreasing delta| GPS sucess | actual_k=2
       6|[-0.8748070701956749, -0.8844206660985947, -0.893375787138939, -0.9017249263823033, -0.9095178835093976, -0.916801779717207, -0.9236211471259594, -0.9688505280762911, -0.9360317878425122, -0.9416996829211712, -0.947056419402361, -0.9521344184875489, -0.9569639220833779, -0.9615729406476021, -0.9659874320030213, -0.9702312231063843, -0.9743262112140656, -0.9782923191785813, -0.9821476146578789, -0.9859083324670792, -0.9895889788866044, -0.9932023391127587, -0.996759581565857, -0.9527645215392113, -1.0037424966692925, -1.0071828842163086, -1.0105966433882714, -1.013987670838833, -1.017358559370041, -1.0207107469439507, -1.0400999329984189, -1.0273588478565217, -1.0306520342826844, -1.0339211702346802, -0.9775213900837116, -1.0403713911771775, -1.0435424253344536, -1.0466694861650467, -1.0497457340359688, -1.052763718366623, -1.0557155042886734, -1.0585925832390786, -1.0613860592246056, -1.0640866562724114, -1.0666847705841065, -1.069170567393303, -1.071534025669098, -0.9195769086480141, -1.0758531272411347, -1.0777883037924767, -1.079560275375843, -1.0811589315533638, -1.0825743854045868, -1.0837969213724137, -1.0848171442747117, -1.085626009106636, -1.086214828491211, -1.086575473845005, -1.0867002934217453, -1.0865822166204453, -1.0862148508429528, -1.0855924740433693, -1.0847101986408234, -1.0835639044642449, -1.0821504026651383, -1.0804674282670022, -1.0785137332975865, -1.07628917619586, -0.9444735676050187, -1.0710324209183455, -1.0680057920515538, -1.0647195039317012, -1.0611796446144581, -1.0573937317356468, -1.0533707418479026, -1.0491213101893664, -1.0446575481444598, -1.0399933077394963, -1.035144179314375, -1.0301275357604027, -1.024962566047907, -1.019670455902815, -1.0142742797732354, -1.00879914611578, -1.0032723501324654, -0.9977232471108437, -0.9921834871172905, -0.9866868510842324, -0.9812696158885956, -0.9759703308343888, -0.9708300858736039, -0.9658924371004105, -0.9612035483121872, -0.9568121612071991, -0.9527697741985321, -0.9491305977106095, -0.9459516435861588, -0.9432929039001465, -0.9412171572446824, -0.9397902518510819]|434.9241638183593750|      1.00000000|[443, 70, 0, 35]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 27 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 40 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 52 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 64 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 77 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 89 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 101 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       7|[-0.8748070701956749, -0.8844206660985947, -0.893375787138939, -0.9017249263823033, -0.9095178835093976, -0.916801779717207, -0.9236211471259594, -0.9688505280762911, -0.9360317878425122, -0.9416996829211712, -0.947056419402361, -0.9521344184875489, -0.9569639220833779, -0.9615729406476021, -0.9659874320030213, -0.9702312231063843, -0.9743262112140656, -0.9782923191785813, -0.9821476146578789, -0.9859083324670792, -0.9895889788866044, -0.9932023391127587, -0.996759581565857, -0.9527645215392113, -1.0037424966692925, -1.0071828842163086, -1.0105966433882714, -1.013987670838833, -1.017358559370041, -1.0207107469439507, -1.0400999329984189, -1.0273588478565217, -1.0306520342826844, -1.0339211702346802, -0.9775213900837116, -1.0403713911771775, -1.0435424253344536, -1.0466694861650467, -1.0497457340359688, -1.052763718366623, -1.0557155042886734, -1.0585925832390786, -1.0613860592246056, -1.0640866562724114, -1.0666847705841065, -1.069170567393303, -1.071534025669098, -0.9195769086480141, -1.0758531272411347, -1.0777883037924767, -1.079560275375843, -1.0811589315533638, -1.0825743854045868, -1.0837969213724137, -1.0848171442747117, -1.085626009106636, -1.086214828491211, -1.086575473845005, -1.0867002934217453, -1.0865822166204453, -1.0862148508429528, -1.0855924740433693, -1.0847101986408234, -1.0835639044642449, -1.0821504026651383, -1.0804674282670022, -1.0785137332975865, -1.07628917619586, -0.9444735676050187, -1.0710324209183455, -1.0680057920515538, -1.0647195039317012, -1.0611796446144581, -1.0573937317356468, -1.0533707418479026, -1.0491213101893664, -1.0446575481444598, -1.0399933077394963, -1.035144179314375, -1.0301275357604027, -1.024962566047907, -1.019670455902815, -1.0142742797732354, -1.00879914611578, -1.0032723501324654, -0.9977232471108437, -0.9921834871172905, -0.9866868510842324, -0.9812696158885956, -0.9759703308343888, -0.9708300858736039, -0.9658924371004105, -0.9612035483121872, -0.9568121612071991, -0.9527697741985321, -0.9491305977106095, -0.9459516435861588, -0.9432929039001465, -0.9412171572446824, -0.9397902518510819]|434.9241638183593750|      0.50000000|[567, 90, 0, 45]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 27 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 40 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 52 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 64 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 76 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 88 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 100 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 112 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       8|[-0.9142341159284115, -0.9285375468432904, -0.9417001597583294, -0.9537939570844174, -0.9648877263069153, -0.9750470809638501, -0.9843345686793328, -1.0316422704607249, -1.0005291096866131, -1.0075464837253094, -1.0139127664268017, -1.01967613697052, -1.0248821705579758, -1.02957381606102, -1.0337915673851967, -1.0375734001398087, -1.040954987704754, -1.043969701230526, -1.0466486543416977, -1.0509331181645394, -1.0511131837964058, -1.0529505528509617, -1.0545559145510197, -1.0084445916116238, -1.0571531534194947, -1.0581819221377373, -1.0590525709092617, -1.059779442101717, -1.0603753544390202, -1.0608517445623875, -1.0772740945219994, -1.061484730988741, -1.06165758818388, -1.0617435734719038, -1.0021068736794405, -1.0616750933229924, -1.0615282461047173, -1.0613099534064532, -1.061021887883544, -1.060665001347661, -1.0602396639995277, -1.0597455884097144, -1.0591820254456252, -1.0585477833636106, -1.0578412909060717, -1.0570607084780932, -1.056203979253769, -0.9010808162391186, -1.0542530726641417, -1.0531543243676424, -1.051970373094082, -1.0506991047412158, -1.049338671565056, -1.0478874437510968, -1.0463441826403141, -1.0447080723941327, -1.0429787293076516, -1.0411564439535141, -1.03924208432436, -1.0372372187674046, -1.0351442240178585, -1.0329663038253785, -1.030707634240389, -1.0283733375370503, -1.025969634950161, -1.023503865301609, -1.0209845893085003, -1.0184216864407063, -0.8886587090790272, -1.0132111135870219, -1.0105902209877968, -1.0079793130978942, -1.0053957358002663, -1.002858521603048, -1.0003884785808623, -0.9980083677917719, -0.9957427356392146, -0.9936182044446469, -0.9916634626686573, -0.9899093426764012, -0.9883888468146325, -0.9871373429894448, -0.9861924789845944, -0.9855943258851767, -0.9853855513036252, -0.9856113011017442, -0.9863194396719337, -0.9875604103552178, -0.9893875999376178, -0.9918571330606938, -0.9950281485915184, -0.9989627406001091, -1.0037261053919793, -1.00938653126359, -1.0160155773162842, -1.0236880585551262, -1.0324821129441262, -1.0424794360995293, -1.0537650763988495, -1.0664277255535126]|423.9191894531250000|      1.00000000|[643, 102, 0, 51]                                                          |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 27 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 40 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 52 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 64 points | (iterate failure) trying more points before decreasing delta| GPS sucess | actual_k=2
       9|[-0.9142341159284115, -0.9285375468432904, -0.9417001597583294, -0.9537939570844174, -0.9648877263069153, -0.9750470809638501, -0.9843345686793328, -1.0316422704607249, -1.0005291096866131, -1.0075464837253094, -1.0139127664268017, -1.01967613697052, -1.0248821705579758, -1.02957381606102, -1.0337915673851967, -1.0375734001398087, -1.040954987704754, -1.043969701230526, -1.0466486543416977, -1.0509331181645394, -1.0511131837964058, -1.0529505528509617, -1.0545559145510197, -1.0084445916116238, -1.0571531534194947, -1.0581819221377373, -1.0590525709092617, -1.059779442101717, -1.0603753544390202, -1.0608517445623875, -1.0772740945219994, -1.061484730988741, -1.06165758818388, -1.0617435734719038, -1.0021068736794405, -1.0616750933229924, -1.0615282461047173, -1.0613099534064532, -1.061021887883544, -1.060665001347661, -1.0602396639995277, -1.0597455884097144, -1.0591820254456252, -1.0585477833636106, -1.0578412909060717, -1.0570607084780932, -1.056203979253769, -0.9010808162391186, -1.0542530726641417, -1.0531543243676424, -1.051970373094082, -1.0506991047412158, -1.049338671565056, -1.0478874437510968, -1.0463441826403141, -1.0447080723941327, -1.0429787293076516, -1.0411564439535141, -1.03924208432436, -1.0372372187674046, -1.0351442240178585, -1.0329663038253785, -1.030707634240389, -1.0283733375370503, -1.025969634950161, -1.023503865301609, -1.0209845893085003, -1.0184216864407063, -0.8886587090790272, -1.0132111135870219, -1.0105902209877968, -1.0079793130978942, -1.0053957358002663, -1.002858521603048, -1.0003884785808623, -0.9980083677917719, -0.9957427356392146, -0.9936182044446469, -0.9916634626686573, -0.9899093426764012, -0.9883888468146325, -0.9871373429894448, -0.9861924789845944, -0.9855943258851767, -0.9853855513036252, -0.9856113011017442, -0.9863194396719337, -0.9875604103552178, -0.9893875999376178, -0.9918571330606938, -0.9950281485915184, -0.9989627406001091, -1.0037261053919793, -1.00938653126359, -1.0160155773162842, -1.0236880585551262, -1.0324821129441262, -1.0424794360995293, -1.0537650763988495, -1.0664277255535126]|423.9191894531250000|      0.50000000|[756, 120, 0, 60]                                                          |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 27 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 40 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 52 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 64 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 77 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 90 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 102 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      10|[-0.9142341159284115, -0.9285375468432904, -0.9417001597583294, -0.9537939570844174, -0.9648877263069153, -0.9750470809638501, -0.9843345686793328, -1.0316422704607249, -1.0005291096866131, -1.0075464837253094, -1.0139127664268017, -1.01967613697052, -1.0248821705579758, -1.02957381606102, -1.0337915673851967, -1.0375734001398087, -1.040954987704754, -1.043969701230526, -1.0466486543416977, -1.0509331181645394, -1.0511131837964058, -1.0529505528509617, -1.0545559145510197, -1.0084445916116238, -1.0571531534194947, -1.0581819221377373, -1.0590525709092617, -1.059779442101717, -1.0603753544390202, -1.0608517445623875, -1.0772740945219994, -1.061484730988741, -1.06165758818388, -1.0617435734719038, -1.0021068736794405, -1.0616750933229924, -1.0615282461047173, -1.0613099534064532, -1.061021887883544, -1.060665001347661, -1.0602396639995277, -1.0597455884097144, -1.0591820254456252, -1.0585477833636106, -1.0578412909060717, -1.0570607084780932, -1.056203979253769, -0.9010808162391186, -1.0542530726641417, -1.0531543243676424, -1.051970373094082, -1.0506991047412158, -1.049338671565056, -1.0478874437510968, -1.0463441826403141, -1.0447080723941327, -1.0429787293076516, -1.0411564439535141, -1.03924208432436, -1.0372372187674046, -1.0351442240178585, -1.0329663038253785, -1.030707634240389, -1.0283733375370503, -1.025969634950161, -1.023503865301609, -1.0209845893085003, -1.0184216864407063, -0.8886587090790272, -1.0132111135870219, -1.0105902209877968, -1.0079793130978942, -1.0053957358002663, -1.002858521603048, -1.0003884785808623, -0.9980083677917719, -0.9957427356392146, -0.9936182044446469, -0.9916634626686573, -0.9899093426764012, -0.9883888468146325, -0.9871373429894448, -0.9861924789845944, -0.9855943258851767, -0.9853855513036252, -0.9856113011017442, -0.9863194396719337, -0.9875604103552178, -0.9893875999376178, -0.9918571330606938, -0.9950281485915184, -0.9989627406001091, -1.0037261053919793, -1.00938653126359, -1.0160155773162842, -1.0236880585551262, -1.0324821129441262, -1.0424794360995293, -1.0537650763988495, -1.0664277255535126]|423.9191894531250000|      0.25000000|[869, 138, 0, 69]                                                          |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 28 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 40 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 52 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 64 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 77 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 89 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 102 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      11|[-0.6671689443290234, -0.9375960856676102, -0.9511514866724611, -0.9634713420644403, -0.9746416538953782, -0.9847443655133248, -0.9938574891537428, -1.0408877266570926, -1.0094077970832587, -1.0159820878878236, -1.021841175109148, -1.0270446731708944, -1.031648847926408, -1.035706607811153, -1.0392676998861134, -1.0423786632716656, -1.0450830661691726, -1.0474215235561133, -1.0494317637756467, -1.0530610610265285, -1.0526049186708406, -1.0538298785220832, -1.0548509175830987, -1.0081871137488634, -1.0563782781362534, -1.0569274810375646, -1.0573586691869423, -1.0576880038250238, -1.0579296873882413, -1.0580961245112122, -1.0742533683776856, -1.0582439405377955, -1.0582416131626815, -1.0581967930309475, -0.9984728485695087, -1.0579962669406087, -1.0578456653282047, -1.0576630089897663, -1.0574480739422143, -1.0576364441774786, -1.0569159236736596, -1.0565939727937803, -1.056230430211872, -1.0558212992735208, -1.0553620808757842, -1.0548479028046132, -1.0542735922615976, -0.8994456813205034, -1.0529227969935164, -1.052135263523087, -1.051265624538064, -1.0503085213538725, -1.0492588942841394, -1.0481119541043882, -1.0468633744865656, -1.0455093432217837, -1.0440465912222863, -1.0424726539757103, -1.0407857939833776, -1.0389851439511404, -1.037070833449252, -1.0350440276786685, -1.0329070917330683, -1.0306635845452548, -1.0283184309490025, -1.0258779592812062, -1.0233500266447664, -1.0207441332284362, -0.8909037974197418, -1.0153448064345867, -1.0125791951548309, -1.009791363682598, -1.0070001985412091, -1.0042267152573914, -1.0014941670931876, -0.9988282416132279, -0.9962569127208554, -0.9938107506575762, -0.9915229317528429, -0.9916605123551563, -0.9875685911509209, -0.9859822907717899, -0.9847149251261726, -0.9838140455074609, -0.9833304567262531, -0.9833181180991233, -0.9838344039861113, -0.9849399824859575, -0.9866992008872331, -0.9891798987053335, -0.9924537031445653, -0.9965959905646742, -1.0016860526055098, -1.0078071048017592, -1.015046486526262, -1.023495663900394, -1.0332503172801808, -1.044410595158115, -1.0570809286553413, -1.0713703424669803]|422.6689453125000000|      0.50000000|[883, 140, 0, 70]                                                          | | GPS sucess | actual_k=2
