k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, 1.0]                                                                      | 14.2031250000000000|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[-0.0207874774932861, 2.719881772994995]                                        | 11.5875949859619141|      2.00000000|[4, 1, 0, 1]                                                               | | GPS sucess | actual_k=1
       2|[-0.0207874774932861, 2.719881772994995]                                        | 11.5875949859619141|      1.00000000|[8, 2, 1, 4]                                                               |  | used linear model with 5 points | iterate failure | actual_k=1
       3|[-0.0207874774932861, 2.719881772994995]                                        | 11.5875949859619141|      0.50000000|[13, 3, 2, 7]                                                              |  | used linear model with 5 points | iterate failure | actual_k=1
       4|[-0.2848109304904938, 2.295274168252945]                                        |  2.6345751285552979|      1.00000000|[17, 4, 2, 8]                                                              | | GPS sucess | actual_k=1
       5|[-0.2848109304904938, 2.295274168252945]                                        |  2.6345751285552979|      0.50000000|[21, 5, 3, 11]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       6|[-0.9434077441692352, 1.542778104543686]                                        |  1.8854658603668213|      1.00000000|[25, 6, 3, 12]                                                             | | GPS sucess | actual_k=1
       7|[-0.9434077441692352, 1.542778104543686]                                        |  1.8854658603668213|      0.50000000|[29, 7, 4, 15]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       8|[-0.9434077441692352, 1.542778104543686]                                        |  1.8854658603668213|      0.25000000|[34, 8, 5, 18]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       9|[-0.7372260391712189, 1.6841609179973602]                                       |  1.8197882175445557|      0.50000000|[38, 9, 5, 19]                                                             | | GPS sucess | actual_k=1
      10|[-0.7372260391712189, 1.6841609179973602]                                       |  1.8197882175445557|      0.25000000|[41, 11, 6, 22]                                                            |  | used linear model with 5 points | iterate failure | actual_k=1
