k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[2.0, 2.0, 2.0, 2.0]                                                            |105126.8339513395767426|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.9389173984527588, 3.294400215148926, 3.0893828868865967, 1.8910194411873817] |92184.5000000000000000|      2.00000000|[5, 0, 0, 1]                                                               | | GPS sucess | actual_k=0
       2|[0.9389173984527588, 3.294400215148926, 3.0893828868865967, 1.8910194411873817] |92184.5000000000000000|      1.00000000|[13, 0, 0, 3]                                                              |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       3|[1.7286394238471985, 3.8696746826171875, 2.9562795609235764, 1.7246402725577354]|74220.0781250000000000|      2.00000000|[17, 0, 0, 4]                                                              | | GPS sucess | actual_k=0
       4|[3.5018582940101624, 4.69071102142334, 2.6900729089975357, 1.3918819352984428]  |73740.3359375000000000|      4.00000000|[21, 0, 0, 5]                                                              | | GPS sucess | actual_k=0
       5|[7.48321133852005, -1.5734238624572754, -0.2066389173269272, 0.6718128845095634]|-100000002004087734272.0000000000000000|      8.00000000|[25, 0, 0, 6]                                                              | | GPS sucess | actual_k=0
       6|[7.48321133852005, -1.5734238624572754, -0.2066389173269272, 0.6718128845095634]|-100000002004087734272.0000000000000000|      4.00000000|[33, 0, 0, 8]                                                              |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       7|[7.48321133852005, -1.5734238624572754, -0.2066389173269272, 0.6718128845095634]|-100000002004087734272.0000000000000000|      2.00000000|[41, 0, 0, 10]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       8|[7.48321133852005, -1.5734238624572754, -0.2066389173269272, 0.6718128845095634]|-100000002004087734272.0000000000000000|      1.00000000|[49, 0, 0, 12]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       9|[7.48321133852005, -1.5734238624572754, -0.2066389173269272, 0.6718128845095634]|-100000002004087734272.0000000000000000|      0.50000000|[56, 0, 0, 14]                                                             |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      10|[7.48321133852005, -1.5734238624572754, -0.2066389173269272, 0.6718128845095634]|-100000002004087734272.0000000000000000|      0.25000000|[63, 0, 0, 16]                                                             |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      11|[7.48321133852005, -1.5734238624572754, -0.2066389173269272, 0.6718128845095634]|-100000002004087734272.0000000000000000|      0.12500000|[70, 0, 0, 18]                                                             |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      12|[7.48321133852005, -1.5734238624572754, -0.2066389173269272, 0.6718128845095634]|-100000002004087734272.0000000000000000|      0.06250000|[77, 0, 0, 20]                                                             |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      13|[7.48321133852005, -1.5734238624572754, -0.2066389173269272, 0.6718128845095634]|-100000002004087734272.0000000000000000|      0.03125000|[84, 0, 0, 22]                                                             |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      14|[7.48321133852005, -1.5734238624572754, -0.2066389173269272, 0.6718128845095634]|-100000002004087734272.0000000000000000|      0.01562500|[91, 0, 0, 24]                                                             |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      15|[7.48321133852005, -1.5734238624572754, -0.2066389173269272, 0.6718128845095634]|-100000002004087734272.0000000000000000|      0.00781250|[98, 0, 0, 26]                                                             |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      16|[7.48321133852005, -1.5734238624572754, -0.2066389173269272, 0.6718128845095634]|-100000002004087734272.0000000000000000|      0.00390625|[105, 0, 0, 28]                                                            |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      17|[7.48321133852005, -1.5734238624572754, -0.2066389173269272, 0.6718128845095634]|-100000002004087734272.0000000000000000|      0.00195312|[112, 0, 0, 30]                                                            |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      18|[7.48321133852005, -1.5734238624572754, -0.2066389173269272, 0.6718128845095634]|-100000002004087734272.0000000000000000|      0.00097656|[119, 0, 0, 32]                                                            |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      19|[7.48321133852005, -1.5734238624572754, -0.2066389173269272, 0.6718128845095634]|-100000002004087734272.0000000000000000|      0.00048828|[126, 0, 0, 34]                                                            |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      20|[7.48321133852005, -1.5734238624572754, -0.2066389173269272, 0.6718128845095634]|-100000002004087734272.0000000000000000|      0.00024414|[133, 0, 0, 36]                                                            |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      21|[7.48321133852005, -1.5734238624572754, -0.2066389173269272, 0.6718128845095634]|-100000002004087734272.0000000000000000|      0.00012207|[140, 0, 0, 38]                                                            |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      22|[7.48321133852005, -1.5734238624572754, -0.2066389173269272, 0.6718128845095634]|-100000002004087734272.0000000000000000|      0.00006104|[147, 0, 0, 40]                                                            |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
