k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0]                                                                      | 14.5560907917588516|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[-0.1001633405685425, 0.9949710369110107]                                       |  8.5822458267211914|      2.00000000|[5, 0, 0, 1]                                                               | | GPS sucess | actual_k=0
       2|[-0.1001633405685425, 0.9949710369110107]                                       |  8.5822458267211914|      1.00000000|[9, 0, 1, 3]                                                               |  | used linear model with 5 points | iterate failure | actual_k=0
       3|[-0.1001633405685425, 0.9949710369110107]                                       |  8.5822458267211914|      0.50000000|[14, 0, 2, 5]                                                              |  | used linear model with 5 points | iterate failure | actual_k=0
       4|[-0.1001633405685425, 0.9949710369110107]                                       |  8.5822458267211914|      0.25000000|[19, 0, 3, 7]                                                              |  | used linear model with 5 points | iterate failure | actual_k=0
       5|[-0.0722469538450241, 0.7465345561504364]                                       |  7.2455000877380371|      0.50000000|[24, 0, 3, 8]                                                              | | GPS sucess | actual_k=0
       6|[-0.0722469538450241, 0.7465345561504364]                                       |  7.2455000877380371|      0.25000000|[28, 0, 4, 10]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
       7|[-0.0363918393850327, 0.4991190731525421]                                       |  7.1677322387695312|      0.50000000|[33, 0, 4, 11]                                                             | | GPS sucess | actual_k=0
       8|[-0.0363918393850327, 0.4991190731525421]                                       |  7.1677322387695312|      0.25000000|[37, 0, 5, 13]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
       9|[-0.0635470524430275, 0.2505982667207718]                                       |  6.4984664916992188|      0.50000000|[42, 0, 5, 14]                                                             | | GPS sucess | actual_k=0
      10|[-0.0635470524430275, 0.2505982667207718]                                       |  6.4984664916992188|      0.25000000|[46, 0, 6, 16]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
      11|[-0.0635470524430275, 0.2505982667207718]                                       |  6.4984664916992188|      0.12500000|[51, 0, 7, 18]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
      12|[-0.0635470524430275, 0.2505982667207718]                                       |  6.4984664916992188|      0.06250000|[56, 0, 8, 20]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
