k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]| 15.0000174966258228|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.4504776298999786, -0.0661500096321106, 0.0823455080389977, 0.3409429490566254, 0.1886106133460999, 0.1944524198770523, -0.2268122732639313, -0.2013398408889771, 0.2132713347673416, 0.0355245284736156, 0.2678762078285217, 0.0294912401586771, -0.1150918453931808, 0.1075640469789505, -0.1900783330202103, 0.2236397564411163, 0.036402378231287, 0.0381771884858608, 0.0184534694999456, 0.0471659302711487, 0.3844584822654724, 0.3425793051719666]| 13.8701457977294922|      2.00000000|[273, 19, 0, 5]                                                            | | GPS sucess | actual_k=4
       2|[1.554537445306778, 0.607972264289856, 0.1288276165723801, 0.9426632225513458, 0.539347231388092, 0.3104701861739159, -0.4395099282264709, -0.4907516539096832, -0.1673874706029892, 0.4527130536735058, 0.533966988325119, 0.1068747881799936, -0.0183443874120712, -0.1313018798828125, -0.2785966321825981, 0.5629827976226807, 0.4376244284212589, -0.0058343149721622, -0.5698317382484674, 0.4721270203590393, 0.3099226877093315, 0.7243297696113586]| 12.3969821929931641|      4.00000000|[546, 37, 0, 10]                                                           | | GPS sucess | actual_k=4
       3|[1.044393628835678, 0.0550376772880554, -0.7443103343248367, 2.4110796749591827, 0.3874127715826035, 0.2035590708255768, -1.0883287191390991, -0.392378956079483, 0.6580551415681839, 1.0558341555297375, 0.5699007771909237, -0.6817619558423758, 0.1150112152099609, -1.0429596304893494, -0.2337439730763435, 0.3389312326908112, 0.3887568898499012, 0.1641897223889828, -0.7041155491024256, 2.8833306431770325, -0.1085081771016121, 1.4662254452705383]| 12.1446075439453125|      8.00000000|[818, 56, 0, 15]                                                           | | GPS sucess | actual_k=4
       4|[-0.4876573383808136, 0.2976130545139313, -1.0172040313482285, 3.648760348558426, -0.1841221004724503, 4.25989642739296, -3.6911407709121704, -0.4275202974677086, -0.7368118017911911, 2.4025229029357433, 1.4433980248868465, -0.9329033549875021, -1.5175740718841553, -1.2190162688493729, 2.020489387214184, -1.2827126681804657, -1.6436666063964367, -1.204279039055109, -2.234864631667733, 2.9123080000281334, -1.0823001340031624, 1.274177610874176]| 12.1409387588500977|     16.00000000|[1091, 74, 0, 20]                                                          | | GPS sucess | actual_k=4
       5|[-6.614943772554398, -1.9967218339443207, -2.8709627240896225, 9.081327944993973, -1.468194141983986, 3.2746690809726715, -2.854740798473358, -1.5152175650000572, 2.293877199292183, 1.7270124964416027, 6.169505622237921, -2.6000554021447897, -2.70170521736145, 5.745380207896233, 4.24395339936018, -1.9549579322338104, -2.9243641905486584, -4.36136469617486, -1.2388008628040552, 7.432837747037411, -3.880535788834095, 6.187572538852692]| 12.1272792816162109|     32.00000000|[1364, 92, 0, 25]                                                          | | GPS sucess | actual_k=4
       6|[-9.75951436161995, 8.146451383829117, 1.1953848749399185, 10.159249812364578, -2.2810633331537247, 9.234228044748306, 1.1646869778633118, -7.248573087155819, 8.899018839001656, 12.412708144634962, 9.315157677978277, -8.01833981834352, -7.072848081588745, 9.977618023753166, 20.330213241279125, -0.5363582074642181, 6.080820936709642, -11.226196143776178, 1.5802926030009985, 14.337816022336483, -9.765786357223988, 14.466928541660309]| 12.1262741088867188|     64.00000000|[1637, 110, 0, 30]                                                         | | GPS sucess | actual_k=4
       7|[-15.733256369829178, 14.03558960556984, 18.77690877020359, 11.210619121789932, -7.615535989403725, 4.878320604562759, -1.5638980269432068, -1.8790319189429283, 35.77682454884052, 14.798442225903273, 33.48496511206031, -14.325996106490493, -0.5370147228240967, 26.640471264719963, 28.42316883057356, -5.305690139532089, -2.1291533522307873, -11.99692240729928, 4.412623545154929, 33.06767060607672, -30.319968409836292, 42.84178167581558]| 12.1120347976684570|    128.00000000|[1910, 128, 0, 35]                                                         | | GPS sucess | actual_k=4
       8|[-50.530299216508865, -45.080930322408676, 44.08454121649265, 37.819210201501846, -9.744194522500038, 31.88941565155983, 19.52734762430191, 26.862282015383244, 50.273193910717964, -27.952782291918993, 82.69206121191382, -11.146543448790908, -19.11954951286316, 49.15527229011059, 43.24322002381086, 11.534811645746231, -3.5063797049224377, -29.548668775707483, 43.7506171669811, 44.9600789770484, -24.697074122726917, 35.4569154381752]| 12.0100440979003906|    256.00000000|[2184, 145, 0, 40]                                                         | | GPS sucess | actual_k=4
       9|[-119.68691542744637, -105.67830809950829, 11.634654894471169, 101.81261840462685, -10.936848297715187, 87.28044119477272, 35.10931020975113, -14.58742120116949, 137.5978093892336, 16.189475398510695, 15.527159478515387, 48.35915189422667, -14.79784083366394, 43.90890674293041, 76.061796836555, 57.32166162133217, -62.6224723868072, -72.89707270637155, 13.082862040027976, -29.845905520021915, 62.01596909016371, -2.7660993933677673]| 11.7998971939086914|    512.00000000|[2456, 164, 0, 45]                                                         | | GPS sucess | actual_k=4
      10|[-119.68691542744637, -105.67830809950829, 11.634654894471169, 101.81261840462685, -10.936848297715187, 87.28044119477272, 35.10931020975113, -14.58742120116949, 137.5978093892336, 16.189475398510695, 15.527159478515387, 48.35915189422667, -14.79784083366394, 43.90890674293041, 76.061796836555, 57.32166162133217, -62.6224723868072, -72.89707270637155, 13.082862040027976, -29.845905520021915, 62.01596909016371, -2.7660993933677673]| 11.7998971939086914|    256.00000000|[2729, 182, 0, 50]                                                         |  | used quadratic model with 292 points | actual_k=4
      11|[-162.54553511738777, -87.73572310805321, 88.3883475214243, 120.83941665291786, 20.49291740357876, 165.4624404013157, 77.78137975931168, -25.782729886472225, 147.6841312199831, -12.345741886645555, 20.368523385375738, 32.404829079285264, 35.40290379524231, 16.407844349741936, 97.53277461975813, 89.979517608881, -164.19908676669002, -48.20454875007272, -121.11690602637827, 39.71773125976324, 80.2147338911891, 16.045641481876373]| 11.7095994949340820|    512.00000000|[3001, 201, 0, 55]                                                         | | GPS sucess | actual_k=4
