k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[500.0, 0.0001]                                                                 |11603.0164118767152104|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[499.0380256175995, -0.2730397151947022]                                        |-100000002004087734272.0000000000000000|      2.00000000|[4, 1, 0, 1]                                                               | | GPS sucess | actual_k=1
       2|[499.0380256175995, -0.2730397151947022]                                        |-100000002004087734272.0000000000000000|      1.00000000|[8, 2, 1, 4]                                                               |  | used linear model with 5 points | iterate failure | actual_k=1
       3|[499.0380256175995, -0.2730397151947022]                                        |-100000002004087734272.0000000000000000|      0.50000000|[13, 3, 2, 7]                                                              |  | used linear model with 5 points | iterate failure | actual_k=1
       4|[499.0380256175995, -0.2730397151947022]                                        |-100000002004087734272.0000000000000000|      0.25000000|[18, 4, 3, 10]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       5|[499.0380256175995, -0.2730397151947022]                                        |-100000002004087734272.0000000000000000|      0.12500000|[23, 5, 3, 12]                                                             |  | used linear model with 5 points | actual_k=1
       6|[499.0380256175995, -0.2730397151947022]                                        |-100000002004087734272.0000000000000000|      0.06250000|[26, 7, 3, 14]                                                             |  | used linear model with 5 points | actual_k=1
       7|[499.0380256175995, -0.2730397151947022]                                        |-100000002004087734272.0000000000000000|      0.03125000|[30, 8, 3, 16]                                                             |  | used linear model with 5 points | actual_k=1
       8|[499.0380256175995, -0.2730397151947022]                                        |-100000002004087734272.0000000000000000|      0.01562500|[34, 9, 3, 18]                                                             |  | used linear model with 5 points | actual_k=1
       9|[499.0380256175995, -0.2730397151947022]                                        |-100000002004087734272.0000000000000000|      0.00781250|[38, 10, 3, 20]                                                            |  | used linear model with 5 points | actual_k=1
