k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[50.0, 150.0, -100.0, 1.0, 2.0]                                                 |87848.8533334838575684|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[49.527479857206345, 149.69271129369736, -100.51762628555298, 1.3165371417999268, 1.4394952654838562]|86106.5468750000000000|      2.00000000|[16, 1, 0, 1]                                                              | | GPS sucess | actual_k=1
       2|[48.36095556616783, 150.68283033370972, -101.07405972480774, 2.0671497583389282, 0.5530143976211548]|82318.1484375000000000|      4.00000000|[31, 2, 0, 2]                                                              | | GPS sucess | actual_k=1
       3|[46.83830305933952, 148.6672899723053, -103.67884397506714, 0.3865705728530884, 0.6524077951908112]|76909.8593750000000000|      8.00000000|[46, 3, 0, 3]                                                              | | GPS sucess | actual_k=1
       4|[42.54217478632927, 148.42869426310062, -92.61328172683716, -3.820045828819275, -9.213901370763779]|-100000002004087734272.0000000000000000|     16.00000000|[61, 4, 0, 4]                                                              | | GPS sucess | actual_k=1
       5|[42.54217478632927, 148.42869426310062, -92.61328172683716, -3.820045828819275, -9.213901370763779]|-100000002004087734272.0000000000000000|      8.00000000|[89, 6, 0, 6]                                                              |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       6|[42.54217478632927, 148.42869426310062, -92.61328172683716, -3.820045828819275, -9.213901370763779]|-100000002004087734272.0000000000000000|      4.00000000|[117, 8, 0, 8]                                                             |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       7|[42.54217478632927, 148.42869426310062, -92.61328172683716, -3.820045828819275, -9.213901370763779]|-100000002004087734272.0000000000000000|      2.00000000|[145, 10, 0, 10]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       8|[42.54217478632927, 148.42869426310062, -92.61328172683716, -3.820045828819275, -9.213901370763779]|-100000002004087734272.0000000000000000|      1.00000000|[172, 12, 0, 12]                                                           |  | trying linear partial model with 16 points | exploitation failed, decreasing delta | actual_k=1
       9|[42.54217478632927, 148.42869426310062, -92.61328172683716, -3.820045828819275, -9.213901370763779]|-100000002004087734272.0000000000000000|      0.50000000|[199, 14, 0, 14]                                                           |  | trying linear partial model with 16 points | exploitation failed, decreasing delta | actual_k=1
      10|[42.54217478632927, 148.42869426310062, -92.61328172683716, -3.820045828819275, -9.213901370763779]|-100000002004087734272.0000000000000000|      0.25000000|[226, 16, 0, 16]                                                           |  | trying linear partial model with 16 points | exploitation failed, decreasing delta | actual_k=1
      11|[42.54217478632927, 148.42869426310062, -92.61328172683716, -3.820045828819275, -9.213901370763779]|-100000002004087734272.0000000000000000|      0.12500000|[253, 18, 0, 18]                                                           |  | trying linear partial model with 16 points | exploitation failed, decreasing delta | actual_k=1
      12|[42.54217478632927, 148.42869426310062, -92.61328172683716, -3.820045828819275, -9.213901370763779]|-100000002004087734272.0000000000000000|      0.06250000|[280, 20, 0, 20]                                                           |  | trying linear partial model with 16 points | exploitation failed, decreasing delta | actual_k=1
      13|[42.54217478632927, 148.42869426310062, -92.61328172683716, -3.820045828819275, -9.213901370763779]|-100000002004087734272.0000000000000000|      0.03125000|[307, 22, 0, 22]                                                           |  | trying linear partial model with 16 points | exploitation failed, decreasing delta | actual_k=1
      14|[42.54217478632927, 148.42869426310062, -92.61328172683716, -3.820045828819275, -9.213901370763779]|-100000002004087734272.0000000000000000|      0.01562500|[334, 24, 0, 24]                                                           |  | trying linear partial model with 16 points | exploitation failed, decreasing delta | actual_k=1
      15|[42.54217478632927, 148.42869426310062, -92.61328172683716, -3.820045828819275, -9.213901370763779]|-100000002004087734272.0000000000000000|      0.00781250|[361, 26, 0, 26]                                                           |  | trying linear partial model with 16 points | exploitation failed, decreasing delta | actual_k=1
      16|[42.54217478632927, 148.42869426310062, -92.61328172683716, -3.820045828819275, -9.213901370763779]|-100000002004087734272.0000000000000000|      0.00390625|[389, 28, 0, 28]                                                           |  | trying linear partial model with 16 points | exploitation failed, decreasing delta | actual_k=1
      17|[42.54217478632927, 148.42869426310062, -92.61328172683716, -3.820045828819275, -9.213901370763779]|-100000002004087734272.0000000000000000|      0.00195312|[416, 30, 0, 30]                                                           |  | trying linear partial model with 16 points | exploitation failed, decreasing delta | actual_k=1
      18|[42.54217478632927, 148.42869426310062, -92.61328172683716, -3.820045828819275, -9.213901370763779]|-100000002004087734272.0000000000000000|      0.00097656|[444, 32, 0, 32]                                                           |  | trying linear partial model with 16 points | exploitation failed, decreasing delta | actual_k=1
