k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.5, 0.5]                                                                      |  0.4598493014643029|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.5, 0.5]                                                                      |  0.4598493014643029|      0.50000000|[4, 1, 0, 1]                                                               |  | used linear model with 5 points | actual_k=1
       2|[0.4956463575363159, 1.8984079361e-05]                                          |  0.2993016541004181|      1.00000000|[7, 2, 0, 2]                                                               | | GPS sucess | actual_k=1
       3|[0.4956463575363159, 1.8984079361e-05]                                          |  0.2993016541004181|      0.50000000|[10, 3, 1, 4]                                                              |  | used linear model with 5 points | iterate failure | actual_k=1
       4|[0.4956463575363159, 1.8984079361e-05]                                          |  0.2993016541004181|      0.25000000|[14, 4, 2, 6]                                                              |  | used linear model with 5 points | iterate failure | actual_k=1
       5|[0.3059991598129272, 0.1629114001989365]                                        |  0.1669895201921463|      0.50000000|[18, 5, 2, 7]                                                              | | GPS sucess | actual_k=1
       6|[0.3059991598129272, 0.1629114001989365]                                        |  0.1669895201921463|      0.25000000|[21, 6, 3, 9]                                                              |  | used linear model with 5 points | iterate failure | actual_k=1
       7|[0.2217613756656647, -0.0724691152572632]                                       |  0.0982862412929535|      0.50000000|[25, 7, 3, 10]                                                             | | GPS sucess | actual_k=1
       8|[0.2217613756656647, -0.0724691152572632]                                       |  0.0982862412929535|      0.25000000|[28, 8, 4, 12]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       9|[-0.0243707895278931, -0.0286632999777794]                                      |  0.0038515673950315|      0.50000000|[32, 9, 4, 13]                                                             | | GPS sucess | actual_k=1
      10|[-0.0243707895278931, -0.0286632999777794]                                      |  0.0038515673950315|      0.25000000|[35, 10, 5, 15]                                                            |  | used linear model with 5 points | iterate failure | actual_k=1
      11|[-0.0243707895278931, -0.0286632999777794]                                      |  0.0038515673950315|      0.12500000|[39, 11, 6, 17]                                                            |  | used linear model with 5 points | iterate failure | actual_k=1
      12|[-0.0243707895278931, -0.0286632999777794]                                      |  0.0038515673950315|      0.06250000|[43, 12, 7, 19]                                                            |  | used linear model with 5 points | iterate failure | actual_k=1
      13|[-0.0243707895278931, -0.0286632999777794]                                      |  0.0038515673950315|      0.03125000|[47, 13, 8, 21]                                                            |  | used linear model with 5 points | iterate failure | actual_k=1
