k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, 5.0]                                                                      |16002.0000000000000000|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.0380256175994873, 4.726860284805298]                                         |11208.6025390625000000|      2.00000000|[4, 1, 0, 1]                                                               | | GPS sucess | actual_k=1
       2|[0.4989514946937561, 2.78069806098938]                                          |480.6680908203125000|      4.00000000|[7, 2, 0, 2]                                                               | | GPS sucess | actual_k=1
       3|[-1.54051011800766, -0.6603183746337891]                                        |135.5373535156250000|      8.00000000|[10, 3, 0, 3]                                                              | | GPS sucess | actual_k=1
       4|[-1.54051011800766, -0.6603183746337891]                                        |135.5373535156250000|      4.00000000|[13, 5, 1, 6]                                                              |  | used linear model with 5 points | iterate failure | actual_k=1
       5|[2.132479727268219, -2.2443461418151855]                                        |119.4495086669921875|      8.00000000|[17, 6, 1, 7]                                                              | | GPS sucess | actual_k=1
       6|[2.132479727268219, -2.2443461418151855]                                        |119.4495086669921875|      4.00000000|[21, 7, 2, 10]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       7|[2.132479727268219, -2.2443461418151855]                                        |119.4495086669921875|      2.00000000|[26, 8, 3, 13]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       8|[2.919395864009857, -0.4056609869003296]                                        | 74.4739608764648438|      4.00000000|[30, 9, 3, 14]                                                             | | GPS sucess | actual_k=1
       9|[2.919395864009857, -0.4056609869003296]                                        | 74.4739608764648438|      2.00000000|[34, 10, 4, 17]                                                            |  | used linear model with 5 points | iterate failure | actual_k=1
      10|[2.919395864009857, -0.4056609869003296]                                        | 74.4739608764648438|      1.00000000|[39, 11, 5, 20]                                                            |  | used linear model with 5 points | iterate failure | actual_k=1
