k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]| 15.0000174966258228|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.5713071823120117, 0.0061253001913428, -0.4481361210346222, 0.1482601910829544, -0.013623739592731, -0.01000308804214, -0.3104247152805328, -0.0407468117773533, 0.2595320343971252, 0.0521899051964283, -0.1013862565159798, 0.1674708425998688, 0.1796717196702957, 0.0246664863079786, 0.0360099412500858, 0.0792761147022247, -0.0521924868226051, 0.0923516303300858, 0.1864609122276306, -0.1850891262292862, 0.1497306078672409, -0.1893572360277176]| 14.1407546997070312|      2.00000000|[57, 8, 0, 1]                                                              | | GPS sucess | actual_k=8
       2|[0.7288206666707993, 0.3466793885454535, -0.6891914308071136, 0.9996556788682938, 0.3749551521614194, -0.284083841368556, -0.3139903910923749, -0.2728021927177906, 0.9277549982070923, -0.243142556399107, 0.157613031566143, -0.2845506072044373, 0.0672239437699318, 0.2627260815352201, 0.054897291585803, -0.2671792209148407, -0.166864387691021, 1.0973727256059647, 0.71639484167099, 0.2841247171163559, 0.3223424255847931, -0.4939258247613907]| 12.9576559066772461|      4.00000000|[113, 16, 0, 2]                                                            | | GPS sucess | actual_k=8
       3|[0.8708255887031555, 0.2878886861726642, 1.0769878923892975, 2.280218079686165, 0.6361557887867093, 0.0362153071910143, -0.5793667801190168, 0.2632289342582226, 1.4517499208450317, -1.4726757518947124, 1.5621887370944023, -1.2720856070518494, 0.167383573949337, 2.0563554894179106, -0.5553972292691469, -0.1686139702796936, 0.0834468975663185, 0.7788656204938889, 0.2351056933403015, -0.536658838391304, 0.4192911386489868, 0.3951567262411118]| 12.1431102752685547|      8.00000000|[169, 24, 0, 3]                                                            | | GPS sucess | actual_k=8
       4|[0.8708255887031555, 0.2878886861726642, 1.0769878923892975, 2.280218079686165, 0.6361557887867093, 0.0362153071910143, -0.5793667801190168, 0.2632289342582226, 1.4517499208450317, -1.4726757518947124, 1.5621887370944023, -1.2720856070518494, 0.167383573949337, 2.0563554894179106, -0.5553972292691469, -0.1686139702796936, 0.0834468975663185, 0.7788656204938889, 0.2351056933403015, -0.536658838391304, 0.4192911386489868, 0.3951567262411118]| 12.1431102752685547|      4.00000000|[225, 32, 0, 4]                                                            |  | used linear model with 65 points | actual_k=8
       5|[-0.0428194403648376, -0.590020795352757, 1.9704961478710175, 2.8125431686639786, 1.0153560684993863, -0.203890873119235, -0.3923216976691037, -0.0116099007427692, 2.2454503178596497, 0.3594555146992207, 0.646434061229229, -0.0381107926368713, 0.3672798797488213, 0.6789734493941069, -0.22869579680264, -0.3817517161369324, -0.9416159018874168, 0.8253069184720516, 0.4038949906826019, -0.7041547447443008, -0.5144315361976624, 1.9700461477041245]| 12.1420183181762695|      8.00000000|[281, 40, 0, 5]                                                            | | GPS sucess | actual_k=8
       6|[-0.8150157332420349, -4.037238498218358, 1.7310672253370285, 3.8523084074258804, 1.08617711532861, 1.3138941992074251, -4.0494912781286985, -0.4376247711479664, 3.2889131903648376, 1.5453417785465717, 1.0247324034571648, -1.3151941895484924, 1.2849005982279778, -0.9696030486375093, -0.8817891348153353, -3.0443708300590515, -1.9740017279982567, 0.7856536880135536, 1.6698016822338104, 0.8970730155706406, -3.643074333667755, 2.9114367812871933]| 12.1377782821655273|     16.00000000|[337, 48, 0, 6]                                                            | | GPS sucess | actual_k=8
       7|[-5.328862130641937, -8.545627017505467, 4.847726389765739, 6.840060368180275, -1.0897676898166537, -3.4932790528982878, -3.99145160545595, -0.9707069583237171, 4.556035220623016, 3.393327761441469, 1.6844733878970146, -1.6550812125205994, 0.3853133246302605, 3.9815044533461332, -4.198037790134549, -3.299166679382324, -3.1770832166075706, 9.033717729151249, -1.1216438114643097, 2.6893722862005234, -3.671192379668355, -2.0012419372797012]| 12.1364183425903320|     32.00000000|[393, 56, 0, 7]                                                            | | GPS sucess | actual_k=8
       8|[-14.001500070095062, -1.5484632449224591, -0.1261071711778641, 14.490574970841408, -6.779101605527103, -7.354764772579074, -10.703648432390764, -3.7450726218521595, -1.4298585057258606, 6.985207367688417, 6.950497023761272, -8.445354878902435, 1.6864374205470085, 11.356772435829043, -10.353604959324002, -1.3444427251815796, 2.4337075129151344, 17.63831577450037, -12.935452252626419, -1.6924941688776016, -10.665738316252828, 4.11681292951107]| 12.1219682693481445|     64.00000000|[449, 64, 0, 8]                                                            | | GPS sucess | actual_k=8
       9|[-14.001500070095062, -1.5484632449224591, -0.1261071711778641, 14.490574970841408, -6.779101605527103, -7.354764772579074, -10.703648432390764, -3.7450726218521595, -1.4298585057258606, 6.985207367688417, 6.950497023761272, -8.445354878902435, 1.6864374205470085, 11.356772435829043, -10.353604959324002, -1.3444427251815796, 2.4337075129151344, 17.63831577450037, -12.935452252626419, -1.6924941688776016, -10.665738316252828, 4.11681292951107]| 12.1219682693481445|     32.00000000|[505, 72, 0, 9]                                                            |  | used linear model with 65 points | actual_k=8
      10|[-14.001500070095062, -1.5484632449224591, -0.1261071711778641, 14.490574970841408, -6.779101605527103, -7.354764772579074, -10.703648432390764, -3.7450726218521595, -1.4298585057258606, 6.985207367688417, 6.950497023761272, -8.445354878902435, 1.6864374205470085, 11.356772435829043, -10.353604959324002, -1.3444427251815796, 2.4337075129151344, 17.63831577450037, -12.935452252626419, -1.6924941688776016, -10.665738316252828, 4.11681292951107]| 12.1219682693481445|     16.00000000|[561, 80, 0, 10]                                                           |  | used linear model with 65 points | actual_k=8
      11|[-15.081834256649017, -4.823084493167698, -0.9396119862794876, 15.46896256506443, -11.889171834103763, -8.023144556209445, -10.974636121885851, -5.205414790660143, -6.365420639514923, 10.453451681882143, 7.09679489582777, -7.322009742259979, -5.928594298660755, 14.612978233024478, -7.286691831424832, 0.4750806093215942, 0.5907855406403542, 11.62844381481409, -13.682391554117203, 1.8687999099493027, -13.893471689894795, 6.7185263484716415]| 12.1016387939453125|     32.00000000|[617, 88, 0, 11]                                                           | | GPS sucess | actual_k=8
      12|[-15.081834256649017, -4.823084493167698, -0.9396119862794876, 15.46896256506443, -11.889171834103763, -8.023144556209445, -10.974636121885851, -5.205414790660143, -6.365420639514923, 10.453451681882143, 7.09679489582777, -7.322009742259979, -5.928594298660755, 14.612978233024478, -7.286691831424832, 0.4750806093215942, 0.5907855406403542, 11.62844381481409, -13.682391554117203, 1.8687999099493027, -13.893471689894795, 6.7185263484716415]| 12.1016387939453125|     16.00000000|[673, 96, 0, 12]                                                           |  | used linear model with 65 points | actual_k=8
      13|[-16.801880419254303, -4.332843323238194, 5.3178815096616745, 15.766827568411827, -13.647772903554142, -2.8581298124045134, -12.609998389380053, -7.386524219065905, -8.336036384105682, 8.449759531766176, 5.096745543181896, -8.915131032466888, -3.919471211731434, 23.166848434135318, -3.189342187717557, 3.818817973136902, 4.728576220571995, 14.444636441767216, -17.162385374307632, 2.4965126365423203, -13.021549375727773, 10.323604807257652]| 12.0984697341918945|     32.00000000|[729, 104, 0, 13]                                                          | | GPS sucess | actual_k=8
