k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, 1.0]                                                                      |186382.3816574575030245|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.4295574128627777, 0.9217844754457474]                                        |185584.5625000000000000|      2.00000000|[4, 1, 0, 1]                                                               | | GPS sucess | actual_k=1
       2|[2.244474858045578, 0.3466615825891495]                                         |184863.1562500000000000|      4.00000000|[7, 2, 0, 2]                                                               | | GPS sucess | actual_k=1
       3|[2.9737037122249603, 2.146411672234535]                                         |182293.6093750000000000|      8.00000000|[10, 3, 0, 3]                                                              | | GPS sucess | actual_k=1
       4|[2.9737037122249603, 2.146411672234535]                                         |182293.6093750000000000|      4.00000000|[13, 4, 1, 5]                                                              |  | used linear model with 5 points | iterate failure | actual_k=1
       5|[4.261285990476608, 4.485569968819618]                                          |179607.3125000000000000|      8.00000000|[17, 5, 1, 6]                                                              | | GPS sucess | actual_k=1
       6|[6.206704944372177, 3.5950940996408463]                                         |175728.7031250000000000|     16.00000000|[20, 6, 1, 7]                                                              | | GPS sucess | actual_k=1
       7|[10.735082477331161, 10.879299059510231]                                        |166778.8750000000000000|     32.00000000|[23, 7, 1, 8]                                                              | | GPS sucess | actual_k=1
       8|[27.337411731481552, 33.314693346619606]                                        |136204.5625000000000000|     64.00000000|[26, 8, 1, 9]                                                              | | GPS sucess | actual_k=1
       9|[27.337411731481552, 33.314693346619606]                                        |136204.5625000000000000|     32.00000000|[29, 9, 2, 11]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
      10|[49.95209488272667, 21.365645304322243]                                         |99879.4375000000000000|     64.00000000|[33, 10, 2, 12]                                                            | | GPS sucess | actual_k=1
      11|[89.39459976553917, 39.27393998205662]                                          |51210.5468750000000000|    128.00000000|[36, 11, 2, 13]                                                            | | GPS sucess | actual_k=1
      12|[167.45281967520714, 4.901778116822243]                                         |9780.0332031250000000|    256.00000000|[39, 12, 2, 14]                                                            | | GPS sucess | actual_k=1
      13|[167.45281967520714, 4.901778116822243]                                         |9780.0332031250000000|    128.00000000|[42, 13, 3, 16]                                                            |  | used linear model with 5 points | iterate failure | actual_k=1
      14|[167.45281967520714, 4.901778116822243]                                         |9780.0332031250000000|     64.00000000|[46, 14, 4, 18]                                                            |  | used linear model with 5 points | iterate failure | actual_k=1
      15|[167.45281967520714, 4.901778116822243]                                         |9780.0332031250000000|     32.00000000|[50, 15, 5, 20]                                                            |  | used linear model with 5 points | iterate failure | actual_k=1
