k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[20.0, 2.0, 2.0, 2.0, 0.2]                                                      |10940.0863686848952057|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[21.961732983589172, 2.1305962800979614, 2.03328026086092, 2.063830114901066, 0.5596751689910888]|3163.7543945312500000|      2.00000000|[15, 2, 0, 1]                                                              | | GPS sucess | actual_k=2
       2|[21.961732983589172, 2.1305962800979614, 2.03328026086092, 2.063830114901066, 0.5596751689910888]|3163.7543945312500000|      1.00000000|[43, 6, 0, 3]                                                              |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       3|[21.73796308040619, 2.295673295855522, 2.2710082456469536, 2.396659441292286, 0.486281332373619]|2727.6530761718750000|      2.00000000|[57, 8, 0, 4]                                                              | | GPS sucess | actual_k=2
       4|[20.338568687438965, -0.8409944325685501, 2.2110316418111324, 1.5646529272198677, -1.386464896798134]|-100000002004087734272.0000000000000000|      4.00000000|[71, 10, 0, 5]                                                             | | GPS sucess | actual_k=2
       5|[20.338568687438965, -0.8409944325685501, 2.2110316418111324, 1.5646529272198677, -1.386464896798134]|-100000002004087734272.0000000000000000|      2.00000000|[99, 14, 0, 7]                                                             |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       6|[20.338568687438965, -0.8409944325685501, 2.2110316418111324, 1.5646529272198677, -1.386464896798134]|-100000002004087734272.0000000000000000|      1.00000000|[127, 18, 0, 9]                                                            |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       7|[20.338568687438965, -0.8409944325685501, 2.2110316418111324, 1.5646529272198677, -1.386464896798134]|-100000002004087734272.0000000000000000|      0.50000000|[155, 22, 0, 11]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       8|[20.338568687438965, -0.8409944325685501, 2.2110316418111324, 1.5646529272198677, -1.386464896798134]|-100000002004087734272.0000000000000000|      0.25000000|[182, 26, 0, 13]                                                           |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
       9|[20.338568687438965, -0.8409944325685501, 2.2110316418111324, 1.5646529272198677, -1.386464896798134]|-100000002004087734272.0000000000000000|      0.12500000|[209, 30, 0, 15]                                                           |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      10|[20.338568687438965, -0.8409944325685501, 2.2110316418111324, 1.5646529272198677, -1.386464896798134]|-100000002004087734272.0000000000000000|      0.06250000|[236, 34, 0, 17]                                                           |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      11|[20.338568687438965, -0.8409944325685501, 2.2110316418111324, 1.5646529272198677, -1.386464896798134]|-100000002004087734272.0000000000000000|      0.03125000|[263, 38, 0, 19]                                                           |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      12|[20.338568687438965, -0.8409944325685501, 2.2110316418111324, 1.5646529272198677, -1.386464896798134]|-100000002004087734272.0000000000000000|      0.01562500|[290, 42, 0, 21]                                                           |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      13|[20.338568687438965, -0.8409944325685501, 2.2110316418111324, 1.5646529272198677, -1.386464896798134]|-100000002004087734272.0000000000000000|      0.00781250|[318, 46, 1, 24]                                                           |  | trying linear partial model with 15 points FAILED TO GET X_HAT, using additional batch call | exploitation failed, decreasing delta | actual_k=2
      14|[20.338568687438965, -0.8409944325685501, 2.2110316418111324, 1.5646529272198677, -1.386464896798134]|-100000002004087734272.0000000000000000|      0.00390625|[345, 50, 1, 26]                                                           |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      15|[20.338568687438965, -0.8409944325685501, 2.2110316418111324, 1.5646529272198677, -1.386464896798134]|-100000002004087734272.0000000000000000|      0.00195312|[372, 54, 1, 28]                                                           |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      16|[20.338568687438965, -0.8409944325685501, 2.2110316418111324, 1.5646529272198677, -1.386464896798134]|-100000002004087734272.0000000000000000|      0.00097656|[399, 58, 1, 30]                                                           |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      17|[20.338568687438965, -0.8409944325685501, 2.2110316418111324, 1.5646529272198677, -1.386464896798134]|-100000002004087734272.0000000000000000|      0.00048828|[427, 62, 2, 33]                                                           |  | trying linear partial model with 15 points FAILED TO GET X_HAT, using additional batch call | exploitation failed, decreasing delta | actual_k=2
      18|[20.338568687438965, -0.8409944325685501, 2.2110316418111324, 1.5646529272198677, -1.386464896798134]|-100000002004087734272.0000000000000000|      0.00024414|[454, 66, 2, 35]                                                           |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      19|[20.338568687438965, -0.8409944325685501, 2.2110316418111324, 1.5646529272198677, -1.386464896798134]|-100000002004087734272.0000000000000000|      0.00012207|[481, 70, 2, 37]                                                           |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      20|[20.338568687438965, -0.8409944325685501, 2.2110316418111324, 1.5646529272198677, -1.386464896798134]|-100000002004087734272.0000000000000000|      0.00006104|[508, 74, 2, 39]                                                           |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      21|[20.338568687438965, -0.8409944325685501, 2.2110316418111324, 1.5646529272198677, -1.386464896798134]|-100000002004087734272.0000000000000000|      0.00003052|[535, 78, 2, 41]                                                           |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      22|[20.338568687438965, -0.8409944325685501, 2.2110316418111324, 1.5646529272198677, -1.386464896798134]|-100000002004087734272.0000000000000000|      0.00001526|[562, 82, 2, 43]                                                           |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      23|[20.338568687438965, -0.8409944325685501, 2.2110316418111324, 1.5646529272198677, -1.386464896798134]|-100000002004087734272.0000000000000000|      0.00000763|[589, 86, 2, 45]                                                           |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
