k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[-1.2, 1.0]                                                                     |26656.1334557436784962|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[-0.3793725490570068, 1.5714634656906128]                                       |  1.1835527420043945|      2.00000000|[4, 0, 0, 1]                                                               | | GPS sucess | actual_k=0
       2|[1.6205515146255494, 1.5540487188845873]                                        |  0.4004569947719574|      4.00000000|[7, 0, 0, 2]                                                               | | GPS sucess | actual_k=0
       3|[1.6205515146255494, 1.5540487188845873]                                        |  0.4004569947719574|      2.00000000|[10, 0, 1, 4]                                                              |  | used linear model with 4 points | iterate failure | actual_k=0
       4|[1.000064480304718, -0.3472655396908522]                                        |  0.0000000009102065|      4.00000000|[14, 0, 1, 5]                                                              | | GPS sucess | actual_k=0
       5|[1.000064480304718, -0.3472655396908522]                                        |  0.0000000009102065|      2.00000000|[17, 0, 2, 7]                                                              |  | used linear model with 4 points | iterate failure | actual_k=0
       6|[1.000064480304718, -0.3472655396908522]                                        |  0.0000000009102065|      1.00000000|[21, 0, 3, 9]                                                              |  | used linear model with 4 points | iterate failure | actual_k=0
       7|[1.000064480304718, -0.3472655396908522]                                        |  0.0000000009102065|      0.50000000|[25, 0, 4, 11]                                                             |  | used linear model with 4 points | iterate failure | actual_k=0
       8|[1.000064480304718, -0.3472655396908522]                                        |  0.0000000009102065|      0.25000000|[29, 0, 4, 12]                                                             |  | used linear model with 4 points | actual_k=0
       9|[1.000064480304718, -0.3472655396908522]                                        |  0.0000000009102065|      0.12500000|[32, 0, 4, 13]                                                             |  | used linear model with 4 points | actual_k=0
      10|[1.000064480304718, -0.3472655396908522]                                        |  0.0000000009102065|      0.06250000|[35, 0, 4, 14]                                                             |  | used linear model with 4 points | actual_k=0
      11|[1.000064480304718, -0.3472655396908522]                                        |  0.0000000009102065|      0.03125000|[38, 0, 4, 15]                                                             |  | used linear model with 4 points | actual_k=0
      12|[1.000064480304718, -0.3472655396908522]                                        |  0.0000000009102065|      0.01562500|[41, 0, 4, 16]                                                             |  | used linear model with 4 points | actual_k=0
      13|[1.000064480304718, -0.3472655396908522]                                        |  0.0000000009102065|      0.00781250|[44, 0, 4, 17]                                                             |  | used linear model with 4 points | actual_k=0
      14|[1.000064480304718, -0.3472655396908522]                                        |  0.0000000009102065|      0.00390625|[47, 0, 4, 18]                                                             |  | used linear model with 4 points | actual_k=0
      15|[1.000064480304718, -0.3472655396908522]                                        |  0.0000000009102065|      0.00195312|[50, 0, 4, 19]                                                             |  | used linear model with 4 points | actual_k=0
      16|[1.000064480304718, -0.3472655396908522]                                        |  0.0000000009102065|      0.00097656|[53, 0, 4, 20]                                                             |  | used linear model with 4 points | actual_k=0
